SafetyAuditQuestionSetKey,SafetyAuditQuestionSetCode,SafetyAuditProtocolKey,SafetyAuditQuestionSetName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SAQS000001,29,Orion SafetyAuditQuestionSet 1,1,1,2026-08-24T00:00:00.000
2,SAQS000002,110,Northstar SafetyAuditQuestionSet 2,1,1,2026-08-24T00:00:00.000
3,SAQS000003,9,Atlas SafetyAuditQuestionSet 3,1,1,2026-08-24T00:00:00.000
4,SAQS000004,105,Riverton SafetyAuditQuestionSet 4,1,1,2026-08-24T00:00:00.000
5,SAQS000005,37,Harbor SafetyAuditQuestionSet 5,1,1,2026-08-24T00:00:00.000
6,SAQS000006,110,Northstar SafetyAuditQuestionSet 6,1,1,2026-08-24T00:00:00.000
7,SAQS000007,50,Unity SafetyAuditQuestionSet 7,1,1,2026-08-24T00:00:00.000
8,SAQS000008,23,Unity SafetyAuditQuestionSet 8,1,1,2026-08-24T00:00:00.000
9,SAQS000009,87,Forge SafetyAuditQuestionSet 9,1,1,2026-08-24T00:00:00.000
10,SAQS000010,39,Willow SafetyAuditQuestionSet 10,1,1,2026-08-24T00:00:00.000
11,SAQS000011,105,Ion SafetyAuditQuestionSet 11,1,1,2026-08-24T00:00:00.000
12,SAQS000012,92,Atlas SafetyAuditQuestionSet 12,1,1,2026-08-24T00:00:00.000
13,SAQS000013,112,Vertex SafetyAuditQuestionSet 13,1,1,2026-08-24T00:00:00.000
14,SAQS000014,30,Zenith SafetyAuditQuestionSet 14,1,1,2026-08-24T00:00:00.000
15,SAQS000015,26,Zenith SafetyAuditQuestionSet 15,1,1,2026-08-24T00:00:00.000
16,SAQS000016,62,Willow SafetyAuditQuestionSet 16,1,1,2026-08-24T00:00:00.000
17,SAQS000017,19,Titan SafetyAuditQuestionSet 17,1,1,2026-08-24T00:00:00.000
18,SAQS000018,57,Summit SafetyAuditQuestionSet 18,1,1,2026-08-24T00:00:00.000
19,SAQS000019,22,Zenith SafetyAuditQuestionSet 19,1,1,2026-08-24T00:00:00.000
20,SAQS000020,78,Titan SafetyAuditQuestionSet 20,1,1,2026-08-24T00:00:00.000
21,SAQS000021,35,Summit SafetyAuditQuestionSet 21,1,1,2026-08-24T00:00:00.000
22,SAQS000022,6,Harbor SafetyAuditQuestionSet 22,1,1,2026-08-24T00:00:00.000
23,SAQS000023,40,Evergreen SafetyAuditQuestionSet 23,1,1,2026-08-24T00:00:00.000
24,SAQS000024,100,Beacon SafetyAuditQuestionSet 24,1,1,2026-08-24T00:00:00.000
25,SAQS000025,85,Summit SafetyAuditQuestionSet 25,1,1,2026-08-24T00:00:00.000
26,SAQS000026,61,Titan SafetyAuditQuestionSet 26,1,1,2026-08-24T00:00:00.000
27,SAQS000027,106,Keystone SafetyAuditQuestionSet 27,1,1,2026-08-24T00:00:00.000
