EnergyRateTierKey,EnergyRateTierCode,EnergyRateScheduleKey,EnergyRateTierName,TierMinimumQuantity,TierMaximumQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000
1,ERT000001,238,Harbor EnergyRateTier 1,0.8000,0.8000,1,1,2026-08-24T00:00:00.000
2,ERT000002,372,Orion EnergyRateTier 2,1.5000,1.5000,1,1,2026-08-24T00:00:00.000
3,ERT000003,213,Zenith EnergyRateTier 3,2.2000,2.2000,1,1,2026-08-24T00:00:00.000
4,ERT000004,419,Granite EnergyRateTier 4,2.9000,2.9000,1,1,2026-08-24T00:00:00.000
5,ERT000005,159,Titan EnergyRateTier 5,3.6000,3.6000,1,1,2026-08-24T00:00:00.000
6,ERT000006,30,Junction EnergyRateTier 6,4.3000,4.3000,1,1,2026-08-24T00:00:00.000
7,ERT000007,16,Delta EnergyRateTier 7,5.0000,5.0000,1,1,2026-08-24T00:00:00.000
8,ERT000008,283,Willow EnergyRateTier 8,5.7000,5.7000,1,1,2026-08-24T00:00:00.000
9,ERT000009,319,Evergreen EnergyRateTier 9,6.4000,6.4000,1,1,2026-08-24T00:00:00.000
10,ERT000010,260,Meridian EnergyRateTier 10,7.1000,7.1000,1,1,2026-08-24T00:00:00.000
11,ERT000011,384,Titan EnergyRateTier 11,7.8000,7.8000,1,1,2026-08-24T00:00:00.000
12,ERT000012,393,Meridian EnergyRateTier 12,8.5000,8.5000,1,1,2026-08-24T00:00:00.000
13,ERT000013,483,Vertex EnergyRateTier 13,9.2000,9.2000,1,1,2026-08-24T00:00:00.000
14,ERT000014,135,Orion EnergyRateTier 14,9.9000,9.9000,1,1,2026-08-24T00:00:00.000
15,ERT000015,432,Orion EnergyRateTier 15,10.6000,10.6000,1,1,2026-08-24T00:00:00.000
16,ERT000016,224,Unity EnergyRateTier 16,11.3000,11.3000,1,1,2026-08-24T00:00:00.000
17,ERT000017,59,Pioneer EnergyRateTier 17,12.0000,12.0000,1,1,2026-08-24T00:00:00.000
18,ERT000018,71,Unity EnergyRateTier 18,12.7000,12.7000,1,1,2026-08-24T00:00:00.000
19,ERT000019,136,Riverton EnergyRateTier 19,13.4000,13.4000,1,1,2026-08-24T00:00:00.000
20,ERT000020,474,Evergreen EnergyRateTier 20,14.1000,14.1000,1,1,2026-08-24T00:00:00.000
21,ERT000021,344,Pioneer EnergyRateTier 21,14.8000,14.8000,1,1,2026-08-24T00:00:00.000
22,ERT000022,342,Keystone EnergyRateTier 22,15.5000,15.5000,1,1,2026-08-24T00:00:00.000
23,ERT000023,241,Quartz EnergyRateTier 23,16.2000,16.2000,1,1,2026-08-24T00:00:00.000
24,ERT000024,108,Titan EnergyRateTier 24,16.9000,16.9000,1,1,2026-08-24T00:00:00.000
25,ERT000025,315,Unity EnergyRateTier 25,17.6000,17.6000,1,1,2026-08-24T00:00:00.000
26,ERT000026,243,Beacon EnergyRateTier 26,18.3000,18.3000,1,1,2026-08-24T00:00:00.000
27,ERT000027,156,Zenith EnergyRateTier 27,19.0000,19.0000,1,1,2026-08-24T00:00:00.000
28,ERT000028,8,Unity EnergyRateTier 28,19.7000,19.7000,1,1,2026-08-24T00:00:00.000
29,ERT000029,95,Summit EnergyRateTier 29,20.4000,20.4000,1,1,2026-08-24T00:00:00.000
30,ERT000030,122,Ion EnergyRateTier 30,21.1000,21.1000,1,1,2026-08-24T00:00:00.000
31,ERT000031,21,Evergreen EnergyRateTier 31,21.8000,21.8000,1,1,2026-08-24T00:00:00.000
32,ERT000032,294,Titan EnergyRateTier 32,22.5000,22.5000,1,1,2026-08-24T00:00:00.000
33,ERT000033,261,Cedar EnergyRateTier 33,23.2000,23.2000,1,1,2026-08-24T00:00:00.000
34,ERT000034,210,Vertex EnergyRateTier 34,23.9000,23.9000,1,1,2026-08-24T00:00:00.000
35,ERT000035,206,Quartz EnergyRateTier 35,24.6000,24.6000,1,1,2026-08-24T00:00:00.000
36,ERT000036,439,Ion EnergyRateTier 36,25.3000,25.3000,1,1,2026-08-24T00:00:00.000
37,ERT000037,98,Evergreen EnergyRateTier 37,26.0000,26.0000,1,1,2026-08-24T00:00:00.000
38,ERT000038,213,Unity EnergyRateTier 38,26.7000,26.7000,1,1,2026-08-24T00:00:00.000
39,ERT000039,300,Beacon EnergyRateTier 39,27.4000,27.4000,1,1,2026-08-24T00:00:00.000
40,ERT000040,372,Willow EnergyRateTier 40,28.1000,28.1000,1,1,2026-08-24T00:00:00.000
41,ERT000041,381,Zenith EnergyRateTier 41,28.8000,28.8000,1,1,2026-08-24T00:00:00.000
42,ERT000042,34,Keystone EnergyRateTier 42,29.5000,29.5000,1,1,2026-08-24T00:00:00.000
43,ERT000043,431,Northstar EnergyRateTier 43,30.2000,30.2000,1,1,2026-08-24T00:00:00.000
44,ERT000044,240,Quartz EnergyRateTier 44,30.9000,30.9000,1,1,2026-08-24T00:00:00.000
45,ERT000045,70,Junction EnergyRateTier 45,31.6000,31.6000,1,1,2026-08-24T00:00:00.000
46,ERT000046,346,Vertex EnergyRateTier 46,32.3000,32.3000,1,1,2026-08-24T00:00:00.000
47,ERT000047,21,Vertex EnergyRateTier 47,33.0000,33.0000,1,1,2026-08-24T00:00:00.000
48,ERT000048,39,Beacon EnergyRateTier 48,33.7000,33.7000,1,1,2026-08-24T00:00:00.000
49,ERT000049,253,Summit EnergyRateTier 49,34.4000,34.4000,1,1,2026-08-24T00:00:00.000
50,ERT000050,329,Zenith EnergyRateTier 50,35.1000,35.1000,1,1,2026-08-24T00:00:00.000
51,ERT000051,397,Harbor EnergyRateTier 51,35.8000,35.8000,1,1,2026-08-24T00:00:00.000
52,ERT000052,18,Junction EnergyRateTier 52,36.5000,36.5000,1,1,2026-08-24T00:00:00.000
53,ERT000053,400,Keystone EnergyRateTier 53,37.2000,37.2000,1,1,2026-08-24T00:00:00.000
54,ERT000054,455,Evergreen EnergyRateTier 54,37.9000,37.9000,1,1,2026-08-24T00:00:00.000
55,ERT000055,166,Riverton EnergyRateTier 55,38.6000,38.6000,1,1,2026-08-24T00:00:00.000
56,ERT000056,26,Ion EnergyRateTier 56,39.3000,39.3000,1,1,2026-08-24T00:00:00.000
57,ERT000057,310,Harbor EnergyRateTier 57,40.0000,40.0000,1,1,2026-08-24T00:00:00.000
58,ERT000058,476,Atlas EnergyRateTier 58,40.7000,40.7000,1,1,2026-08-24T00:00:00.000
59,ERT000059,487,Meridian EnergyRateTier 59,41.4000,41.4000,1,1,2026-08-24T00:00:00.000
60,ERT000060,340,Vertex EnergyRateTier 60,42.1000,42.1000,1,1,2026-08-24T00:00:00.000
61,ERT000061,152,Titan EnergyRateTier 61,42.8000,42.8000,1,1,2026-08-24T00:00:00.000
62,ERT000062,232,Summit EnergyRateTier 62,43.5000,43.5000,1,1,2026-08-24T00:00:00.000
63,ERT000063,458,Beacon EnergyRateTier 63,44.2000,44.2000,1,1,2026-08-24T00:00:00.000
64,ERT000064,175,Quartz EnergyRateTier 64,44.9000,44.9000,1,1,2026-08-24T00:00:00.000
65,ERT000065,374,Keystone EnergyRateTier 65,45.6000,45.6000,1,1,2026-08-24T00:00:00.000
66,ERT000066,435,Orion EnergyRateTier 66,46.3000,46.3000,1,1,2026-08-24T00:00:00.000
67,ERT000067,216,Forge EnergyRateTier 67,47.0000,47.0000,1,1,2026-08-24T00:00:00.000
68,ERT000068,274,Orion EnergyRateTier 68,47.7000,47.7000,1,1,2026-08-24T00:00:00.000
69,ERT000069,456,Willow EnergyRateTier 69,48.4000,48.4000,1,1,2026-08-24T00:00:00.000
70,ERT000070,44,Zenith EnergyRateTier 70,49.1000,49.1000,1,1,2026-08-24T00:00:00.000
71,ERT000071,270,Ion EnergyRateTier 71,49.8000,49.8000,1,1,2026-08-24T00:00:00.000
72,ERT000072,122,Delta EnergyRateTier 72,50.5000,50.5000,1,1,2026-08-24T00:00:00.000
73,ERT000073,279,Junction EnergyRateTier 73,51.2000,51.2000,1,1,2026-08-24T00:00:00.000
74,ERT000074,286,Zenith EnergyRateTier 74,51.9000,51.9000,1,1,2026-08-24T00:00:00.000
75,ERT000075,178,Delta EnergyRateTier 75,52.6000,52.6000,1,1,2026-08-24T00:00:00.000
76,ERT000076,304,Harbor EnergyRateTier 76,53.3000,53.3000,1,1,2026-08-24T00:00:00.000
77,ERT000077,215,Granite EnergyRateTier 77,54.0000,54.0000,1,1,2026-08-24T00:00:00.000
78,ERT000078,224,Cedar EnergyRateTier 78,54.7000,54.7000,1,1,2026-08-24T00:00:00.000
79,ERT000079,242,Granite EnergyRateTier 79,55.4000,55.4000,1,1,2026-08-24T00:00:00.000
80,ERT000080,26,Vertex EnergyRateTier 80,56.1000,56.1000,1,1,2026-08-24T00:00:00.000
81,ERT000081,160,Junction EnergyRateTier 81,56.8000,56.8000,1,1,2026-08-24T00:00:00.000
82,ERT000082,423,Harbor EnergyRateTier 82,57.5000,57.5000,1,1,2026-08-24T00:00:00.000
83,ERT000083,183,Junction EnergyRateTier 83,58.2000,58.2000,1,1,2026-08-24T00:00:00.000
84,ERT000084,369,Junction EnergyRateTier 84,58.9000,58.9000,1,1,2026-08-24T00:00:00.000
85,ERT000085,484,Quartz EnergyRateTier 85,59.6000,59.6000,1,1,2026-08-24T00:00:00.000
86,ERT000086,328,Beacon EnergyRateTier 86,60.3000,60.3000,1,1,2026-08-24T00:00:00.000
87,ERT000087,273,Ion EnergyRateTier 87,61.0000,61.0000,1,1,2026-08-24T00:00:00.000
88,ERT000088,396,Atlas EnergyRateTier 88,61.7000,61.7000,1,1,2026-08-24T00:00:00.000
89,ERT000089,2,Granite EnergyRateTier 89,62.4000,62.4000,1,1,2026-08-24T00:00:00.000
90,ERT000090,88,Riverton EnergyRateTier 90,63.1000,63.1000,1,1,2026-08-24T00:00:00.000
91,ERT000091,447,Unity EnergyRateTier 91,63.8000,63.8000,1,1,2026-08-24T00:00:00.000
92,ERT000092,161,Pioneer EnergyRateTier 92,64.5000,64.5000,1,1,2026-08-24T00:00:00.000
93,ERT000093,215,Delta EnergyRateTier 93,65.2000,65.2000,1,1,2026-08-24T00:00:00.000
94,ERT000094,158,Delta EnergyRateTier 94,65.9000,65.9000,1,1,2026-08-24T00:00:00.000
95,ERT000095,94,Keystone EnergyRateTier 95,66.6000,66.6000,1,1,2026-08-24T00:00:00.000
96,ERT000096,191,Vertex EnergyRateTier 96,67.3000,67.3000,1,1,2026-08-24T00:00:00.000
97,ERT000097,246,Vertex EnergyRateTier 97,68.0000,68.0000,1,1,2026-08-24T00:00:00.000
98,ERT000098,454,Cedar EnergyRateTier 98,68.7000,68.7000,1,1,2026-08-24T00:00:00.000
99,ERT000099,19,Meridian EnergyRateTier 99,69.4000,69.4000,1,1,2026-08-24T00:00:00.000
100,ERT000100,436,Ion EnergyRateTier 100,70.1000,70.1000,1,1,2026-08-24T00:00:00.000
101,ERT000101,32,Orion EnergyRateTier 101,70.8000,70.8000,1,1,2026-08-24T00:00:00.000
102,ERT000102,335,Forge EnergyRateTier 102,71.5000,71.5000,1,1,2026-08-24T00:00:00.000
103,ERT000103,466,Junction EnergyRateTier 103,72.2000,72.2000,1,1,2026-08-24T00:00:00.000
104,ERT000104,318,Pioneer EnergyRateTier 104,72.9000,72.9000,1,1,2026-08-24T00:00:00.000
105,ERT000105,177,Atlas EnergyRateTier 105,73.6000,73.6000,1,1,2026-08-24T00:00:00.000
106,ERT000106,426,Unity EnergyRateTier 106,74.3000,74.3000,1,1,2026-08-24T00:00:00.000
107,ERT000107,288,Cedar EnergyRateTier 107,75.0000,75.0000,1,1,2026-08-24T00:00:00.000
108,ERT000108,349,Meridian EnergyRateTier 108,75.7000,75.7000,1,1,2026-08-24T00:00:00.000
109,ERT000109,393,Delta EnergyRateTier 109,76.4000,76.4000,1,1,2026-08-24T00:00:00.000
110,ERT000110,6,Riverton EnergyRateTier 110,77.1000,77.1000,1,1,2026-08-24T00:00:00.000
111,ERT000111,148,Northstar EnergyRateTier 111,77.8000,77.8000,1,1,2026-08-24T00:00:00.000
112,ERT000112,240,Ion EnergyRateTier 112,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
113,ERT000113,469,Delta EnergyRateTier 113,79.2000,79.2000,1,1,2026-08-24T00:00:00.000
114,ERT000114,328,Ion EnergyRateTier 114,79.9000,79.9000,1,1,2026-08-24T00:00:00.000
115,ERT000115,277,Harbor EnergyRateTier 115,80.6000,80.6000,1,1,2026-08-24T00:00:00.000
116,ERT000116,162,Forge EnergyRateTier 116,81.3000,81.3000,1,1,2026-08-24T00:00:00.000
117,ERT000117,276,Junction EnergyRateTier 117,82.0000,82.0000,1,1,2026-08-24T00:00:00.000
118,ERT000118,318,Delta EnergyRateTier 118,82.7000,82.7000,1,1,2026-08-24T00:00:00.000
119,ERT000119,386,Zenith EnergyRateTier 119,83.4000,83.4000,1,1,2026-08-24T00:00:00.000
120,ERT000120,149,Harbor EnergyRateTier 120,84.1000,84.1000,1,1,2026-08-24T00:00:00.000
121,ERT000121,15,Meridian EnergyRateTier 121,84.8000,84.8000,1,1,2026-08-24T00:00:00.000
122,ERT000122,304,Quartz EnergyRateTier 122,85.5000,85.5000,1,1,2026-08-24T00:00:00.000
123,ERT000123,156,Summit EnergyRateTier 123,86.2000,86.2000,1,1,2026-08-24T00:00:00.000
124,ERT000124,100,Forge EnergyRateTier 124,86.9000,86.9000,1,1,2026-08-24T00:00:00.000
125,ERT000125,200,Harbor EnergyRateTier 125,87.6000,87.6000,1,1,2026-08-24T00:00:00.000
126,ERT000126,232,Keystone EnergyRateTier 126,88.3000,88.3000,1,1,2026-08-24T00:00:00.000
127,ERT000127,40,Junction EnergyRateTier 127,89.0000,89.0000,1,1,2026-08-24T00:00:00.000
128,ERT000128,116,Atlas EnergyRateTier 128,89.7000,89.7000,1,1,2026-08-24T00:00:00.000
129,ERT000129,452,Junction EnergyRateTier 129,90.4000,90.4000,1,1,2026-08-24T00:00:00.000
130,ERT000130,163,Summit EnergyRateTier 130,91.1000,91.1000,1,1,2026-08-24T00:00:00.000
131,ERT000131,5,Northstar EnergyRateTier 131,91.8000,91.8000,1,1,2026-08-24T00:00:00.000
132,ERT000132,15,Liberty EnergyRateTier 132,92.5000,92.5000,1,1,2026-08-24T00:00:00.000
133,ERT000133,402,Atlas EnergyRateTier 133,93.2000,93.2000,1,1,2026-08-24T00:00:00.000
134,ERT000134,244,Keystone EnergyRateTier 134,93.9000,93.9000,1,1,2026-08-24T00:00:00.000
135,ERT000135,211,Meridian EnergyRateTier 135,94.6000,94.6000,1,1,2026-08-24T00:00:00.000
136,ERT000136,207,Junction EnergyRateTier 136,95.3000,95.3000,1,1,2026-08-24T00:00:00.000
137,ERT000137,414,Orion EnergyRateTier 137,96.0000,96.0000,1,1,2026-08-24T00:00:00.000
138,ERT000138,79,Keystone EnergyRateTier 138,96.7000,96.7000,1,1,2026-08-24T00:00:00.000
139,ERT000139,45,Orion EnergyRateTier 139,97.4000,97.4000,1,1,2026-08-24T00:00:00.000
140,ERT000140,368,Harbor EnergyRateTier 140,98.1000,98.1000,1,1,2026-08-24T00:00:00.000
141,ERT000141,409,Liberty EnergyRateTier 141,98.8000,98.8000,1,1,2026-08-24T00:00:00.000
142,ERT000142,213,Titan EnergyRateTier 142,99.5000,99.5000,1,1,2026-08-24T00:00:00.000
143,ERT000143,2,Granite EnergyRateTier 143,100.2000,100.2000,1,1,2026-08-24T00:00:00.000
144,ERT000144,378,Cedar EnergyRateTier 144,100.9000,100.9000,1,1,2026-08-24T00:00:00.000
145,ERT000145,465,Riverton EnergyRateTier 145,101.6000,101.6000,1,1,2026-08-24T00:00:00.000
146,ERT000146,414,Atlas EnergyRateTier 146,102.3000,102.3000,1,1,2026-08-24T00:00:00.000
147,ERT000147,486,Harbor EnergyRateTier 147,103.0000,103.0000,1,1,2026-08-24T00:00:00.000
148,ERT000148,220,Granite EnergyRateTier 148,103.7000,103.7000,1,1,2026-08-24T00:00:00.000
149,ERT000149,43,Liberty EnergyRateTier 149,104.4000,104.4000,1,1,2026-08-24T00:00:00.000
150,ERT000150,395,Northstar EnergyRateTier 150,105.1000,105.1000,1,1,2026-08-24T00:00:00.000
151,ERT000151,485,Pioneer EnergyRateTier 151,105.8000,105.8000,1,1,2026-08-24T00:00:00.000
152,ERT000152,454,Vertex EnergyRateTier 152,106.5000,106.5000,1,1,2026-08-24T00:00:00.000
153,ERT000153,389,Northstar EnergyRateTier 153,107.2000,107.2000,1,1,2026-08-24T00:00:00.000
154,ERT000154,448,Willow EnergyRateTier 154,107.9000,107.9000,1,1,2026-08-24T00:00:00.000
155,ERT000155,202,Zenith EnergyRateTier 155,108.6000,108.6000,1,1,2026-08-24T00:00:00.000
156,ERT000156,293,Vertex EnergyRateTier 156,109.3000,109.3000,1,1,2026-08-24T00:00:00.000
157,ERT000157,280,Vertex EnergyRateTier 157,110.0000,110.0000,1,1,2026-08-24T00:00:00.000
158,ERT000158,115,Cedar EnergyRateTier 158,110.7000,110.7000,1,1,2026-08-24T00:00:00.000
159,ERT000159,183,Willow EnergyRateTier 159,111.4000,111.4000,1,1,2026-08-24T00:00:00.000
160,ERT000160,438,Evergreen EnergyRateTier 160,112.1000,112.1000,1,1,2026-08-24T00:00:00.000
161,ERT000161,482,Ion EnergyRateTier 161,112.8000,112.8000,1,1,2026-08-24T00:00:00.000
162,ERT000162,95,Liberty EnergyRateTier 162,113.5000,113.5000,1,1,2026-08-24T00:00:00.000
163,ERT000163,355,Atlas EnergyRateTier 163,114.2000,114.2000,1,1,2026-08-24T00:00:00.000
164,ERT000164,304,Liberty EnergyRateTier 164,114.9000,114.9000,1,1,2026-08-24T00:00:00.000
165,ERT000165,214,Forge EnergyRateTier 165,115.6000,115.6000,1,1,2026-08-24T00:00:00.000
166,ERT000166,308,Willow EnergyRateTier 166,116.3000,116.3000,1,1,2026-08-24T00:00:00.000
167,ERT000167,362,Titan EnergyRateTier 167,117.0000,117.0000,1,1,2026-08-24T00:00:00.000
168,ERT000168,8,Liberty EnergyRateTier 168,117.7000,117.7000,1,1,2026-08-24T00:00:00.000
169,ERT000169,177,Keystone EnergyRateTier 169,118.4000,118.4000,1,1,2026-08-24T00:00:00.000
170,ERT000170,393,Summit EnergyRateTier 170,119.1000,119.1000,1,1,2026-08-24T00:00:00.000
171,ERT000171,389,Liberty EnergyRateTier 171,119.8000,119.8000,1,1,2026-08-24T00:00:00.000
172,ERT000172,10,Harbor EnergyRateTier 172,120.5000,120.5000,1,1,2026-08-24T00:00:00.000
173,ERT000173,212,Meridian EnergyRateTier 173,121.2000,121.2000,1,1,2026-08-24T00:00:00.000
174,ERT000174,285,Titan EnergyRateTier 174,121.9000,121.9000,1,1,2026-08-24T00:00:00.000
175,ERT000175,408,Riverton EnergyRateTier 175,122.6000,122.6000,1,1,2026-08-24T00:00:00.000
176,ERT000176,163,Meridian EnergyRateTier 176,123.3000,123.3000,1,1,2026-08-24T00:00:00.000
177,ERT000177,73,Keystone EnergyRateTier 177,124.0000,124.0000,1,1,2026-08-24T00:00:00.000
178,ERT000178,161,Northstar EnergyRateTier 178,124.7000,124.7000,1,1,2026-08-24T00:00:00.000
179,ERT000179,303,Junction EnergyRateTier 179,125.4000,125.4000,1,1,2026-08-24T00:00:00.000
180,ERT000180,222,Liberty EnergyRateTier 180,126.1000,126.1000,1,1,2026-08-24T00:00:00.000
181,ERT000181,409,Orion EnergyRateTier 181,126.8000,126.8000,1,1,2026-08-24T00:00:00.000
182,ERT000182,184,Northstar EnergyRateTier 182,127.5000,127.5000,1,1,2026-08-24T00:00:00.000
183,ERT000183,285,Riverton EnergyRateTier 183,128.2000,128.2000,1,1,2026-08-24T00:00:00.000
184,ERT000184,40,Pioneer EnergyRateTier 184,128.9000,128.9000,1,1,2026-08-24T00:00:00.000
185,ERT000185,198,Granite EnergyRateTier 185,129.6000,129.6000,1,1,2026-08-24T00:00:00.000
186,ERT000186,48,Junction EnergyRateTier 186,130.3000,130.3000,1,1,2026-08-24T00:00:00.000
187,ERT000187,116,Unity EnergyRateTier 187,131.0000,131.0000,1,1,2026-08-24T00:00:00.000
188,ERT000188,492,Quartz EnergyRateTier 188,131.7000,131.7000,1,1,2026-08-24T00:00:00.000
189,ERT000189,96,Ion EnergyRateTier 189,132.4000,132.4000,1,1,2026-08-24T00:00:00.000
190,ERT000190,178,Cedar EnergyRateTier 190,133.1000,133.1000,1,1,2026-08-24T00:00:00.000
191,ERT000191,101,Cedar EnergyRateTier 191,133.8000,133.8000,1,1,2026-08-24T00:00:00.000
192,ERT000192,23,Meridian EnergyRateTier 192,134.5000,134.5000,1,1,2026-08-24T00:00:00.000
193,ERT000193,377,Cedar EnergyRateTier 193,135.2000,135.2000,1,1,2026-08-24T00:00:00.000
194,ERT000194,479,Ion EnergyRateTier 194,135.9000,135.9000,1,1,2026-08-24T00:00:00.000
195,ERT000195,322,Meridian EnergyRateTier 195,136.6000,136.6000,1,1,2026-08-24T00:00:00.000
