EngineeringMaterialSpecificationKey,MaterialSpecificationCode,EngineeringDisciplineKey,MeasurementSystemKey,ComplianceStandardKey,EngineeringMaterialSpecificationName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,EMS000001,3,1,25,Cedar EngineeringMaterialSpecification 1,EMS000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c133924475ed53cb9eef073130269535c133924475ed53cb9eef073130269535
2,EMS000002,2,3,17,Northstar EngineeringMaterialSpecification 2,EMS000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3de667f2ee25e409550b19687f92f9be3de667f2ee25e409550b19687f92f9b
3,EMS000003,1,2,5,Zenith EngineeringMaterialSpecification 3,EMS000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8237f15cffba5d05b4b43eb36f4bb00e8237f15cffba5d05b4b43eb36f4bb00e
4,EMS000004,6,2,14,Keystone EngineeringMaterialSpecification 4,EMS000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,530ed2a0224f5b4cb1adb088e8afe05f530ed2a0224f5b4cb1adb088e8afe05f
5,EMS000005,9,1,6,Ion EngineeringMaterialSpecification 5,EMS000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3892e253624b5bb29aadd71b837be1cc3892e253624b5bb29aadd71b837be1cc
6,EMS000006,23,3,13,Meridian EngineeringMaterialSpecification 6,EMS000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cd40df7065d54b29f94bed6cbf2d2af5cd40df7065d54b29f94bed6cbf2d2af
7,EMS000007,17,3,25,Granite EngineeringMaterialSpecification 7,EMS000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74a56e9c08d254ebabb10d062611392b74a56e9c08d254ebabb10d062611392b
8,EMS000008,23,2,20,Vertex EngineeringMaterialSpecification 8,EMS000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddab44895bf75b1985d6d9d0a105eda7ddab44895bf75b1985d6d9d0a105eda7
9,EMS000009,3,3,9,Zenith EngineeringMaterialSpecification 9,EMS000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e923c3d291c5e71ba3e76104e015ecf1e923c3d291c5e71ba3e76104e015ecf
10,EMS000010,4,2,24,Meridian EngineeringMaterialSpecification 10,EMS000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e16421a6272154a1a80b0b5940ff1828e16421a6272154a1a80b0b5940ff1828
11,EMS000011,34,2,2,Liberty EngineeringMaterialSpecification 11,EMS000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fa8d255bcde5f73b53bca56ae6b46b07fa8d255bcde5f73b53bca56ae6b46b0
12,EMS000012,21,2,5,Granite EngineeringMaterialSpecification 12,EMS000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a5e627ea23f594baedbc77d6be46ee16a5e627ea23f594baedbc77d6be46ee1
13,EMS000013,32,1,18,Willow EngineeringMaterialSpecification 13,EMS000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e44019b4676b534da729ca8997afe11ce44019b4676b534da729ca8997afe11c
