LogisticsShipmentHeaderKey,ShipmentNumber,LogisticsCarrierServiceOptionKey,LogisticsLaneSegmentKey,OriginPlantKey,DestinationCustomerCustomerKey,LogisticsShipmentStatusKey,LogisticsServiceLevelKey,ShipmentName,ProNumber,BillOfLadingNumber,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,UNKNOWN,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LSH000001,258,409,127,230,4,18,Orion LogisticsShipmentHeader 1,LSH000001,LSH000001,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f8de65a3199598a8350611ea7730e735f8de65a3199598a8350611ea7730e73
2,LSH000002,153,258,83,69,13,13,Keystone LogisticsShipmentHeader 2,LSH000002,LSH000002,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7196c1af15cd5247be158f755452e8a47196c1af15cd5247be158f755452e8a4
3,LSH000003,230,303,137,450,13,18,Harbor LogisticsShipmentHeader 3,LSH000003,LSH000003,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4ceb00d47d15b2cbe5f6490d4463875b4ceb00d47d15b2cbe5f6490d4463875
4,LSH000004,473,10,236,323,2,20,Liberty LogisticsShipmentHeader 4,LSH000004,LSH000004,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17afc4a2461a561c90558236877b207017afc4a2461a561c90558236877b2070
5,LSH000005,122,459,76,459,3,8,Forge LogisticsShipmentHeader 5,LSH000005,LSH000005,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51b07e20b3f959318f8b331ff7407ffc51b07e20b3f959318f8b331ff7407ffc
6,LSH000006,142,282,216,354,12,14,Cedar LogisticsShipmentHeader 6,LSH000006,LSH000006,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5017ef3e943a5b37ba7c6abfd58cc5285017ef3e943a5b37ba7c6abfd58cc528
7,LSH000007,356,129,349,248,9,6,Junction LogisticsShipmentHeader 7,LSH000007,LSH000007,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83ab0efe015a56ef95471c1b0d7b1e2283ab0efe015a56ef95471c1b0d7b1e22
8,LSH000008,52,447,348,203,11,3,Titan LogisticsShipmentHeader 8,LSH000008,LSH000008,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,473a2ec7d2575befb08a0fbb472f4394473a2ec7d2575befb08a0fbb472f4394
9,LSH000009,166,103,9,453,11,20,Harbor LogisticsShipmentHeader 9,LSH000009,LSH000009,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b23f09d145a5b5fab2dc83ef09070b97b23f09d145a5b5fab2dc83ef09070b9
10,LSH000010,48,425,270,72,7,14,Evergreen LogisticsShipmentHeader 10,LSH000010,LSH000010,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02382be68a75596dac4e765f0d08d69a02382be68a75596dac4e765f0d08d69a
11,LSH000011,356,229,14,268,4,5,Vertex LogisticsShipmentHeader 11,LSH000011,LSH000011,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fad533764cdc5bfe93935be191a25d03fad533764cdc5bfe93935be191a25d03
12,LSH000012,473,171,319,223,14,6,Titan LogisticsShipmentHeader 12,LSH000012,LSH000012,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ee81c466cd452b7a80ddcf31df2d3a10ee81c466cd452b7a80ddcf31df2d3a1
13,LSH000013,192,201,3,249,5,3,Pioneer LogisticsShipmentHeader 13,LSH000013,LSH000013,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea354092f0f854178e2d43609aefa295ea354092f0f854178e2d43609aefa295
14,LSH000014,108,190,311,124,6,16,Riverton LogisticsShipmentHeader 14,LSH000014,LSH000014,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f96262fb2b256b29a1fd2624f087a3b1f96262fb2b256b29a1fd2624f087a3b
15,LSH000015,63,306,298,172,5,3,Zenith LogisticsShipmentHeader 15,LSH000015,LSH000015,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d625822f9ed45e17a864c014783c12add625822f9ed45e17a864c014783c12ad
16,LSH000016,205,143,215,456,10,11,Zenith LogisticsShipmentHeader 16,LSH000016,LSH000016,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e25c3d770c655e1a7e3b1369deb60197e25c3d770c655e1a7e3b1369deb6019
17,LSH000017,298,363,-1,-1,14,2,Meridian LogisticsShipmentHeader 17,LSH000017,LSH000017,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bac8059fce259cabb9709f18185821b4bac8059fce259cabb9709f18185821b
18,LSH000018,444,451,160,202,14,20,Quartz LogisticsShipmentHeader 18,LSH000018,LSH000018,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b82205faf705145a72cf9867d9c35b65b82205faf705145a72cf9867d9c35b6
19,LSH000019,345,370,208,409,14,20,Titan LogisticsShipmentHeader 19,LSH000019,LSH000019,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d6a1a91bc695c42bf3ee9f189ae33016d6a1a91bc695c42bf3ee9f189ae3301
20,LSH000020,475,66,41,283,13,15,Summit LogisticsShipmentHeader 20,LSH000020,LSH000020,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a8651f977d750d4ae93798a095e29eb0a8651f977d750d4ae93798a095e29eb
21,LSH000021,214,348,24,343,9,17,Forge LogisticsShipmentHeader 21,LSH000021,LSH000021,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0aa572936ddd53baa97bd6ab1c2bf41b0aa572936ddd53baa97bd6ab1c2bf41b
22,LSH000022,201,343,24,474,5,19,Delta LogisticsShipmentHeader 22,LSH000022,LSH000022,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec12cecddfe558ebb3f1784c46d27b6cec12cecddfe558ebb3f1784c46d27b6c
23,LSH000023,39,190,28,422,2,4,Evergreen LogisticsShipmentHeader 23,LSH000023,LSH000023,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64c96cfd1c2159b2b8b88ce5cedae31964c96cfd1c2159b2b8b88ce5cedae319
24,LSH000024,312,324,296,443,10,9,Delta LogisticsShipmentHeader 24,LSH000024,LSH000024,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee9caa3fdd9b5a159bc292c1846ef449ee9caa3fdd9b5a159bc292c1846ef449
25,LSH000025,461,131,78,36,2,20,Unity LogisticsShipmentHeader 25,LSH000025,LSH000025,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26e5c37718a0516690e211b3edab95bc26e5c37718a0516690e211b3edab95bc
26,LSH000026,258,75,100,29,3,10,Riverton LogisticsShipmentHeader 26,LSH000026,LSH000026,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e1459d5ada95f4fa5a65b89aeff48278e1459d5ada95f4fa5a65b89aeff4827
27,LSH000027,41,98,93,298,6,19,Willow LogisticsShipmentHeader 27,LSH000027,LSH000027,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e15caba182f55388ddabd7f9c7365cd9e15caba182f55388ddabd7f9c7365cd
28,LSH000028,339,235,97,197,7,11,Ion LogisticsShipmentHeader 28,LSH000028,LSH000028,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ff33d92b16353d2a07fbf4b19b2b1886ff33d92b16353d2a07fbf4b19b2b188
29,LSH000029,432,71,144,56,14,12,Junction LogisticsShipmentHeader 29,LSH000029,LSH000029,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ceb6ef2df6aa51f7ae2a89833c6968e9ceb6ef2df6aa51f7ae2a89833c6968e9
30,LSH000030,57,197,46,353,9,16,Keystone LogisticsShipmentHeader 30,LSH000030,LSH000030,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e35984e3b0da583ca1143afe474d6fb6e35984e3b0da583ca1143afe474d6fb6
31,LSH000031,103,7,275,103,8,20,Northstar LogisticsShipmentHeader 31,LSH000031,LSH000031,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b333dbb18b685008ae51f48b8bf8109fb333dbb18b685008ae51f48b8bf8109f
32,LSH000032,326,177,196,50,13,17,Forge LogisticsShipmentHeader 32,LSH000032,LSH000032,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a11fe24d4335526bdb59bca894aaca88a11fe24d4335526bdb59bca894aaca8
33,LSH000033,264,64,13,384,7,11,Riverton LogisticsShipmentHeader 33,LSH000033,LSH000033,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,685264c5c8db5701814eb312a8aef930685264c5c8db5701814eb312a8aef930
34,LSH000034,61,193,-1,-1,3,18,Northstar LogisticsShipmentHeader 34,LSH000034,LSH000034,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f93404cef99752a1a70d000b92d1f896f93404cef99752a1a70d000b92d1f896
