LogisticsTariffItemKey,LogisticsTariffItemCode,LogisticsTariffSubheadingKey,LogisticsTariffItemName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LTI000001,415,Liberty LogisticsTariffItem 1,1,1,2026-08-24T00:00:00.000
2,LTI000002,56,Northstar LogisticsTariffItem 2,1,1,2026-08-24T00:00:00.000
3,LTI000003,104,Granite LogisticsTariffItem 3,1,1,2026-08-24T00:00:00.000
4,LTI000004,457,Ion LogisticsTariffItem 4,1,1,2026-08-24T00:00:00.000
5,LTI000005,385,Titan LogisticsTariffItem 5,1,1,2026-08-24T00:00:00.000
6,LTI000006,238,Meridian LogisticsTariffItem 6,1,1,2026-08-24T00:00:00.000
7,LTI000007,482,Vertex LogisticsTariffItem 7,1,1,2026-08-24T00:00:00.000
8,LTI000008,321,Granite LogisticsTariffItem 8,1,1,2026-08-24T00:00:00.000
9,LTI000009,80,Cedar LogisticsTariffItem 9,1,1,2026-08-24T00:00:00.000
10,LTI000010,373,Willow LogisticsTariffItem 10,1,1,2026-08-24T00:00:00.000
11,LTI000011,37,Northstar LogisticsTariffItem 11,1,1,2026-08-24T00:00:00.000
12,LTI000012,160,Atlas LogisticsTariffItem 12,1,1,2026-08-24T00:00:00.000
13,LTI000013,345,Beacon LogisticsTariffItem 13,1,1,2026-08-24T00:00:00.000
14,LTI000014,227,Riverton LogisticsTariffItem 14,1,1,2026-08-24T00:00:00.000
15,LTI000015,460,Zenith LogisticsTariffItem 15,1,1,2026-08-24T00:00:00.000
16,LTI000016,147,Unity LogisticsTariffItem 16,1,1,2026-08-24T00:00:00.000
17,LTI000017,310,Cedar LogisticsTariffItem 17,1,1,2026-08-24T00:00:00.000
18,LTI000018,436,Pioneer LogisticsTariffItem 18,1,1,2026-08-24T00:00:00.000
19,LTI000019,295,Meridian LogisticsTariffItem 19,1,1,2026-08-24T00:00:00.000
20,LTI000020,475,Delta LogisticsTariffItem 20,1,1,2026-08-24T00:00:00.000
21,LTI000021,251,Meridian LogisticsTariffItem 21,1,1,2026-08-24T00:00:00.000
22,LTI000022,254,Willow LogisticsTariffItem 22,1,1,2026-08-24T00:00:00.000
23,LTI000023,382,Junction LogisticsTariffItem 23,1,1,2026-08-24T00:00:00.000
24,LTI000024,439,Harbor LogisticsTariffItem 24,1,1,2026-08-24T00:00:00.000
25,LTI000025,44,Evergreen LogisticsTariffItem 25,1,1,2026-08-24T00:00:00.000
26,LTI000026,209,Junction LogisticsTariffItem 26,1,1,2026-08-24T00:00:00.000
27,LTI000027,223,Orion LogisticsTariffItem 27,1,1,2026-08-24T00:00:00.000
28,LTI000028,42,Delta LogisticsTariffItem 28,1,1,2026-08-24T00:00:00.000
29,LTI000029,132,Zenith LogisticsTariffItem 29,1,1,2026-08-24T00:00:00.000
30,LTI000030,168,Zenith LogisticsTariffItem 30,1,1,2026-08-24T00:00:00.000
31,LTI000031,150,Atlas LogisticsTariffItem 31,1,1,2026-08-24T00:00:00.000
32,LTI000032,95,Riverton LogisticsTariffItem 32,1,1,2026-08-24T00:00:00.000
33,LTI000033,226,Vertex LogisticsTariffItem 33,1,1,2026-08-24T00:00:00.000
34,LTI000034,413,Orion LogisticsTariffItem 34,1,1,2026-08-24T00:00:00.000
35,LTI000035,364,Quartz LogisticsTariffItem 35,1,1,2026-08-24T00:00:00.000
36,LTI000036,230,Orion LogisticsTariffItem 36,1,1,2026-08-24T00:00:00.000
37,LTI000037,254,Beacon LogisticsTariffItem 37,1,1,2026-08-24T00:00:00.000
38,LTI000038,276,Zenith LogisticsTariffItem 38,1,1,2026-08-24T00:00:00.000
39,LTI000039,278,Harbor LogisticsTariffItem 39,1,1,2026-08-24T00:00:00.000
40,LTI000040,343,Granite LogisticsTariffItem 40,1,1,2026-08-24T00:00:00.000
41,LTI000041,64,Ion LogisticsTariffItem 41,1,1,2026-08-24T00:00:00.000
42,LTI000042,178,Liberty LogisticsTariffItem 42,1,1,2026-08-24T00:00:00.000
43,LTI000043,62,Harbor LogisticsTariffItem 43,1,1,2026-08-24T00:00:00.000
44,LTI000044,414,Keystone LogisticsTariffItem 44,1,1,2026-08-24T00:00:00.000
45,LTI000045,9,Beacon LogisticsTariffItem 45,1,1,2026-08-24T00:00:00.000
46,LTI000046,490,Titan LogisticsTariffItem 46,1,1,2026-08-24T00:00:00.000
47,LTI000047,294,Riverton LogisticsTariffItem 47,1,1,2026-08-24T00:00:00.000
48,LTI000048,72,Summit LogisticsTariffItem 48,1,1,2026-08-24T00:00:00.000
49,LTI000049,3,Zenith LogisticsTariffItem 49,1,1,2026-08-24T00:00:00.000
50,LTI000050,45,Ion LogisticsTariffItem 50,1,1,2026-08-24T00:00:00.000
51,LTI000051,309,Atlas LogisticsTariffItem 51,1,1,2026-08-24T00:00:00.000
52,LTI000052,195,Meridian LogisticsTariffItem 52,1,1,2026-08-24T00:00:00.000
53,LTI000053,347,Keystone LogisticsTariffItem 53,1,1,2026-08-24T00:00:00.000
54,LTI000054,334,Titan LogisticsTariffItem 54,1,1,2026-08-24T00:00:00.000
55,LTI000055,56,Cedar LogisticsTariffItem 55,1,1,2026-08-24T00:00:00.000
56,LTI000056,93,Willow LogisticsTariffItem 56,1,1,2026-08-24T00:00:00.000
57,LTI000057,101,Northstar LogisticsTariffItem 57,1,1,2026-08-24T00:00:00.000
58,LTI000058,490,Pioneer LogisticsTariffItem 58,1,1,2026-08-24T00:00:00.000
59,LTI000059,199,Summit LogisticsTariffItem 59,1,1,2026-08-24T00:00:00.000
60,LTI000060,160,Riverton LogisticsTariffItem 60,1,1,2026-08-24T00:00:00.000
61,LTI000061,188,Granite LogisticsTariffItem 61,1,1,2026-08-24T00:00:00.000
62,LTI000062,199,Zenith LogisticsTariffItem 62,1,1,2026-08-24T00:00:00.000
63,LTI000063,386,Northstar LogisticsTariffItem 63,1,1,2026-08-24T00:00:00.000
64,LTI000064,85,Riverton LogisticsTariffItem 64,1,1,2026-08-24T00:00:00.000
65,LTI000065,66,Junction LogisticsTariffItem 65,1,1,2026-08-24T00:00:00.000
66,LTI000066,239,Harbor LogisticsTariffItem 66,1,1,2026-08-24T00:00:00.000
67,LTI000067,348,Titan LogisticsTariffItem 67,1,1,2026-08-24T00:00:00.000
68,LTI000068,85,Quartz LogisticsTariffItem 68,1,1,2026-08-24T00:00:00.000
69,LTI000069,367,Zenith LogisticsTariffItem 69,1,1,2026-08-24T00:00:00.000
70,LTI000070,22,Forge LogisticsTariffItem 70,1,1,2026-08-24T00:00:00.000
71,LTI000071,427,Granite LogisticsTariffItem 71,1,1,2026-08-24T00:00:00.000
72,LTI000072,422,Summit LogisticsTariffItem 72,1,1,2026-08-24T00:00:00.000
73,LTI000073,475,Granite LogisticsTariffItem 73,1,1,2026-08-24T00:00:00.000
74,LTI000074,435,Northstar LogisticsTariffItem 74,1,1,2026-08-24T00:00:00.000
75,LTI000075,480,Zenith LogisticsTariffItem 75,1,1,2026-08-24T00:00:00.000
76,LTI000076,344,Keystone LogisticsTariffItem 76,1,1,2026-08-24T00:00:00.000
77,LTI000077,50,Meridian LogisticsTariffItem 77,1,1,2026-08-24T00:00:00.000
78,LTI000078,469,Vertex LogisticsTariffItem 78,1,1,2026-08-24T00:00:00.000
79,LTI000079,445,Vertex LogisticsTariffItem 79,1,1,2026-08-24T00:00:00.000
80,LTI000080,487,Zenith LogisticsTariffItem 80,1,1,2026-08-24T00:00:00.000
81,LTI000081,374,Northstar LogisticsTariffItem 81,1,1,2026-08-24T00:00:00.000
82,LTI000082,164,Orion LogisticsTariffItem 82,1,1,2026-08-24T00:00:00.000
83,LTI000083,371,Titan LogisticsTariffItem 83,1,1,2026-08-24T00:00:00.000
84,LTI000084,176,Pioneer LogisticsTariffItem 84,1,1,2026-08-24T00:00:00.000
85,LTI000085,462,Beacon LogisticsTariffItem 85,1,1,2026-08-24T00:00:00.000
86,LTI000086,364,Forge LogisticsTariffItem 86,1,1,2026-08-24T00:00:00.000
87,LTI000087,358,Zenith LogisticsTariffItem 87,1,1,2026-08-24T00:00:00.000
88,LTI000088,418,Vertex LogisticsTariffItem 88,1,1,2026-08-24T00:00:00.000
89,LTI000089,434,Atlas LogisticsTariffItem 89,1,1,2026-08-24T00:00:00.000
90,LTI000090,369,Meridian LogisticsTariffItem 90,1,1,2026-08-24T00:00:00.000
91,LTI000091,49,Northstar LogisticsTariffItem 91,1,1,2026-08-24T00:00:00.000
92,LTI000092,88,Pioneer LogisticsTariffItem 92,1,1,2026-08-24T00:00:00.000
93,LTI000093,445,Quartz LogisticsTariffItem 93,1,1,2026-08-24T00:00:00.000
94,LTI000094,132,Northstar LogisticsTariffItem 94,1,1,2026-08-24T00:00:00.000
95,LTI000095,400,Meridian LogisticsTariffItem 95,1,1,2026-08-24T00:00:00.000
96,LTI000096,17,Atlas LogisticsTariffItem 96,1,1,2026-08-24T00:00:00.000
97,LTI000097,304,Summit LogisticsTariffItem 97,1,1,2026-08-24T00:00:00.000
98,LTI000098,258,Willow LogisticsTariffItem 98,1,1,2026-08-24T00:00:00.000
99,LTI000099,314,Ion LogisticsTariffItem 99,1,1,2026-08-24T00:00:00.000
100,LTI000100,17,Riverton LogisticsTariffItem 100,1,1,2026-08-24T00:00:00.000
101,LTI000101,126,Titan LogisticsTariffItem 101,1,1,2026-08-24T00:00:00.000
102,LTI000102,159,Forge LogisticsTariffItem 102,1,1,2026-08-24T00:00:00.000
103,LTI000103,113,Zenith LogisticsTariffItem 103,1,1,2026-08-24T00:00:00.000
104,LTI000104,79,Meridian LogisticsTariffItem 104,1,1,2026-08-24T00:00:00.000
105,LTI000105,492,Quartz LogisticsTariffItem 105,1,1,2026-08-24T00:00:00.000
106,LTI000106,282,Forge LogisticsTariffItem 106,1,1,2026-08-24T00:00:00.000
107,LTI000107,30,Northstar LogisticsTariffItem 107,1,1,2026-08-24T00:00:00.000
108,LTI000108,429,Willow LogisticsTariffItem 108,1,1,2026-08-24T00:00:00.000
109,LTI000109,294,Delta LogisticsTariffItem 109,1,1,2026-08-24T00:00:00.000
110,LTI000110,299,Quartz LogisticsTariffItem 110,1,1,2026-08-24T00:00:00.000
111,LTI000111,449,Harbor LogisticsTariffItem 111,1,1,2026-08-24T00:00:00.000
112,LTI000112,320,Forge LogisticsTariffItem 112,1,1,2026-08-24T00:00:00.000
113,LTI000113,350,Beacon LogisticsTariffItem 113,1,1,2026-08-24T00:00:00.000
114,LTI000114,94,Junction LogisticsTariffItem 114,1,1,2026-08-24T00:00:00.000
115,LTI000115,54,Summit LogisticsTariffItem 115,1,1,2026-08-24T00:00:00.000
116,LTI000116,252,Keystone LogisticsTariffItem 116,1,1,2026-08-24T00:00:00.000
117,LTI000117,360,Willow LogisticsTariffItem 117,1,1,2026-08-24T00:00:00.000
118,LTI000118,478,Zenith LogisticsTariffItem 118,1,1,2026-08-24T00:00:00.000
119,LTI000119,386,Keystone LogisticsTariffItem 119,1,1,2026-08-24T00:00:00.000
120,LTI000120,15,Orion LogisticsTariffItem 120,1,1,2026-08-24T00:00:00.000
121,LTI000121,460,Harbor LogisticsTariffItem 121,1,1,2026-08-24T00:00:00.000
122,LTI000122,462,Willow LogisticsTariffItem 122,1,1,2026-08-24T00:00:00.000
123,LTI000123,310,Titan LogisticsTariffItem 123,1,1,2026-08-24T00:00:00.000
124,LTI000124,464,Beacon LogisticsTariffItem 124,1,1,2026-08-24T00:00:00.000
125,LTI000125,400,Orion LogisticsTariffItem 125,1,1,2026-08-24T00:00:00.000
126,LTI000126,129,Atlas LogisticsTariffItem 126,1,1,2026-08-24T00:00:00.000
127,LTI000127,172,Keystone LogisticsTariffItem 127,1,1,2026-08-24T00:00:00.000
128,LTI000128,61,Liberty LogisticsTariffItem 128,1,1,2026-08-24T00:00:00.000
129,LTI000129,109,Ion LogisticsTariffItem 129,1,1,2026-08-24T00:00:00.000
130,LTI000130,450,Harbor LogisticsTariffItem 130,1,1,2026-08-24T00:00:00.000
131,LTI000131,251,Granite LogisticsTariffItem 131,1,1,2026-08-24T00:00:00.000
132,LTI000132,333,Riverton LogisticsTariffItem 132,1,1,2026-08-24T00:00:00.000
133,LTI000133,36,Liberty LogisticsTariffItem 133,1,1,2026-08-24T00:00:00.000
134,LTI000134,88,Forge LogisticsTariffItem 134,1,1,2026-08-24T00:00:00.000
135,LTI000135,373,Titan LogisticsTariffItem 135,1,1,2026-08-24T00:00:00.000
136,LTI000136,180,Quartz LogisticsTariffItem 136,1,1,2026-08-24T00:00:00.000
137,LTI000137,332,Willow LogisticsTariffItem 137,1,1,2026-08-24T00:00:00.000
138,LTI000138,186,Keystone LogisticsTariffItem 138,1,1,2026-08-24T00:00:00.000
