ServiceRepairSubcategoryKey,ServiceRepairSubcategoryCode,ServiceRepairCategoryKey,ServiceRepairSubcategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SRS000001,31,Liberty ServiceRepairSubcategory 1,1,1,2026-08-24T00:00:00.000
2,SRS000002,21,Quartz ServiceRepairSubcategory 2,1,1,2026-08-24T00:00:00.000
3,SRS000003,25,Delta ServiceRepairSubcategory 3,1,1,2026-08-24T00:00:00.000
4,SRS000004,32,Ion ServiceRepairSubcategory 4,1,1,2026-08-24T00:00:00.000
5,SRS000005,29,Beacon ServiceRepairSubcategory 5,1,1,2026-08-24T00:00:00.000
6,SRS000006,33,Harbor ServiceRepairSubcategory 6,1,1,2026-08-24T00:00:00.000
7,SRS000007,22,Ion ServiceRepairSubcategory 7,1,1,2026-08-24T00:00:00.000
8,SRS000008,29,Unity ServiceRepairSubcategory 8,1,1,2026-08-24T00:00:00.000
9,SRS000009,17,Forge ServiceRepairSubcategory 9,1,1,2026-08-24T00:00:00.000
10,SRS000010,28,Zenith ServiceRepairSubcategory 10,1,1,2026-08-24T00:00:00.000
11,SRS000011,32,Meridian ServiceRepairSubcategory 11,1,1,2026-08-24T00:00:00.000
12,SRS000012,35,Forge ServiceRepairSubcategory 12,1,1,2026-08-24T00:00:00.000
13,SRS000013,17,Harbor ServiceRepairSubcategory 13,1,1,2026-08-24T00:00:00.000
14,SRS000014,13,Zenith ServiceRepairSubcategory 14,1,1,2026-08-24T00:00:00.000
15,SRS000015,29,Unity ServiceRepairSubcategory 15,1,1,2026-08-24T00:00:00.000
16,SRS000016,4,Quartz ServiceRepairSubcategory 16,1,1,2026-08-24T00:00:00.000
17,SRS000017,8,Atlas ServiceRepairSubcategory 17,1,1,2026-08-24T00:00:00.000
18,SRS000018,4,Northstar ServiceRepairSubcategory 18,1,1,2026-08-24T00:00:00.000
19,SRS000019,6,Pioneer ServiceRepairSubcategory 19,1,1,2026-08-24T00:00:00.000
20,SRS000020,8,Vertex ServiceRepairSubcategory 20,1,1,2026-08-24T00:00:00.000
21,SRS000021,22,Pioneer ServiceRepairSubcategory 21,1,1,2026-08-24T00:00:00.000
22,SRS000022,5,Willow ServiceRepairSubcategory 22,1,1,2026-08-24T00:00:00.000
23,SRS000023,21,Quartz ServiceRepairSubcategory 23,1,1,2026-08-24T00:00:00.000
24,SRS000024,28,Liberty ServiceRepairSubcategory 24,1,1,2026-08-24T00:00:00.000
25,SRS000025,4,Unity ServiceRepairSubcategory 25,1,1,2026-08-24T00:00:00.000
26,SRS000026,6,Liberty ServiceRepairSubcategory 26,1,1,2026-08-24T00:00:00.000
27,SRS000027,27,Cedar ServiceRepairSubcategory 27,1,1,2026-08-24T00:00:00.000
28,SRS000028,4,Beacon ServiceRepairSubcategory 28,1,1,2026-08-24T00:00:00.000
29,SRS000029,12,Granite ServiceRepairSubcategory 29,1,1,2026-08-24T00:00:00.000
30,SRS000030,18,Meridian ServiceRepairSubcategory 30,1,1,2026-08-24T00:00:00.000
31,SRS000031,21,Titan ServiceRepairSubcategory 31,1,1,2026-08-24T00:00:00.000
32,SRS000032,27,Forge ServiceRepairSubcategory 32,1,1,2026-08-24T00:00:00.000
33,SRS000033,7,Riverton ServiceRepairSubcategory 33,1,1,2026-08-24T00:00:00.000
34,SRS000034,31,Willow ServiceRepairSubcategory 34,1,1,2026-08-24T00:00:00.000
35,SRS000035,16,Delta ServiceRepairSubcategory 35,1,1,2026-08-24T00:00:00.000
36,SRS000036,11,Riverton ServiceRepairSubcategory 36,1,1,2026-08-24T00:00:00.000
37,SRS000037,21,Unity ServiceRepairSubcategory 37,1,1,2026-08-24T00:00:00.000
38,SRS000038,20,Titan ServiceRepairSubcategory 38,1,1,2026-08-24T00:00:00.000
39,SRS000039,30,Meridian ServiceRepairSubcategory 39,1,1,2026-08-24T00:00:00.000
40,SRS000040,33,Beacon ServiceRepairSubcategory 40,1,1,2026-08-24T00:00:00.000
41,SRS000041,32,Keystone ServiceRepairSubcategory 41,1,1,2026-08-24T00:00:00.000
42,SRS000042,33,Liberty ServiceRepairSubcategory 42,1,1,2026-08-24T00:00:00.000
43,SRS000043,13,Willow ServiceRepairSubcategory 43,1,1,2026-08-24T00:00:00.000
44,SRS000044,4,Forge ServiceRepairSubcategory 44,1,1,2026-08-24T00:00:00.000
45,SRS000045,20,Northstar ServiceRepairSubcategory 45,1,1,2026-08-24T00:00:00.000
46,SRS000046,24,Liberty ServiceRepairSubcategory 46,1,1,2026-08-24T00:00:00.000
47,SRS000047,29,Titan ServiceRepairSubcategory 47,1,1,2026-08-24T00:00:00.000
48,SRS000048,31,Granite ServiceRepairSubcategory 48,1,1,2026-08-24T00:00:00.000
49,SRS000049,11,Evergreen ServiceRepairSubcategory 49,1,1,2026-08-24T00:00:00.000
50,SRS000050,25,Zenith ServiceRepairSubcategory 50,1,1,2026-08-24T00:00:00.000
51,SRS000051,4,Orion ServiceRepairSubcategory 51,1,1,2026-08-24T00:00:00.000
52,SRS000052,31,Harbor ServiceRepairSubcategory 52,1,1,2026-08-24T00:00:00.000
53,SRS000053,10,Titan ServiceRepairSubcategory 53,1,1,2026-08-24T00:00:00.000
54,SRS000054,24,Beacon ServiceRepairSubcategory 54,1,1,2026-08-24T00:00:00.000
55,SRS000055,16,Forge ServiceRepairSubcategory 55,1,1,2026-08-24T00:00:00.000
56,SRS000056,15,Junction ServiceRepairSubcategory 56,1,1,2026-08-24T00:00:00.000
57,SRS000057,35,Pioneer ServiceRepairSubcategory 57,1,1,2026-08-24T00:00:00.000
58,SRS000058,9,Zenith ServiceRepairSubcategory 58,1,1,2026-08-24T00:00:00.000
59,SRS000059,1,Titan ServiceRepairSubcategory 59,1,1,2026-08-24T00:00:00.000
60,SRS000060,14,Junction ServiceRepairSubcategory 60,1,1,2026-08-24T00:00:00.000
61,SRS000061,23,Junction ServiceRepairSubcategory 61,1,1,2026-08-24T00:00:00.000
62,SRS000062,5,Orion ServiceRepairSubcategory 62,1,1,2026-08-24T00:00:00.000
63,SRS000063,18,Orion ServiceRepairSubcategory 63,1,1,2026-08-24T00:00:00.000
64,SRS000064,27,Quartz ServiceRepairSubcategory 64,1,1,2026-08-24T00:00:00.000
65,SRS000065,15,Harbor ServiceRepairSubcategory 65,1,1,2026-08-24T00:00:00.000
66,SRS000066,35,Cedar ServiceRepairSubcategory 66,1,1,2026-08-24T00:00:00.000
67,SRS000067,17,Harbor ServiceRepairSubcategory 67,1,1,2026-08-24T00:00:00.000
68,SRS000068,23,Liberty ServiceRepairSubcategory 68,1,1,2026-08-24T00:00:00.000
69,SRS000069,32,Evergreen ServiceRepairSubcategory 69,1,1,2026-08-24T00:00:00.000
70,SRS000070,8,Cedar ServiceRepairSubcategory 70,1,1,2026-08-24T00:00:00.000
71,SRS000071,30,Junction ServiceRepairSubcategory 71,1,1,2026-08-24T00:00:00.000
72,SRS000072,5,Willow ServiceRepairSubcategory 72,1,1,2026-08-24T00:00:00.000
73,SRS000073,35,Northstar ServiceRepairSubcategory 73,1,1,2026-08-24T00:00:00.000
74,SRS000074,20,Keystone ServiceRepairSubcategory 74,1,1,2026-08-24T00:00:00.000
75,SRS000075,31,Riverton ServiceRepairSubcategory 75,1,1,2026-08-24T00:00:00.000
76,SRS000076,13,Meridian ServiceRepairSubcategory 76,1,1,2026-08-24T00:00:00.000
77,SRS000077,11,Northstar ServiceRepairSubcategory 77,1,1,2026-08-24T00:00:00.000
78,SRS000078,7,Ion ServiceRepairSubcategory 78,1,1,2026-08-24T00:00:00.000
79,SRS000079,2,Zenith ServiceRepairSubcategory 79,1,1,2026-08-24T00:00:00.000
80,SRS000080,1,Orion ServiceRepairSubcategory 80,1,1,2026-08-24T00:00:00.000
81,SRS000081,4,Zenith ServiceRepairSubcategory 81,1,1,2026-08-24T00:00:00.000
82,SRS000082,28,Willow ServiceRepairSubcategory 82,1,1,2026-08-24T00:00:00.000
83,SRS000083,19,Delta ServiceRepairSubcategory 83,1,1,2026-08-24T00:00:00.000
84,SRS000084,18,Keystone ServiceRepairSubcategory 84,1,1,2026-08-24T00:00:00.000
85,SRS000085,1,Keystone ServiceRepairSubcategory 85,1,1,2026-08-24T00:00:00.000
86,SRS000086,33,Beacon ServiceRepairSubcategory 86,1,1,2026-08-24T00:00:00.000
87,SRS000087,15,Beacon ServiceRepairSubcategory 87,1,1,2026-08-24T00:00:00.000
88,SRS000088,12,Vertex ServiceRepairSubcategory 88,1,1,2026-08-24T00:00:00.000
89,SRS000089,9,Vertex ServiceRepairSubcategory 89,1,1,2026-08-24T00:00:00.000
90,SRS000090,19,Evergreen ServiceRepairSubcategory 90,1,1,2026-08-24T00:00:00.000
91,SRS000091,33,Vertex ServiceRepairSubcategory 91,1,1,2026-08-24T00:00:00.000
92,SRS000092,12,Ion ServiceRepairSubcategory 92,1,1,2026-08-24T00:00:00.000
93,SRS000093,35,Cedar ServiceRepairSubcategory 93,1,1,2026-08-24T00:00:00.000
94,SRS000094,25,Orion ServiceRepairSubcategory 94,1,1,2026-08-24T00:00:00.000
95,SRS000095,27,Northstar ServiceRepairSubcategory 95,1,1,2026-08-24T00:00:00.000
96,SRS000096,30,Delta ServiceRepairSubcategory 96,1,1,2026-08-24T00:00:00.000
97,SRS000097,20,Orion ServiceRepairSubcategory 97,1,1,2026-08-24T00:00:00.000
98,SRS000098,21,Riverton ServiceRepairSubcategory 98,1,1,2026-08-24T00:00:00.000
99,SRS000099,30,Beacon ServiceRepairSubcategory 99,1,1,2026-08-24T00:00:00.000
100,SRS000100,20,Harbor ServiceRepairSubcategory 100,1,1,2026-08-24T00:00:00.000
101,SRS000101,1,Unity ServiceRepairSubcategory 101,1,1,2026-08-24T00:00:00.000
102,SRS000102,14,Keystone ServiceRepairSubcategory 102,1,1,2026-08-24T00:00:00.000
103,SRS000103,7,Delta ServiceRepairSubcategory 103,1,1,2026-08-24T00:00:00.000
104,SRS000104,12,Vertex ServiceRepairSubcategory 104,1,1,2026-08-24T00:00:00.000
105,SRS000105,10,Granite ServiceRepairSubcategory 105,1,1,2026-08-24T00:00:00.000
106,SRS000106,3,Quartz ServiceRepairSubcategory 106,1,1,2026-08-24T00:00:00.000
