LogisticsTerminalKey,LogisticsTerminalCode,LogisticsHubKey,LogisticsTerminalName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LT000001,59,Unity LogisticsTerminal 1,1,1,2026-08-24T00:00:00.000
2,LT000002,196,Pioneer LogisticsTerminal 2,1,1,2026-08-24T00:00:00.000
3,LT000003,16,Summit LogisticsTerminal 3,1,1,2026-08-24T00:00:00.000
4,LT000004,71,Zenith LogisticsTerminal 4,1,1,2026-08-24T00:00:00.000
5,LT000005,70,Granite LogisticsTerminal 5,1,1,2026-08-24T00:00:00.000
6,LT000006,207,Northstar LogisticsTerminal 6,1,1,2026-08-24T00:00:00.000
7,LT000007,81,Granite LogisticsTerminal 7,1,1,2026-08-24T00:00:00.000
8,LT000008,21,Atlas LogisticsTerminal 8,1,1,2026-08-24T00:00:00.000
9,LT000009,89,Unity LogisticsTerminal 9,1,1,2026-08-24T00:00:00.000
10,LT000010,12,Vertex LogisticsTerminal 10,1,1,2026-08-24T00:00:00.000
11,LT000011,164,Northstar LogisticsTerminal 11,1,1,2026-08-24T00:00:00.000
12,LT000012,122,Granite LogisticsTerminal 12,1,1,2026-08-24T00:00:00.000
13,LT000013,86,Evergreen LogisticsTerminal 13,1,1,2026-08-24T00:00:00.000
14,LT000014,24,Pioneer LogisticsTerminal 14,1,1,2026-08-24T00:00:00.000
15,LT000015,35,Riverton LogisticsTerminal 15,1,1,2026-08-24T00:00:00.000
16,LT000016,66,Willow LogisticsTerminal 16,1,1,2026-08-24T00:00:00.000
17,LT000017,164,Zenith LogisticsTerminal 17,1,1,2026-08-24T00:00:00.000
18,LT000018,82,Northstar LogisticsTerminal 18,1,1,2026-08-24T00:00:00.000
19,LT000019,99,Vertex LogisticsTerminal 19,1,1,2026-08-24T00:00:00.000
20,LT000020,193,Junction LogisticsTerminal 20,1,1,2026-08-24T00:00:00.000
21,LT000021,117,Harbor LogisticsTerminal 21,1,1,2026-08-24T00:00:00.000
22,LT000022,196,Forge LogisticsTerminal 22,1,1,2026-08-24T00:00:00.000
23,LT000023,203,Keystone LogisticsTerminal 23,1,1,2026-08-24T00:00:00.000
24,LT000024,219,Junction LogisticsTerminal 24,1,1,2026-08-24T00:00:00.000
25,LT000025,56,Forge LogisticsTerminal 25,1,1,2026-08-24T00:00:00.000
26,LT000026,178,Junction LogisticsTerminal 26,1,1,2026-08-24T00:00:00.000
27,LT000027,88,Junction LogisticsTerminal 27,1,1,2026-08-24T00:00:00.000
28,LT000028,3,Harbor LogisticsTerminal 28,1,1,2026-08-24T00:00:00.000
29,LT000029,161,Delta LogisticsTerminal 29,1,1,2026-08-24T00:00:00.000
30,LT000030,87,Granite LogisticsTerminal 30,1,1,2026-08-24T00:00:00.000
31,LT000031,42,Willow LogisticsTerminal 31,1,1,2026-08-24T00:00:00.000
32,LT000032,94,Orion LogisticsTerminal 32,1,1,2026-08-24T00:00:00.000
33,LT000033,191,Liberty LogisticsTerminal 33,1,1,2026-08-24T00:00:00.000
34,LT000034,221,Riverton LogisticsTerminal 34,1,1,2026-08-24T00:00:00.000
35,LT000035,74,Ion LogisticsTerminal 35,1,1,2026-08-24T00:00:00.000
36,LT000036,24,Quartz LogisticsTerminal 36,1,1,2026-08-24T00:00:00.000
37,LT000037,237,Summit LogisticsTerminal 37,1,1,2026-08-24T00:00:00.000
38,LT000038,226,Junction LogisticsTerminal 38,1,1,2026-08-24T00:00:00.000
39,LT000039,164,Vertex LogisticsTerminal 39,1,1,2026-08-24T00:00:00.000
40,LT000040,81,Willow LogisticsTerminal 40,1,1,2026-08-24T00:00:00.000
41,LT000041,83,Liberty LogisticsTerminal 41,1,1,2026-08-24T00:00:00.000
42,LT000042,88,Forge LogisticsTerminal 42,1,1,2026-08-24T00:00:00.000
43,LT000043,199,Cedar LogisticsTerminal 43,1,1,2026-08-24T00:00:00.000
44,LT000044,196,Ion LogisticsTerminal 44,1,1,2026-08-24T00:00:00.000
45,LT000045,78,Beacon LogisticsTerminal 45,1,1,2026-08-24T00:00:00.000
46,LT000046,242,Forge LogisticsTerminal 46,1,1,2026-08-24T00:00:00.000
47,LT000047,130,Granite LogisticsTerminal 47,1,1,2026-08-24T00:00:00.000
48,LT000048,232,Summit LogisticsTerminal 48,1,1,2026-08-24T00:00:00.000
49,LT000049,119,Cedar LogisticsTerminal 49,1,1,2026-08-24T00:00:00.000
50,LT000050,136,Junction LogisticsTerminal 50,1,1,2026-08-24T00:00:00.000
51,LT000051,50,Riverton LogisticsTerminal 51,1,1,2026-08-24T00:00:00.000
52,LT000052,5,Atlas LogisticsTerminal 52,1,1,2026-08-24T00:00:00.000
53,LT000053,130,Willow LogisticsTerminal 53,1,1,2026-08-24T00:00:00.000
54,LT000054,108,Ion LogisticsTerminal 54,1,1,2026-08-24T00:00:00.000
55,LT000055,127,Forge LogisticsTerminal 55,1,1,2026-08-24T00:00:00.000
56,LT000056,95,Granite LogisticsTerminal 56,1,1,2026-08-24T00:00:00.000
57,LT000057,86,Pioneer LogisticsTerminal 57,1,1,2026-08-24T00:00:00.000
58,LT000058,222,Vertex LogisticsTerminal 58,1,1,2026-08-24T00:00:00.000
59,LT000059,126,Liberty LogisticsTerminal 59,1,1,2026-08-24T00:00:00.000
60,LT000060,130,Junction LogisticsTerminal 60,1,1,2026-08-24T00:00:00.000
61,LT000061,106,Ion LogisticsTerminal 61,1,1,2026-08-24T00:00:00.000
62,LT000062,245,Keystone LogisticsTerminal 62,1,1,2026-08-24T00:00:00.000
63,LT000063,56,Junction LogisticsTerminal 63,1,1,2026-08-24T00:00:00.000
64,LT000064,233,Harbor LogisticsTerminal 64,1,1,2026-08-24T00:00:00.000
65,LT000065,120,Atlas LogisticsTerminal 65,1,1,2026-08-24T00:00:00.000
66,LT000066,172,Delta LogisticsTerminal 66,1,1,2026-08-24T00:00:00.000
67,LT000067,103,Meridian LogisticsTerminal 67,1,1,2026-08-24T00:00:00.000
68,LT000068,192,Beacon LogisticsTerminal 68,1,1,2026-08-24T00:00:00.000
69,LT000069,121,Ion LogisticsTerminal 69,1,1,2026-08-24T00:00:00.000
70,LT000070,133,Zenith LogisticsTerminal 70,1,1,2026-08-24T00:00:00.000
71,LT000071,119,Orion LogisticsTerminal 71,1,1,2026-08-24T00:00:00.000
72,LT000072,144,Riverton LogisticsTerminal 72,1,1,2026-08-24T00:00:00.000
73,LT000073,163,Liberty LogisticsTerminal 73,1,1,2026-08-24T00:00:00.000
74,LT000074,29,Willow LogisticsTerminal 74,1,1,2026-08-24T00:00:00.000
75,LT000075,174,Cedar LogisticsTerminal 75,1,1,2026-08-24T00:00:00.000
76,LT000076,233,Riverton LogisticsTerminal 76,1,1,2026-08-24T00:00:00.000
77,LT000077,241,Junction LogisticsTerminal 77,1,1,2026-08-24T00:00:00.000
78,LT000078,24,Harbor LogisticsTerminal 78,1,1,2026-08-24T00:00:00.000
79,LT000079,109,Delta LogisticsTerminal 79,1,1,2026-08-24T00:00:00.000
80,LT000080,76,Vertex LogisticsTerminal 80,1,1,2026-08-24T00:00:00.000
81,LT000081,1,Beacon LogisticsTerminal 81,1,1,2026-08-24T00:00:00.000
