FinanceProfitCenterKey,FinanceProfitCenterCode,FinanceMarketSegmentKey,FinanceProfitCenterName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FPC000001,200,Evergreen FinanceProfitCenter 1,1,1,2026-08-24T00:00:00.000
2,FPC000002,132,Atlas FinanceProfitCenter 2,1,1,2026-08-24T00:00:00.000
3,FPC000003,179,Beacon FinanceProfitCenter 3,1,1,2026-08-24T00:00:00.000
4,FPC000004,115,Cedar FinanceProfitCenter 4,1,1,2026-08-24T00:00:00.000
5,FPC000005,5,Summit FinanceProfitCenter 5,1,1,2026-08-24T00:00:00.000
6,FPC000006,149,Unity FinanceProfitCenter 6,1,1,2026-08-24T00:00:00.000
7,FPC000007,103,Pioneer FinanceProfitCenter 7,1,1,2026-08-24T00:00:00.000
8,FPC000008,133,Summit FinanceProfitCenter 8,1,1,2026-08-24T00:00:00.000
9,FPC000009,183,Quartz FinanceProfitCenter 9,1,1,2026-08-24T00:00:00.000
10,FPC000010,76,Meridian FinanceProfitCenter 10,1,1,2026-08-24T00:00:00.000
11,FPC000011,64,Northstar FinanceProfitCenter 11,1,1,2026-08-24T00:00:00.000
12,FPC000012,100,Junction FinanceProfitCenter 12,1,1,2026-08-24T00:00:00.000
13,FPC000013,101,Forge FinanceProfitCenter 13,1,1,2026-08-24T00:00:00.000
14,FPC000014,110,Titan FinanceProfitCenter 14,1,1,2026-08-24T00:00:00.000
15,FPC000015,64,Quartz FinanceProfitCenter 15,1,1,2026-08-24T00:00:00.000
16,FPC000016,91,Delta FinanceProfitCenter 16,1,1,2026-08-24T00:00:00.000
17,FPC000017,60,Meridian FinanceProfitCenter 17,1,1,2026-08-24T00:00:00.000
18,FPC000018,174,Willow FinanceProfitCenter 18,1,1,2026-08-24T00:00:00.000
19,FPC000019,87,Pioneer FinanceProfitCenter 19,1,1,2026-08-24T00:00:00.000
20,FPC000020,175,Cedar FinanceProfitCenter 20,1,1,2026-08-24T00:00:00.000
21,FPC000021,137,Willow FinanceProfitCenter 21,1,1,2026-08-24T00:00:00.000
22,FPC000022,150,Willow FinanceProfitCenter 22,1,1,2026-08-24T00:00:00.000
23,FPC000023,52,Summit FinanceProfitCenter 23,1,1,2026-08-24T00:00:00.000
24,FPC000024,143,Quartz FinanceProfitCenter 24,1,1,2026-08-24T00:00:00.000
25,FPC000025,150,Delta FinanceProfitCenter 25,1,1,2026-08-24T00:00:00.000
26,FPC000026,95,Pioneer FinanceProfitCenter 26,1,1,2026-08-24T00:00:00.000
27,FPC000027,10,Orion FinanceProfitCenter 27,1,1,2026-08-24T00:00:00.000
28,FPC000028,125,Liberty FinanceProfitCenter 28,1,1,2026-08-24T00:00:00.000
29,FPC000029,88,Forge FinanceProfitCenter 29,1,1,2026-08-24T00:00:00.000
30,FPC000030,84,Liberty FinanceProfitCenter 30,1,1,2026-08-24T00:00:00.000
31,FPC000031,130,Quartz FinanceProfitCenter 31,1,1,2026-08-24T00:00:00.000
32,FPC000032,59,Northstar FinanceProfitCenter 32,1,1,2026-08-24T00:00:00.000
33,FPC000033,129,Orion FinanceProfitCenter 33,1,1,2026-08-24T00:00:00.000
34,FPC000034,12,Unity FinanceProfitCenter 34,1,1,2026-08-24T00:00:00.000
35,FPC000035,123,Harbor FinanceProfitCenter 35,1,1,2026-08-24T00:00:00.000
36,FPC000036,161,Summit FinanceProfitCenter 36,1,1,2026-08-24T00:00:00.000
37,FPC000037,95,Riverton FinanceProfitCenter 37,1,1,2026-08-24T00:00:00.000
38,FPC000038,190,Cedar FinanceProfitCenter 38,1,1,2026-08-24T00:00:00.000
39,FPC000039,187,Delta FinanceProfitCenter 39,1,1,2026-08-24T00:00:00.000
40,FPC000040,163,Ion FinanceProfitCenter 40,1,1,2026-08-24T00:00:00.000
41,FPC000041,101,Keystone FinanceProfitCenter 41,1,1,2026-08-24T00:00:00.000
42,FPC000042,177,Meridian FinanceProfitCenter 42,1,1,2026-08-24T00:00:00.000
43,FPC000043,118,Northstar FinanceProfitCenter 43,1,1,2026-08-24T00:00:00.000
