RoutingProcessGroupKey,RoutingProcessGroupCode,RoutingProcessFamilyKey,RoutingProcessGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,RPG000001,9,Unity RoutingProcessGroup 1,1,1,2026-08-24T00:00:00.000
2,RPG000002,14,Ion RoutingProcessGroup 2,1,1,2026-08-24T00:00:00.000
3,RPG000003,17,Atlas RoutingProcessGroup 3,1,1,2026-08-24T00:00:00.000
4,RPG000004,5,Junction RoutingProcessGroup 4,1,1,2026-08-24T00:00:00.000
5,RPG000005,13,Northstar RoutingProcessGroup 5,1,1,2026-08-24T00:00:00.000
6,RPG000006,10,Riverton RoutingProcessGroup 6,1,1,2026-08-24T00:00:00.000
7,RPG000007,8,Northstar RoutingProcessGroup 7,1,1,2026-08-24T00:00:00.000
8,RPG000008,5,Junction RoutingProcessGroup 8,1,1,2026-08-24T00:00:00.000
9,RPG000009,13,Summit RoutingProcessGroup 9,1,1,2026-08-24T00:00:00.000
10,RPG000010,5,Granite RoutingProcessGroup 10,1,1,2026-08-24T00:00:00.000
11,RPG000011,8,Junction RoutingProcessGroup 11,1,1,2026-08-24T00:00:00.000
12,RPG000012,9,Cedar RoutingProcessGroup 12,1,1,2026-08-24T00:00:00.000
13,RPG000013,16,Liberty RoutingProcessGroup 13,1,1,2026-08-24T00:00:00.000
14,RPG000014,2,Meridian RoutingProcessGroup 14,1,1,2026-08-24T00:00:00.000
15,RPG000015,17,Pioneer RoutingProcessGroup 15,1,1,2026-08-24T00:00:00.000
16,RPG000016,1,Northstar RoutingProcessGroup 16,1,1,2026-08-24T00:00:00.000
17,RPG000017,17,Orion RoutingProcessGroup 17,1,1,2026-08-24T00:00:00.000
18,RPG000018,1,Forge RoutingProcessGroup 18,1,1,2026-08-24T00:00:00.000
19,RPG000019,11,Keystone RoutingProcessGroup 19,1,1,2026-08-24T00:00:00.000
20,RPG000020,7,Willow RoutingProcessGroup 20,1,1,2026-08-24T00:00:00.000
21,RPG000021,7,Unity RoutingProcessGroup 21,1,1,2026-08-24T00:00:00.000
22,RPG000022,15,Evergreen RoutingProcessGroup 22,1,1,2026-08-24T00:00:00.000
23,RPG000023,16,Orion RoutingProcessGroup 23,1,1,2026-08-24T00:00:00.000
24,RPG000024,14,Summit RoutingProcessGroup 24,1,1,2026-08-24T00:00:00.000
25,RPG000025,4,Vertex RoutingProcessGroup 25,1,1,2026-08-24T00:00:00.000
26,RPG000026,13,Harbor RoutingProcessGroup 26,1,1,2026-08-24T00:00:00.000
27,RPG000027,9,Quartz RoutingProcessGroup 27,1,1,2026-08-24T00:00:00.000
28,RPG000028,8,Quartz RoutingProcessGroup 28,1,1,2026-08-24T00:00:00.000
29,RPG000029,9,Atlas RoutingProcessGroup 29,1,1,2026-08-24T00:00:00.000
30,RPG000030,12,Cedar RoutingProcessGroup 30,1,1,2026-08-24T00:00:00.000
31,RPG000031,14,Liberty RoutingProcessGroup 31,1,1,2026-08-24T00:00:00.000
32,RPG000032,11,Titan RoutingProcessGroup 32,1,1,2026-08-24T00:00:00.000
