ProductionLotDispositionGroupKey,ProductionLotDispositionGroupCode,ProductionLotGradeKey,ProductionLotDispositionGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PLDG000001,37,Unity ProductionLotDispositionGroup 1,1,1,2026-08-24T00:00:00.000
2,PLDG000002,143,Ion ProductionLotDispositionGroup 2,1,1,2026-08-24T00:00:00.000
3,PLDG000003,32,Forge ProductionLotDispositionGroup 3,1,1,2026-08-24T00:00:00.000
4,PLDG000004,243,Cedar ProductionLotDispositionGroup 4,1,1,2026-08-24T00:00:00.000
5,PLDG000005,336,Keystone ProductionLotDispositionGroup 5,1,1,2026-08-24T00:00:00.000
6,PLDG000006,29,Harbor ProductionLotDispositionGroup 6,1,1,2026-08-24T00:00:00.000
7,PLDG000007,176,Evergreen ProductionLotDispositionGroup 7,1,1,2026-08-24T00:00:00.000
8,PLDG000008,342,Orion ProductionLotDispositionGroup 8,1,1,2026-08-24T00:00:00.000
9,PLDG000009,212,Junction ProductionLotDispositionGroup 9,1,1,2026-08-24T00:00:00.000
10,PLDG000010,146,Zenith ProductionLotDispositionGroup 10,1,1,2026-08-24T00:00:00.000
11,PLDG000011,259,Zenith ProductionLotDispositionGroup 11,1,1,2026-08-24T00:00:00.000
12,PLDG000012,339,Pioneer ProductionLotDispositionGroup 12,1,1,2026-08-24T00:00:00.000
13,PLDG000013,42,Junction ProductionLotDispositionGroup 13,1,1,2026-08-24T00:00:00.000
14,PLDG000014,139,Delta ProductionLotDispositionGroup 14,1,1,2026-08-24T00:00:00.000
15,PLDG000015,63,Meridian ProductionLotDispositionGroup 15,1,1,2026-08-24T00:00:00.000
16,PLDG000016,29,Vertex ProductionLotDispositionGroup 16,1,1,2026-08-24T00:00:00.000
17,PLDG000017,255,Keystone ProductionLotDispositionGroup 17,1,1,2026-08-24T00:00:00.000
18,PLDG000018,313,Delta ProductionLotDispositionGroup 18,1,1,2026-08-24T00:00:00.000
19,PLDG000019,213,Cedar ProductionLotDispositionGroup 19,1,1,2026-08-24T00:00:00.000
