EngineeringChangeOrderKey,EngineeringChangeOrderNumber,EngineeringTeamKey,OwnerEmployeeKey,EngineeringChangeTypeKey,ApprovalStatusKey,PriorityKey,EngineeringChangeOrderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,ECO000001,443,302,6,4,4,Northstar EngineeringChangeOrder 1,ECO000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dccdf5ef2b6558c98883ea385f2df6ffdccdf5ef2b6558c98883ea385f2df6ff
2,ECO000002,265,361,4,3,4,Titan EngineeringChangeOrder 2,ECO000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,316f0a04a3b1570f8405244c3c8168c8316f0a04a3b1570f8405244c3c8168c8
3,ECO000003,177,197,6,3,5,Summit EngineeringChangeOrder 3,ECO000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32d5e60b84cf5ed4bcbdc5e9e9b80bab32d5e60b84cf5ed4bcbdc5e9e9b80bab
4,ECO000004,189,328,8,3,4,Harbor EngineeringChangeOrder 4,ECO000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1c12335184a5decac782ab39a0fe437c1c12335184a5decac782ab39a0fe437
5,ECO000005,406,7,3,3,4,Keystone EngineeringChangeOrder 5,ECO000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9badad01df2759cfa5a115966a74b6db9badad01df2759cfa5a115966a74b6db
6,ECO000006,234,30,4,5,4,Atlas EngineeringChangeOrder 6,ECO000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c91ccf7751435511ae04386069b15381c91ccf7751435511ae04386069b15381
7,ECO000007,268,497,8,3,1,Pioneer EngineeringChangeOrder 7,ECO000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17ec2a24663152afa930a398fa10be9917ec2a24663152afa930a398fa10be99
8,ECO000008,416,225,3,4,5,Granite EngineeringChangeOrder 8,ECO000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f34dc4bf35145452b01d5c66ce1e1649f34dc4bf35145452b01d5c66ce1e1649
9,ECO000009,344,346,7,2,5,Keystone EngineeringChangeOrder 9,ECO000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5594483befbb5291bc61fd48bf600d765594483befbb5291bc61fd48bf600d76
10,ECO000010,190,170,4,5,3,Ion EngineeringChangeOrder 10,ECO000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91508704cb6a5dc5b5e844afaf0b1feb91508704cb6a5dc5b5e844afaf0b1feb
11,ECO000011,393,64,3,4,1,Northstar EngineeringChangeOrder 11,ECO000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,782834b3cc0050b3a9c501e48cfe602e782834b3cc0050b3a9c501e48cfe602e
12,ECO000012,346,396,5,2,5,Cedar EngineeringChangeOrder 12,ECO000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,125d38ddff955406aedc74bd13041fd9125d38ddff955406aedc74bd13041fd9
13,ECO000013,440,388,5,1,2,Liberty EngineeringChangeOrder 13,ECO000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8887f2d516ad5ae2af84e6401e472ec98887f2d516ad5ae2af84e6401e472ec9
14,ECO000014,225,128,3,5,2,Harbor EngineeringChangeOrder 14,ECO000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f237c9f6180553e5ace1fad59f1a0ba3f237c9f6180553e5ace1fad59f1a0ba3
15,ECO000015,140,81,5,5,2,Granite EngineeringChangeOrder 15,ECO000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a2f536544845c0bbaa85716d178449d4a2f536544845c0bbaa85716d178449d
16,ECO000016,206,322,5,2,1,Liberty EngineeringChangeOrder 16,ECO000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,150455d0dd1652fa860500e5482e327a150455d0dd1652fa860500e5482e327a
17,ECO000017,239,-1,1,5,2,Riverton EngineeringChangeOrder 17,ECO000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbcc913f8c5b54bc8afa3573a1720f4ccbcc913f8c5b54bc8afa3573a1720f4c
18,ECO000018,92,366,5,5,5,Forge EngineeringChangeOrder 18,ECO000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebf51afe05825d38b45bf0d6e2604942ebf51afe05825d38b45bf0d6e2604942
19,ECO000019,192,35,4,2,5,Harbor EngineeringChangeOrder 19,ECO000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b22ca1c835665130aa2437521ecc2072b22ca1c835665130aa2437521ecc2072
20,ECO000020,73,223,6,1,4,Quartz EngineeringChangeOrder 20,ECO000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d0b06307a8f5bcbbfd4f507300610221d0b06307a8f5bcbbfd4f50730061022
21,ECO000021,196,443,3,2,2,Evergreen EngineeringChangeOrder 21,ECO000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,417a9e1fbd255e73bf88ac0dc99cd583417a9e1fbd255e73bf88ac0dc99cd583
22,ECO000022,348,14,8,4,1,Ion EngineeringChangeOrder 22,ECO000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,554fa2a685b750018d467ee4a0df70e0554fa2a685b750018d467ee4a0df70e0
23,ECO000023,224,122,2,1,4,Beacon EngineeringChangeOrder 23,ECO000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ab3dffd74ce5bb7becb923d6d462aff4ab3dffd74ce5bb7becb923d6d462aff
24,ECO000024,354,318,2,1,5,Evergreen EngineeringChangeOrder 24,ECO000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b60f06239b85e2681fc97fc8303c3924b60f06239b85e2681fc97fc8303c392
25,ECO000025,62,83,2,2,1,Atlas EngineeringChangeOrder 25,ECO000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19b2833c306a5bc59f21452fbe51bcf319b2833c306a5bc59f21452fbe51bcf3
26,ECO000026,288,403,1,1,5,Evergreen EngineeringChangeOrder 26,ECO000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bd5dcb64c9959f18b99a610bafcae0c1bd5dcb64c9959f18b99a610bafcae0c
27,ECO000027,67,7,5,2,4,Quartz EngineeringChangeOrder 27,ECO000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0b6f359d89951e897215cbdb133368be0b6f359d89951e897215cbdb133368b
28,ECO000028,74,201,5,3,5,Orion EngineeringChangeOrder 28,ECO000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54bdd9b3e2795d02907251c0e412e6f654bdd9b3e2795d02907251c0e412e6f6
