ProductLineKey,ProductLineCode,ProductDivisionKey,ProductLineName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PL000001,4,Quartz ProductLine 1,1,1,2026-08-24T00:00:00.000
2,PL000002,4,Zenith ProductLine 2,1,1,2026-08-24T00:00:00.000
3,PL000003,3,Northstar ProductLine 3,1,1,2026-08-24T00:00:00.000
4,PL000004,1,Orion ProductLine 4,1,1,2026-08-24T00:00:00.000
5,PL000005,1,Quartz ProductLine 5,1,1,2026-08-24T00:00:00.000
6,PL000006,1,Atlas ProductLine 6,1,1,2026-08-24T00:00:00.000
7,PL000007,2,Zenith ProductLine 7,1,1,2026-08-24T00:00:00.000
8,PL000008,3,Riverton ProductLine 8,1,1,2026-08-24T00:00:00.000
9,PL000009,3,Evergreen ProductLine 9,1,1,2026-08-24T00:00:00.000
10,PL000010,1,Meridian ProductLine 10,1,1,2026-08-24T00:00:00.000
11,PL000011,3,Cedar ProductLine 11,1,1,2026-08-24T00:00:00.000
12,PL000012,5,Orion ProductLine 12,1,1,2026-08-24T00:00:00.000
13,PL000013,2,Forge ProductLine 13,1,1,2026-08-24T00:00:00.000
14,PL000014,4,Ion ProductLine 14,1,1,2026-08-24T00:00:00.000
15,PL000015,3,Delta ProductLine 15,1,1,2026-08-24T00:00:00.000
16,PL000016,2,Titan ProductLine 16,1,1,2026-08-24T00:00:00.000
17,PL000017,5,Summit ProductLine 17,1,1,2026-08-24T00:00:00.000
18,PL000018,2,Forge ProductLine 18,1,1,2026-08-24T00:00:00.000
19,PL000019,2,Vertex ProductLine 19,1,1,2026-08-24T00:00:00.000
20,PL000020,2,Orion ProductLine 20,1,1,2026-08-24T00:00:00.000
21,PL000021,4,Cedar ProductLine 21,1,1,2026-08-24T00:00:00.000
22,PL000022,2,Titan ProductLine 22,1,1,2026-08-24T00:00:00.000
23,PL000023,2,Northstar ProductLine 23,1,1,2026-08-24T00:00:00.000
24,PL000024,2,Junction ProductLine 24,1,1,2026-08-24T00:00:00.000
25,PL000025,5,Willow ProductLine 25,1,1,2026-08-24T00:00:00.000
26,PL000026,1,Northstar ProductLine 26,1,1,2026-08-24T00:00:00.000
27,PL000027,3,Harbor ProductLine 27,1,1,2026-08-24T00:00:00.000
28,PL000028,5,Beacon ProductLine 28,1,1,2026-08-24T00:00:00.000
29,PL000029,4,Titan ProductLine 29,1,1,2026-08-24T00:00:00.000
30,PL000030,1,Summit ProductLine 30,1,1,2026-08-24T00:00:00.000
