FinanceJournalLineKey,JournalLineCode,FinanceJournalHeaderKey,GlAccountKey,CostCenterKey,FinancePostingBucketKey,FinancePostingStatusKey,CurrencyKey,JournalLineSequenceNumber,LineMemo,IsReversalLine,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,0,N/A,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,FJL000001,219,295,198,229,2,4,1,FinanceJournalLine-LineMemo-1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15b28c773c815c13b22aada3291b75d715b28c773c815c13b22aada3291b75d7
2,FJL000002,363,107,248,177,1,2,2,FinanceJournalLine-LineMemo-2,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8172a6ff34a50eaa88e3a97113bb289b8172a6ff34a50eaa88e3a97113bb289
3,FJL000003,19,328,303,461,6,3,3,FinanceJournalLine-LineMemo-3,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bca1e697e1b5d7d9194be34da7131452bca1e697e1b5d7d9194be34da713145
4,FJL000004,310,291,250,347,7,3,4,FinanceJournalLine-LineMemo-4,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a25e8ad09535a4480759153e3f580349a25e8ad09535a4480759153e3f58034
5,FJL000005,181,270,73,328,8,4,5,FinanceJournalLine-LineMemo-5,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e4a04f89d6c576d9e9142ef6dfac1459e4a04f89d6c576d9e9142ef6dfac145
6,FJL000006,148,341,5,78,2,1,6,FinanceJournalLine-LineMemo-6,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31d5a23c6dc25063b1a3fdcc96253c0531d5a23c6dc25063b1a3fdcc96253c05
7,FJL000007,330,420,248,106,2,3,7,FinanceJournalLine-LineMemo-7,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,972c3c157c6a58ec987890983870de5c972c3c157c6a58ec987890983870de5c
8,FJL000008,231,131,423,454,3,4,8,FinanceJournalLine-LineMemo-8,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,547b54a15cd656d194a054b20a317f0d547b54a15cd656d194a054b20a317f0d
9,FJL000009,274,393,6,167,4,1,9,FinanceJournalLine-LineMemo-9,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e51e520534a5ea396a8577bd6df88ec3e51e520534a5ea396a8577bd6df88ec
10,FJL000010,299,348,11,457,7,2,10,FinanceJournalLine-LineMemo-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4706a478088c5a69b8ebae0b6cdaa9874706a478088c5a69b8ebae0b6cdaa987
11,FJL000011,408,397,137,426,9,3,11,FinanceJournalLine-LineMemo-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5de010ee94e2579ab40b7db42710f5065de010ee94e2579ab40b7db42710f506
12,FJL000012,111,126,67,15,10,3,12,FinanceJournalLine-LineMemo-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2c58c2dfde75c719a530f5f39e903c4f2c58c2dfde75c719a530f5f39e903c4
13,FJL000013,443,344,124,140,9,1,13,FinanceJournalLine-LineMemo-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fe6eacf65155688b375c9133b0d21498fe6eacf65155688b375c9133b0d2149
14,FJL000014,297,171,70,85,4,2,14,FinanceJournalLine-LineMemo-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9896f28c7ba859369f6654427d609b979896f28c7ba859369f6654427d609b97
15,FJL000015,28,254,483,202,3,4,15,FinanceJournalLine-LineMemo-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d410b703231f58648c9f6d0ff3f435ecd410b703231f58648c9f6d0ff3f435ec
16,FJL000016,107,106,449,477,7,4,16,FinanceJournalLine-LineMemo-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfb769281e3f56d9937416d98428d9c2dfb769281e3f56d9937416d98428d9c2
17,FJL000017,362,70,-1,246,10,1,17,FinanceJournalLine-LineMemo-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04ab642cd3515c04ab4130d7cffc36f504ab642cd3515c04ab4130d7cffc36f5
18,FJL000018,194,116,342,406,10,1,18,FinanceJournalLine-LineMemo-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f885614b72ee5731b6c5869ca002164ef885614b72ee5731b6c5869ca002164e
19,FJL000019,224,180,400,381,6,4,19,FinanceJournalLine-LineMemo-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de745ecc2da057e5bbbd086103121888de745ecc2da057e5bbbd086103121888
20,FJL000020,475,312,97,460,1,1,20,FinanceJournalLine-LineMemo-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ecf93a2c7645523afedad108e0b303d3ecf93a2c7645523afedad108e0b303d
21,FJL000021,442,210,17,420,1,4,21,FinanceJournalLine-LineMemo-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fb53ad5d0b554ad8000de855ba779ca8fb53ad5d0b554ad8000de855ba779ca
22,FJL000022,414,341,37,65,8,3,22,FinanceJournalLine-LineMemo-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88f738d892b65b4bb533a594f875516188f738d892b65b4bb533a594f8755161
23,FJL000023,254,11,431,498,3,3,23,FinanceJournalLine-LineMemo-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35c5dd41ed135acaa49a3c795c2ca8b635c5dd41ed135acaa49a3c795c2ca8b6
24,FJL000024,272,363,313,169,1,3,24,FinanceJournalLine-LineMemo-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6419bdf33a95512c947782d5c217a0466419bdf33a95512c947782d5c217a046
25,FJL000025,385,433,197,176,3,3,25,FinanceJournalLine-LineMemo-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6f8322dc0385e59b4177cd78e53bb35a6f8322dc0385e59b4177cd78e53bb35
26,FJL000026,402,256,355,82,2,1,26,FinanceJournalLine-LineMemo-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5f7b9242b1957bbb697f20ebab68919f5f7b9242b1957bbb697f20ebab68919
27,FJL000027,194,212,193,228,8,3,27,FinanceJournalLine-LineMemo-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2b73951ef0751d18336350165f80c93f2b73951ef0751d18336350165f80c93
28,FJL000028,230,371,437,136,4,4,28,FinanceJournalLine-LineMemo-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,291c5bb6c2e154fdb424c53247af264d291c5bb6c2e154fdb424c53247af264d
29,FJL000029,294,419,371,194,5,1,29,FinanceJournalLine-LineMemo-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f07d06dd941559dd85ec632411301083f07d06dd941559dd85ec632411301083
30,FJL000030,14,259,47,373,6,4,30,FinanceJournalLine-LineMemo-30,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30991d14276a521b884339a5095a078930991d14276a521b884339a5095a0789
