LogisticsCustomsDeclarationKey,CustomsDeclarationNumber,LogisticsShipmentHeaderKey,LogisticsTariffItemKey,LogisticsCustomsStatusKey,OriginCountryKey,DestinationCountryKey,CurrencyKey,CustomsEntryNumber,DeclarationValueAmount,FilingDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,UNKNOWN,0.0000,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LCD000001,285,325,1,203,219,5,LCD000001,11.3700,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab6c596af83e5021a84dc7a6d339e31cab6c596af83e5021a84dc7a6d339e31c
2,LCD000002,273,18,10,70,141,3,LCD000002,12.7400,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a57662834c4d5ac484623d12c46a6c20a57662834c4d5ac484623d12c46a6c20
3,LCD000003,12,393,7,59,125,4,LCD000003,14.1100,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7f496989ed051a0bc21c687735c363ca7f496989ed051a0bc21c687735c363c
4,LCD000004,115,372,9,118,82,1,LCD000004,15.4800,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a57ba0d8e2f5acfbbaf3c75790985ca5a57ba0d8e2f5acfbbaf3c75790985ca
5,LCD000005,284,47,2,81,126,2,LCD000005,16.8500,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c89935b354505285aad767adce7a7fefc89935b354505285aad767adce7a7fef
6,LCD000006,415,461,7,198,209,5,LCD000006,18.2200,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c122bb9e91c358a79d4d23a0ad1db72ac122bb9e91c358a79d4d23a0ad1db72a
7,LCD000007,256,109,6,30,219,1,LCD000007,19.5900,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,788a3ebf52bb501cb3501befa75fc6ab788a3ebf52bb501cb3501befa75fc6ab
8,LCD000008,168,102,5,76,191,4,LCD000008,20.9600,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02e938a3efc0513785fe6da0f029059d02e938a3efc0513785fe6da0f029059d
9,LCD000009,346,381,3,165,68,1,LCD000009,22.3300,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9834e2d332b4552aa17d672c5fed08349834e2d332b4552aa17d672c5fed0834
10,LCD000010,132,194,10,45,219,3,LCD000010,23.7000,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8eda032239365f80b0c43f4a89f929c78eda032239365f80b0c43f4a89f929c7
11,LCD000011,79,406,10,129,242,1,LCD000011,25.0700,2020-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d21f8ce4b19c5fb594a1cc16457457ebd21f8ce4b19c5fb594a1cc16457457eb
12,LCD000012,212,266,10,228,32,4,LCD000012,26.4400,2020-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e1422c2a18a545fb06f39ce9c4656ba2e1422c2a18a545fb06f39ce9c4656ba
13,LCD000013,77,306,8,153,149,3,LCD000013,27.8100,2020-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,177339599e74501589966b090f773063177339599e74501589966b090f773063
14,LCD000014,301,39,1,65,137,5,LCD000014,29.1800,2020-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,133f2b32271e5f3db07772f781264314133f2b32271e5f3db07772f781264314
15,LCD000015,94,334,10,8,122,4,LCD000015,30.5500,2020-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5afde65098845de9a6f8c14e7377f3615afde65098845de9a6f8c14e7377f361
16,LCD000016,125,287,2,38,101,5,LCD000016,31.9200,2020-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa444eff40cf51d99776a916813146c9aa444eff40cf51d99776a916813146c9
17,LCD000017,87,368,10,20,171,1,LCD000017,33.2900,2020-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c0d798bb46456fcb731dd458e8deae75c0d798bb46456fcb731dd458e8deae7
18,LCD000018,423,417,2,190,201,4,LCD000018,34.6600,2020-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7265500926435d658ccd7f254504a3267265500926435d658ccd7f254504a326
19,LCD000019,210,395,6,101,5,5,LCD000019,36.0300,2020-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73f633c1b31b50f69f4369f7221b8e7d73f633c1b31b50f69f4369f7221b8e7d
20,LCD000020,428,132,3,124,18,1,LCD000020,37.4000,2020-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfa075aa7f81542882992f6d0b823cd2bfa075aa7f81542882992f6d0b823cd2
21,LCD000021,479,154,2,12,107,5,LCD000021,38.7700,2020-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e6077e5d6515092a45459c75387c9640e6077e5d6515092a45459c75387c964
22,LCD000022,368,228,4,72,13,5,LCD000022,40.1400,2020-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b044c39e85351f6870f904a6cf572245b044c39e85351f6870f904a6cf57224
23,LCD000023,196,381,9,69,101,4,LCD000023,41.5100,2020-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a2fe70d37ef5c1c9968dd9e7737194c3a2fe70d37ef5c1c9968dd9e7737194c
24,LCD000024,392,360,5,113,201,1,LCD000024,42.8800,2020-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fad1a2ff9ba9550c8b2c8ba32ac7909afad1a2ff9ba9550c8b2c8ba32ac7909a
25,LCD000025,207,4,8,6,195,1,LCD000025,44.2500,2020-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1016e8c67f05ed6a2f1421a227e1ea6e1016e8c67f05ed6a2f1421a227e1ea6
26,LCD000026,386,95,9,185,197,3,LCD000026,45.6200,2020-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2785202254ce581a90fa7838ff78ce6f2785202254ce581a90fa7838ff78ce6f
27,LCD000027,22,97,8,88,164,5,LCD000027,46.9900,2020-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de48a15868bd548c8b6b327e9540fe6dde48a15868bd548c8b6b327e9540fe6d
28,LCD000028,233,192,10,3,133,2,LCD000028,48.3600,2020-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1a7acc9ecbf5aa1979fd8c51fd2e8b6c1a7acc9ecbf5aa1979fd8c51fd2e8b6
29,LCD000029,327,323,10,61,231,4,LCD000029,49.7300,2020-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,389595d890dd5875b6e1a63c5838843f389595d890dd5875b6e1a63c5838843f
30,LCD000030,246,22,1,13,135,2,LCD000030,51.1000,2020-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37d7b085cd2552cc86ecc0137cd1fd5b37d7b085cd2552cc86ecc0137cd1fd5b
31,LCD000031,300,486,6,165,182,3,LCD000031,52.4700,2020-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef2459091cf0569c80c260f212938e54ef2459091cf0569c80c260f212938e54
32,LCD000032,450,469,9,52,7,1,LCD000032,53.8400,2020-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01c5468d9b765ababb32b3e564e641fa01c5468d9b765ababb32b3e564e641fa
33,LCD000033,98,108,9,206,109,2,LCD000033,55.2100,2020-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17175375cc0f55949c2c528704f787ca17175375cc0f55949c2c528704f787ca
34,LCD000034,348,298,8,130,109,2,LCD000034,56.5800,2020-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edd2c9c0d190531791dcb1f999f55894edd2c9c0d190531791dcb1f999f55894
35,LCD000035,418,220,7,224,139,5,LCD000035,57.9500,2020-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c79030f9a33f5225bde47df14bef682ec79030f9a33f5225bde47df14bef682e
36,LCD000036,77,452,8,63,94,3,LCD000036,59.3200,2020-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf8b3c4c2393549282ea7abe64aae10ebf8b3c4c2393549282ea7abe64aae10e
