EnergyEfficiencyProjectKey,EfficiencyProjectNumber,PlantKey,EnergyEfficiencyMeasureKey,CostCenterKey,EnergyEfficiencyProjectStatusKey,CurrencyKey,EfficiencyProjectName,EstimatedSavingsAmount,EstimatedAnnualSavingsQuantity,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,EEP000001,196,59,188,4,2,Evergreen EnergyEfficiencyProject 1,11.3700,0.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce4ade15ff4e5eea9972b95e0ead918cce4ade15ff4e5eea9972b95e0ead918c
2,EEP000002,84,247,185,6,5,Pioneer EnergyEfficiencyProject 2,12.7400,1.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e77371df6a15fe49e4e9ee8ffba66a46e77371df6a15fe49e4e9ee8ffba66a4
3,EEP000003,211,134,447,3,2,Orion EnergyEfficiencyProject 3,14.1100,2.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc894d5c124e5ed3a3dddbfb8eceb283bc894d5c124e5ed3a3dddbfb8eceb283
4,EEP000004,112,83,208,3,4,Willow EnergyEfficiencyProject 4,15.4800,2.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5571555c28fc567abcdaed82734120c05571555c28fc567abcdaed82734120c0
5,EEP000005,234,257,70,7,3,Ion EnergyEfficiencyProject 5,16.8500,3.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ae88473e16c52e7bd08977e98fc9d4e0ae88473e16c52e7bd08977e98fc9d4e
6,EEP000006,83,91,71,7,1,Quartz EnergyEfficiencyProject 6,18.2200,4.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8054c911b2995fdda0a6be91fa18af008054c911b2995fdda0a6be91fa18af00
7,EEP000007,268,210,470,3,5,Harbor EnergyEfficiencyProject 7,19.5900,5.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61bae60ec8f35904adb4e54e7d4d35f261bae60ec8f35904adb4e54e7d4d35f2
8,EEP000008,127,494,216,7,5,Summit EnergyEfficiencyProject 8,20.9600,5.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2dbcaddda9765782936dfac39b8a27c62dbcaddda9765782936dfac39b8a27c6
9,EEP000009,140,39,347,6,2,Keystone EnergyEfficiencyProject 9,22.3300,6.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b6e616695b45e93a84a59b17f7753846b6e616695b45e93a84a59b17f775384
10,EEP000010,36,318,183,5,3,Orion EnergyEfficiencyProject 10,23.7000,7.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,526ebd6c24f9537183fcfa2b0c0c7618526ebd6c24f9537183fcfa2b0c0c7618
11,EEP000011,314,218,379,3,1,Unity EnergyEfficiencyProject 11,25.0700,7.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c24a15124ba5bd794ab632a15fcda943c24a15124ba5bd794ab632a15fcda94
12,EEP000012,43,247,294,3,5,Atlas EnergyEfficiencyProject 12,26.4400,8.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9d68295b7505bfb84cd4bc4446919cda9d68295b7505bfb84cd4bc4446919cd
