QualityDefectCodeKey,QualityDefectCodeCode,QualityDefectSubCategoryKey,QualityDefectCodeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QDC000001,50,QDC000001,1,1,2026-08-24T00:00:00.000
2,QDC000002,285,QDC000002,1,1,2026-08-24T00:00:00.000
3,QDC000003,236,QDC000003,1,1,2026-08-24T00:00:00.000
4,QDC000004,108,QDC000004,1,1,2026-08-24T00:00:00.000
5,QDC000005,288,QDC000005,1,1,2026-08-24T00:00:00.000
6,QDC000006,144,QDC000006,1,1,2026-08-24T00:00:00.000
7,QDC000007,94,QDC000007,1,1,2026-08-24T00:00:00.000
8,QDC000008,141,QDC000008,1,1,2026-08-24T00:00:00.000
9,QDC000009,242,QDC000009,1,1,2026-08-24T00:00:00.000
10,QDC000010,269,QDC000010,1,1,2026-08-24T00:00:00.000
11,QDC000011,92,QDC000011,1,1,2026-08-24T00:00:00.000
12,QDC000012,155,QDC000012,1,1,2026-08-24T00:00:00.000
13,QDC000013,14,QDC000013,1,1,2026-08-24T00:00:00.000
14,QDC000014,64,QDC000014,1,1,2026-08-24T00:00:00.000
15,QDC000015,254,QDC000015,1,1,2026-08-24T00:00:00.000
16,QDC000016,189,QDC000016,1,1,2026-08-24T00:00:00.000
17,QDC000017,109,QDC000017,1,1,2026-08-24T00:00:00.000
18,QDC000018,23,QDC000018,1,1,2026-08-24T00:00:00.000
19,QDC000019,40,QDC000019,1,1,2026-08-24T00:00:00.000
20,QDC000020,226,QDC000020,1,1,2026-08-24T00:00:00.000
21,QDC000021,200,QDC000021,1,1,2026-08-24T00:00:00.000
22,QDC000022,146,QDC000022,1,1,2026-08-24T00:00:00.000
23,QDC000023,230,QDC000023,1,1,2026-08-24T00:00:00.000
24,QDC000024,182,QDC000024,1,1,2026-08-24T00:00:00.000
25,QDC000025,295,QDC000025,1,1,2026-08-24T00:00:00.000
26,QDC000026,264,QDC000026,1,1,2026-08-24T00:00:00.000
27,QDC000027,133,QDC000027,1,1,2026-08-24T00:00:00.000
28,QDC000028,206,QDC000028,1,1,2026-08-24T00:00:00.000
29,QDC000029,72,QDC000029,1,1,2026-08-24T00:00:00.000
30,QDC000030,18,QDC000030,1,1,2026-08-24T00:00:00.000
31,QDC000031,192,QDC000031,1,1,2026-08-24T00:00:00.000
32,QDC000032,252,QDC000032,1,1,2026-08-24T00:00:00.000
33,QDC000033,21,QDC000033,1,1,2026-08-24T00:00:00.000
34,QDC000034,135,QDC000034,1,1,2026-08-24T00:00:00.000
35,QDC000035,265,QDC000035,1,1,2026-08-24T00:00:00.000
36,QDC000036,177,QDC000036,1,1,2026-08-24T00:00:00.000
37,QDC000037,188,QDC000037,1,1,2026-08-24T00:00:00.000
38,QDC000038,128,QDC000038,1,1,2026-08-24T00:00:00.000
39,QDC000039,36,QDC000039,1,1,2026-08-24T00:00:00.000
40,QDC000040,1,QDC000040,1,1,2026-08-24T00:00:00.000
41,QDC000041,235,QDC000041,1,1,2026-08-24T00:00:00.000
42,QDC000042,216,QDC000042,1,1,2026-08-24T00:00:00.000
43,QDC000043,148,QDC000043,1,1,2026-08-24T00:00:00.000
44,QDC000044,131,QDC000044,1,1,2026-08-24T00:00:00.000
45,QDC000045,129,QDC000045,1,1,2026-08-24T00:00:00.000
46,QDC000046,123,QDC000046,1,1,2026-08-24T00:00:00.000
47,QDC000047,135,QDC000047,1,1,2026-08-24T00:00:00.000
48,QDC000048,165,QDC000048,1,1,2026-08-24T00:00:00.000
49,QDC000049,280,QDC000049,1,1,2026-08-24T00:00:00.000
50,QDC000050,131,QDC000050,1,1,2026-08-24T00:00:00.000
51,QDC000051,292,QDC000051,1,1,2026-08-24T00:00:00.000
52,QDC000052,96,QDC000052,1,1,2026-08-24T00:00:00.000
53,QDC000053,104,QDC000053,1,1,2026-08-24T00:00:00.000
54,QDC000054,98,QDC000054,1,1,2026-08-24T00:00:00.000
55,QDC000055,60,QDC000055,1,1,2026-08-24T00:00:00.000
56,QDC000056,287,QDC000056,1,1,2026-08-24T00:00:00.000
57,QDC000057,165,QDC000057,1,1,2026-08-24T00:00:00.000
58,QDC000058,178,QDC000058,1,1,2026-08-24T00:00:00.000
59,QDC000059,45,QDC000059,1,1,2026-08-24T00:00:00.000
60,QDC000060,210,QDC000060,1,1,2026-08-24T00:00:00.000
61,QDC000061,11,QDC000061,1,1,2026-08-24T00:00:00.000
62,QDC000062,107,QDC000062,1,1,2026-08-24T00:00:00.000
63,QDC000063,33,QDC000063,1,1,2026-08-24T00:00:00.000
64,QDC000064,176,QDC000064,1,1,2026-08-24T00:00:00.000
65,QDC000065,240,QDC000065,1,1,2026-08-24T00:00:00.000
66,QDC000066,251,QDC000066,1,1,2026-08-24T00:00:00.000
67,QDC000067,6,QDC000067,1,1,2026-08-24T00:00:00.000
68,QDC000068,18,QDC000068,1,1,2026-08-24T00:00:00.000
69,QDC000069,129,QDC000069,1,1,2026-08-24T00:00:00.000
70,QDC000070,127,QDC000070,1,1,2026-08-24T00:00:00.000
71,QDC000071,42,QDC000071,1,1,2026-08-24T00:00:00.000
72,QDC000072,16,QDC000072,1,1,2026-08-24T00:00:00.000
73,QDC000073,32,QDC000073,1,1,2026-08-24T00:00:00.000
74,QDC000074,194,QDC000074,1,1,2026-08-24T00:00:00.000
75,QDC000075,232,QDC000075,1,1,2026-08-24T00:00:00.000
76,QDC000076,223,QDC000076,1,1,2026-08-24T00:00:00.000
77,QDC000077,219,QDC000077,1,1,2026-08-24T00:00:00.000
78,QDC000078,34,QDC000078,1,1,2026-08-24T00:00:00.000
79,QDC000079,224,QDC000079,1,1,2026-08-24T00:00:00.000
80,QDC000080,66,QDC000080,1,1,2026-08-24T00:00:00.000
81,QDC000081,205,QDC000081,1,1,2026-08-24T00:00:00.000
82,QDC000082,12,QDC000082,1,1,2026-08-24T00:00:00.000
83,QDC000083,256,QDC000083,1,1,2026-08-24T00:00:00.000
84,QDC000084,219,QDC000084,1,1,2026-08-24T00:00:00.000
85,QDC000085,93,QDC000085,1,1,2026-08-24T00:00:00.000
86,QDC000086,292,QDC000086,1,1,2026-08-24T00:00:00.000
87,QDC000087,199,QDC000087,1,1,2026-08-24T00:00:00.000
88,QDC000088,263,QDC000088,1,1,2026-08-24T00:00:00.000
89,QDC000089,206,QDC000089,1,1,2026-08-24T00:00:00.000
90,QDC000090,81,QDC000090,1,1,2026-08-24T00:00:00.000
91,QDC000091,169,QDC000091,1,1,2026-08-24T00:00:00.000
92,QDC000092,169,QDC000092,1,1,2026-08-24T00:00:00.000
93,QDC000093,185,QDC000093,1,1,2026-08-24T00:00:00.000
94,QDC000094,265,QDC000094,1,1,2026-08-24T00:00:00.000
95,QDC000095,220,QDC000095,1,1,2026-08-24T00:00:00.000
96,QDC000096,49,QDC000096,1,1,2026-08-24T00:00:00.000
