FinanceReportingLineKey,FinanceReportingLineCode,FinanceStatementSectionKey,FinanceReportingLineName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FRL000001,1,Titan FinanceReportingLine 1,1,1,2026-08-24T00:00:00.000
2,FRL000002,11,Quartz FinanceReportingLine 2,1,1,2026-08-24T00:00:00.000
3,FRL000003,6,Junction FinanceReportingLine 3,1,1,2026-08-24T00:00:00.000
4,FRL000004,4,Forge FinanceReportingLine 4,1,1,2026-08-24T00:00:00.000
5,FRL000005,9,Titan FinanceReportingLine 5,1,1,2026-08-24T00:00:00.000
6,FRL000006,11,Forge FinanceReportingLine 6,1,1,2026-08-24T00:00:00.000
7,FRL000007,9,Meridian FinanceReportingLine 7,1,1,2026-08-24T00:00:00.000
8,FRL000008,3,Quartz FinanceReportingLine 8,1,1,2026-08-24T00:00:00.000
9,FRL000009,10,Zenith FinanceReportingLine 9,1,1,2026-08-24T00:00:00.000
10,FRL000010,11,Northstar FinanceReportingLine 10,1,1,2026-08-24T00:00:00.000
11,FRL000011,12,Ion FinanceReportingLine 11,1,1,2026-08-24T00:00:00.000
12,FRL000012,3,Vertex FinanceReportingLine 12,1,1,2026-08-24T00:00:00.000
13,FRL000013,1,Orion FinanceReportingLine 13,1,1,2026-08-24T00:00:00.000
14,FRL000014,4,Cedar FinanceReportingLine 14,1,1,2026-08-24T00:00:00.000
15,FRL000015,9,Keystone FinanceReportingLine 15,1,1,2026-08-24T00:00:00.000
16,FRL000016,7,Keystone FinanceReportingLine 16,1,1,2026-08-24T00:00:00.000
17,FRL000017,3,Delta FinanceReportingLine 17,1,1,2026-08-24T00:00:00.000
18,FRL000018,8,Beacon FinanceReportingLine 18,1,1,2026-08-24T00:00:00.000
19,FRL000019,10,Cedar FinanceReportingLine 19,1,1,2026-08-24T00:00:00.000
20,FRL000020,2,Junction FinanceReportingLine 20,1,1,2026-08-24T00:00:00.000
21,FRL000021,6,Riverton FinanceReportingLine 21,1,1,2026-08-24T00:00:00.000
22,FRL000022,11,Beacon FinanceReportingLine 22,1,1,2026-08-24T00:00:00.000
23,FRL000023,9,Zenith FinanceReportingLine 23,1,1,2026-08-24T00:00:00.000
24,FRL000024,9,Atlas FinanceReportingLine 24,1,1,2026-08-24T00:00:00.000
25,FRL000025,8,Atlas FinanceReportingLine 25,1,1,2026-08-24T00:00:00.000
26,FRL000026,11,Zenith FinanceReportingLine 26,1,1,2026-08-24T00:00:00.000
27,FRL000027,8,Meridian FinanceReportingLine 27,1,1,2026-08-24T00:00:00.000
28,FRL000028,11,Delta FinanceReportingLine 28,1,1,2026-08-24T00:00:00.000
29,FRL000029,9,Orion FinanceReportingLine 29,1,1,2026-08-24T00:00:00.000
30,FRL000030,7,Granite FinanceReportingLine 30,1,1,2026-08-24T00:00:00.000
