SalesPromotionTacticKey,SalesPromotionTacticCode,SalesPromotionOfferKey,SalesPromotionTacticName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SPT000001,164,Riverton SalesPromotionTactic 1,1,1,2026-08-24T00:00:00.000
2,SPT000002,39,Forge SalesPromotionTactic 2,1,1,2026-08-24T00:00:00.000
3,SPT000003,125,Vertex SalesPromotionTactic 3,1,1,2026-08-24T00:00:00.000
4,SPT000004,8,Delta SalesPromotionTactic 4,1,1,2026-08-24T00:00:00.000
5,SPT000005,308,Atlas SalesPromotionTactic 5,1,1,2026-08-24T00:00:00.000
6,SPT000006,89,Riverton SalesPromotionTactic 6,1,1,2026-08-24T00:00:00.000
7,SPT000007,408,Keystone SalesPromotionTactic 7,1,1,2026-08-24T00:00:00.000
8,SPT000008,238,Pioneer SalesPromotionTactic 8,1,1,2026-08-24T00:00:00.000
9,SPT000009,56,Liberty SalesPromotionTactic 9,1,1,2026-08-24T00:00:00.000
10,SPT000010,88,Granite SalesPromotionTactic 10,1,1,2026-08-24T00:00:00.000
11,SPT000011,337,Pioneer SalesPromotionTactic 11,1,1,2026-08-24T00:00:00.000
12,SPT000012,5,Pioneer SalesPromotionTactic 12,1,1,2026-08-24T00:00:00.000
13,SPT000013,499,Cedar SalesPromotionTactic 13,1,1,2026-08-24T00:00:00.000
14,SPT000014,217,Forge SalesPromotionTactic 14,1,1,2026-08-24T00:00:00.000
15,SPT000015,186,Meridian SalesPromotionTactic 15,1,1,2026-08-24T00:00:00.000
16,SPT000016,311,Evergreen SalesPromotionTactic 16,1,1,2026-08-24T00:00:00.000
17,SPT000017,135,Keystone SalesPromotionTactic 17,1,1,2026-08-24T00:00:00.000
18,SPT000018,17,Cedar SalesPromotionTactic 18,1,1,2026-08-24T00:00:00.000
19,SPT000019,314,Beacon SalesPromotionTactic 19,1,1,2026-08-24T00:00:00.000
20,SPT000020,456,Meridian SalesPromotionTactic 20,1,1,2026-08-24T00:00:00.000
21,SPT000021,48,Willow SalesPromotionTactic 21,1,1,2026-08-24T00:00:00.000
22,SPT000022,410,Evergreen SalesPromotionTactic 22,1,1,2026-08-24T00:00:00.000
23,SPT000023,479,Willow SalesPromotionTactic 23,1,1,2026-08-24T00:00:00.000
24,SPT000024,167,Atlas SalesPromotionTactic 24,1,1,2026-08-24T00:00:00.000
25,SPT000025,346,Summit SalesPromotionTactic 25,1,1,2026-08-24T00:00:00.000
