CustomerKey,CustomerNumber,GeoPostalCodeKey,CustomerSegmentKey,CustomerChannelKey,CustomerGroupKey,CurrencyKey,IncotermCodeKey,PaymentTermKey,CustomerStatusKey,RecordStatusKey,CustomerName,CustomerLegalName,AccountOpenedDate,CreditLimitAmount,CreditHoldFlag,TaxRegistrationNumber,DefaultCurrencyCode,DefaultIncotermCode,DefaultPaymentTermCode,StrategicAccountFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown,Unknown,1900-01-01,0.0000,0,UNKNOWN,UNK,UNKNOWN,UNKNOWN,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,C000001,459,28,74,134,4,13,7,1,4,Northstar Customer 1,Evergreen Customer 1,2021-01-01,11.3700,1,C000001,EUR,C000001,C000001,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61d5382264e7539ebc48fc5ff08cd45e61d5382264e7539ebc48fc5ff08cd45e
2,C000002,471,436,7,216,3,1,10,3,3,Willow Customer 2,Keystone Customer 2,2021-01-02,12.7400,1,C000002,GBP,C000002,C000002,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c6a61e58e6b586796ec68289adbb65a4c6a61e58e6b586796ec68289adbb65a
3,C000003,92,223,79,66,4,15,16,5,4,Harbor Customer 3,Harbor Customer 3,2021-01-03,14.1100,1,C000003,CAD,C000003,C000003,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdbdb04649bf557787ee02b3584cbb70bdbdb04649bf557787ee02b3584cbb70
4,C000004,148,495,8,316,3,1,10,10,3,Orion Customer 4,Forge Customer 4,2021-01-04,15.4800,1,C000004,MXN,C000004,C000004,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f5105b684925c36ae42b28b72c93eec7f5105b684925c36ae42b28b72c93eec
5,C000005,416,222,35,272,1,4,13,3,4,Ion Customer 5,Quartz Customer 5,2021-01-05,16.8500,0,C000005,JPY,C000005,C000005,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d4c3fd5e1c8507aab3fed20b72435a90d4c3fd5e1c8507aab3fed20b72435a9
6,C000006,327,388,65,97,5,7,6,2,4,Evergreen Customer 6,Delta Customer 6,2021-01-06,18.2200,1,C000006,USD,C000006,C000006,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5dddee6f32935f74a7283fffe2cac7e95dddee6f32935f74a7283fffe2cac7e9
7,C000007,101,86,79,240,4,8,8,2,2,Meridian Customer 7,Ion Customer 7,2021-01-07,19.5900,1,C000007,EUR,C000007,C000007,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97b262a4a8955230a35322b359d2fec297b262a4a8955230a35322b359d2fec2
8,C000008,41,470,25,355,1,9,16,10,4,Keystone Customer 8,Vertex Customer 8,2021-01-08,20.9600,1,C000008,GBP,C000008,C000008,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,379fbea6a11054bcbd38ec3b4549bb78379fbea6a11054bcbd38ec3b4549bb78
9,C000009,216,403,77,248,1,3,5,9,4,Orion Customer 9,Summit Customer 9,2021-01-09,22.3300,1,C000009,CAD,C000009,C000009,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec17e0e9ac4851b8b1dc1ceccd872f5dec17e0e9ac4851b8b1dc1ceccd872f5d
10,C000010,25,464,17,367,1,6,9,7,4,Zenith Customer 10,Cedar Customer 10,2021-01-10,23.7000,0,C000010,MXN,C000010,C000010,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c8cc09f3e20547d88fe04194b06ef461c8cc09f3e20547d88fe04194b06ef46
11,C000011,204,318,35,145,4,4,18,5,2,Junction Customer 11,Harbor Customer 11,2021-01-11,25.0700,1,C000011,JPY,C000011,C000011,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c8b93390c5f56769736afd48587813c5c8b93390c5f56769736afd48587813c
12,C000012,294,44,20,329,4,1,7,5,2,Summit Customer 12,Vertex Customer 12,2021-01-12,26.4400,1,C000012,USD,C000012,C000012,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aaa27e3b9a5751c7818110bd98b541c2aaa27e3b9a5751c7818110bd98b541c2
13,C000013,180,363,31,370,2,14,18,4,1,Granite Customer 13,Granite Customer 13,2021-01-13,27.8100,1,C000013,EUR,C000013,C000013,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3697e1e4f2df5ca98396e18ce6a001053697e1e4f2df5ca98396e18ce6a00105
14,C000014,417,27,70,375,2,14,2,1,3,Forge Customer 14,Zenith Customer 14,2021-01-14,29.1800,1,C000014,GBP,C000014,C000014,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ce17172a5aa5dae9ab5ed2b78324c5f4ce17172a5aa5dae9ab5ed2b78324c5f
15,C000015,77,231,61,112,4,2,8,5,2,Atlas Customer 15,Unity Customer 15,2021-01-15,30.5500,0,C000015,CAD,C000015,C000015,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f0791d078285deeab77dc8d1dcc24990f0791d078285deeab77dc8d1dcc2499
16,C000016,53,115,38,35,2,10,8,7,1,Liberty Customer 16,Unity Customer 16,2021-01-16,31.9200,1,C000016,MXN,C000016,C000016,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8226409ee69c5fafb47a20158368d0b38226409ee69c5fafb47a20158368d0b3
17,C000017,458,105,34,341,5,13,9,1,2,Atlas Customer 17,Junction Customer 17,2021-01-17,33.2900,1,C000017,JPY,C000017,C000017,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ace7068f536c55c1803e248def0cebcdace7068f536c55c1803e248def0cebcd
18,C000018,83,287,10,150,4,1,3,10,3,Willow Customer 18,Liberty Customer 18,2021-01-18,34.6600,1,C000018,USD,C000018,C000018,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34e1a16a3ae352a5ab4d39a1800cb13b34e1a16a3ae352a5ab4d39a1800cb13b
19,C000019,241,153,39,58,1,12,15,10,3,Ion Customer 19,Orion Customer 19,2021-01-19,36.0300,1,C000019,EUR,C000019,C000019,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6c66dc228105affbfb41c49f6d98800d6c66dc228105affbfb41c49f6d98800
