PurchaseCommoditySubcategoryKey,PurchaseCommoditySubcategoryCode,PurchaseCommodityCategoryKey,PurchaseCommoditySubcategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PCS000001,40,Summit PurchaseCommoditySubcategory 1,1,1,2026-08-24T00:00:00.000
2,PCS000002,39,Atlas PurchaseCommoditySubcategory 2,1,1,2026-08-24T00:00:00.000
3,PCS000003,43,Unity PurchaseCommoditySubcategory 3,1,1,2026-08-24T00:00:00.000
4,PCS000004,5,Beacon PurchaseCommoditySubcategory 4,1,1,2026-08-24T00:00:00.000
5,PCS000005,89,Willow PurchaseCommoditySubcategory 5,1,1,2026-08-24T00:00:00.000
6,PCS000006,76,Cedar PurchaseCommoditySubcategory 6,1,1,2026-08-24T00:00:00.000
7,PCS000007,38,Zenith PurchaseCommoditySubcategory 7,1,1,2026-08-24T00:00:00.000
8,PCS000008,4,Harbor PurchaseCommoditySubcategory 8,1,1,2026-08-24T00:00:00.000
9,PCS000009,64,Evergreen PurchaseCommoditySubcategory 9,1,1,2026-08-24T00:00:00.000
10,PCS000010,87,Atlas PurchaseCommoditySubcategory 10,1,1,2026-08-24T00:00:00.000
11,PCS000011,30,Northstar PurchaseCommoditySubcategory 11,1,1,2026-08-24T00:00:00.000
12,PCS000012,34,Meridian PurchaseCommoditySubcategory 12,1,1,2026-08-24T00:00:00.000
13,PCS000013,50,Cedar PurchaseCommoditySubcategory 13,1,1,2026-08-24T00:00:00.000
14,PCS000014,80,Quartz PurchaseCommoditySubcategory 14,1,1,2026-08-24T00:00:00.000
15,PCS000015,68,Forge PurchaseCommoditySubcategory 15,1,1,2026-08-24T00:00:00.000
16,PCS000016,76,Atlas PurchaseCommoditySubcategory 16,1,1,2026-08-24T00:00:00.000
17,PCS000017,45,Zenith PurchaseCommoditySubcategory 17,1,1,2026-08-24T00:00:00.000
18,PCS000018,66,Atlas PurchaseCommoditySubcategory 18,1,1,2026-08-24T00:00:00.000
19,PCS000019,47,Northstar PurchaseCommoditySubcategory 19,1,1,2026-08-24T00:00:00.000
20,PCS000020,39,Forge PurchaseCommoditySubcategory 20,1,1,2026-08-24T00:00:00.000
21,PCS000021,51,Orion PurchaseCommoditySubcategory 21,1,1,2026-08-24T00:00:00.000
22,PCS000022,43,Meridian PurchaseCommoditySubcategory 22,1,1,2026-08-24T00:00:00.000
23,PCS000023,19,Meridian PurchaseCommoditySubcategory 23,1,1,2026-08-24T00:00:00.000
24,PCS000024,44,Evergreen PurchaseCommoditySubcategory 24,1,1,2026-08-24T00:00:00.000
25,PCS000025,55,Keystone PurchaseCommoditySubcategory 25,1,1,2026-08-24T00:00:00.000
26,PCS000026,68,Summit PurchaseCommoditySubcategory 26,1,1,2026-08-24T00:00:00.000
27,PCS000027,57,Keystone PurchaseCommoditySubcategory 27,1,1,2026-08-24T00:00:00.000
