SafetyWasteStreamKey,WasteStreamCode,PlantKey,SafetyWasteDispositionMethodKey,UnitOfMeasureKey,WasteStreamName,IsHazardousWaste,RegulatoryWasteCode,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,Unknown,0,UNKNOWN,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SWS000001,73,15,1,Titan SafetyWasteStream 1,1,SWS000001,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6e220d1b11e57d9b30bc787174ef914c6e220d1b11e57d9b30bc787174ef914
2,SWS000002,45,16,4,Pioneer SafetyWasteStream 2,1,SWS000002,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1438795eba7d557a852ad360860c7a531438795eba7d557a852ad360860c7a53
3,SWS000003,342,13,1,Northstar SafetyWasteStream 3,1,SWS000003,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0f393ce387d5cc3a582b29d939efad4d0f393ce387d5cc3a582b29d939efad4
4,SWS000004,8,7,7,Junction SafetyWasteStream 4,1,SWS000004,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,247c9840fbca5a3e91910333496ff137247c9840fbca5a3e91910333496ff137
5,SWS000005,85,16,7,Willow SafetyWasteStream 5,0,SWS000005,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cef3158eb33053cca83e005f4bbe853fcef3158eb33053cca83e005f4bbe853f
6,SWS000006,201,6,1,Unity SafetyWasteStream 6,1,SWS000006,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbfd9d174c0e5b30b3d09e0e7623da5ddbfd9d174c0e5b30b3d09e0e7623da5d
7,SWS000007,312,3,6,Zenith SafetyWasteStream 7,1,SWS000007,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88607d2ad53454d983ed91808534688d88607d2ad53454d983ed91808534688d
8,SWS000008,255,1,3,Riverton SafetyWasteStream 8,1,SWS000008,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53e36bec71d8514e828efbc5c91eee8853e36bec71d8514e828efbc5c91eee88
9,SWS000009,197,4,7,Harbor SafetyWasteStream 9,1,SWS000009,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2995b48d26b1521280b27429115de7172995b48d26b1521280b27429115de717
10,SWS000010,24,16,2,Pioneer SafetyWasteStream 10,0,SWS000010,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be16aeb9413459dc8d2708337e86a471be16aeb9413459dc8d2708337e86a471
11,SWS000011,165,10,5,Riverton SafetyWasteStream 11,1,SWS000011,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74ac24532db45760bbb76bef216bf71d74ac24532db45760bbb76bef216bf71d
12,SWS000012,217,8,1,Keystone SafetyWasteStream 12,1,SWS000012,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a516927d98957beab9d0f53fb5513d98a516927d98957beab9d0f53fb5513d9
13,SWS000013,350,12,2,Harbor SafetyWasteStream 13,1,SWS000013,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ebb46022dec548eb42074bbd69cff8f3ebb46022dec548eb42074bbd69cff8f
14,SWS000014,151,16,4,Pioneer SafetyWasteStream 14,1,SWS000014,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e90c7d4cb97e5c799f4fc9de0da8e692e90c7d4cb97e5c799f4fc9de0da8e692
15,SWS000015,72,8,5,Atlas SafetyWasteStream 15,0,SWS000015,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,885cbd4658d657f6835753c82aa08e38885cbd4658d657f6835753c82aa08e38
16,SWS000016,246,2,6,Zenith SafetyWasteStream 16,1,SWS000016,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96c202385ea95a22b4faa8bc95ad01b196c202385ea95a22b4faa8bc95ad01b1
17,SWS000017,210,10,7,Northstar SafetyWasteStream 17,1,SWS000017,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b2cf86e5da75676b1a9e36571f4b1007b2cf86e5da75676b1a9e36571f4b100
18,SWS000018,240,11,6,Ion SafetyWasteStream 18,1,SWS000018,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c30bdf709548523b89dc24ad2596bc20c30bdf709548523b89dc24ad2596bc20
19,SWS000019,224,16,7,Summit SafetyWasteStream 19,1,SWS000019,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84f7c90c66095d509ca4d6bc9cac2d1084f7c90c66095d509ca4d6bc9cac2d10
20,SWS000020,241,11,4,Orion SafetyWasteStream 20,0,SWS000020,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,deb260c34a9d54d1ae6d8829f297492fdeb260c34a9d54d1ae6d8829f297492f
21,SWS000021,209,4,2,Willow SafetyWasteStream 21,1,SWS000021,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89f1dcf1d5df585f9a511d7d594a2d5f89f1dcf1d5df585f9a511d7d594a2d5f
22,SWS000022,297,6,3,Atlas SafetyWasteStream 22,1,SWS000022,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e11129358bee5502bc601b0a9c9b301ee11129358bee5502bc601b0a9c9b301e
23,SWS000023,267,6,2,Evergreen SafetyWasteStream 23,1,SWS000023,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b52467c5b9a577599f51fbd508f9b094b52467c5b9a577599f51fbd508f9b09
24,SWS000024,200,16,4,Cedar SafetyWasteStream 24,1,SWS000024,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1676001889745c9ba55012f4d33f29b81676001889745c9ba55012f4d33f29b8
25,SWS000025,10,8,5,Atlas SafetyWasteStream 25,0,SWS000025,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aab9bd5f1ee05113a9a4f86fd65e1de2aab9bd5f1ee05113a9a4f86fd65e1de2
26,SWS000026,86,15,5,Ion SafetyWasteStream 26,1,SWS000026,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f748085a51c15f8e8ef2b0d8f44b655cf748085a51c15f8e8ef2b0d8f44b655c
27,SWS000027,340,13,7,Liberty SafetyWasteStream 27,1,SWS000027,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5627d51c3875c73af654b2a4e1811a4b5627d51c3875c73af654b2a4e1811a4
