PurchaseRequisitionKey,RequisitionNumber,PlantKey,RequesterEmployeeKey,PurchaseApprovalStepKey,PurchaseRequisitionStatusKey,PriorityKey,RequisitionName,RequestedDeliveryDate,UrgencyScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,1900-01-01,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,PR000001,36,314,62,7,5,Cedar PurchaseRequisition 1,2020-01-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0965e7eb71b5dbf95f8ab3472f91ecdc0965e7eb71b5dbf95f8ab3472f91ecd
2,PR000002,149,215,422,6,1,Evergreen PurchaseRequisition 2,2020-01-03,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06d68fc0d2135366a4b500bf1513d7fc06d68fc0d2135366a4b500bf1513d7fc
3,PR000003,27,76,172,9,3,Cedar PurchaseRequisition 3,2020-01-04,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05b2f4833f945313bbfdf921d241ccec05b2f4833f945313bbfdf921d241ccec
4,PR000004,60,373,200,4,3,Summit PurchaseRequisition 4,2020-01-05,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1396b201b54c51eaa27bd04363df13561396b201b54c51eaa27bd04363df1356
5,PR000005,327,24,290,5,5,Ion PurchaseRequisition 5,2020-01-06,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab6d1b0ba1b45164acaf63a516c92368ab6d1b0ba1b45164acaf63a516c92368
6,PR000006,193,128,209,6,3,Atlas PurchaseRequisition 6,2020-01-07,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f38662b7eaf53ae926492ec93e046083f38662b7eaf53ae926492ec93e04608
7,PR000007,278,83,109,6,3,Summit PurchaseRequisition 7,2020-01-08,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,beffe735214b5a6a9ee51f1d9483457bbeffe735214b5a6a9ee51f1d9483457b
8,PR000008,219,150,308,2,2,Atlas PurchaseRequisition 8,2020-01-09,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b338d8a5278c503f89fe1e4e4582f684b338d8a5278c503f89fe1e4e4582f684
9,PR000009,199,311,252,9,4,Harbor PurchaseRequisition 9,2020-01-10,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7061f3b300b85a609fe3fa95ddb372147061f3b300b85a609fe3fa95ddb37214
10,PR000010,161,173,112,8,1,Evergreen PurchaseRequisition 10,2020-01-11,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58db4bddd9ab518f886aa35583f693b258db4bddd9ab518f886aa35583f693b2
11,PR000011,140,90,225,3,3,Ion PurchaseRequisition 11,2020-01-12,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,714135a1c158553cbd945ab3a7a3735c714135a1c158553cbd945ab3a7a3735c
12,PR000012,157,234,338,6,3,Titan PurchaseRequisition 12,2020-01-13,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5aa08337bb6575dadd0b02d9165007ef5aa08337bb6575dadd0b02d9165007e
