PurchaseRequestForQuoteKey,RequestForQuoteNumber,PurchaseCommodityKey,SourcingOwnerEmployeeKey,ApprovalStatusKey,CurrencyKey,RequestForQuoteName,BidDueDate,IsSealedBid,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,1900-01-01,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,PRFQ000001,216,431,3,3,Riverton PurchaseRequestForQuote 1,2020-01-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77293bf1ca875a2aa5b27eadd2add24277293bf1ca875a2aa5b27eadd2add242
2,PRFQ000002,79,204,3,3,Granite PurchaseRequestForQuote 2,2020-01-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31d7c26f30e359ad96b0adf063b708bb31d7c26f30e359ad96b0adf063b708bb
3,PRFQ000003,47,24,3,3,Junction PurchaseRequestForQuote 3,2020-01-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebcdc9b60a2c58328c5b00e6b4a3f042ebcdc9b60a2c58328c5b00e6b4a3f042
4,PRFQ000004,332,103,2,1,Keystone PurchaseRequestForQuote 4,2020-01-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff89c77b80c55b238819057cb3a2a23cff89c77b80c55b238819057cb3a2a23c
5,PRFQ000005,114,2,4,1,Evergreen PurchaseRequestForQuote 5,2020-01-06,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b2b6a7957745dab8318bbdb7f6d52562b2b6a7957745dab8318bbdb7f6d5256
6,PRFQ000006,171,64,2,2,Quartz PurchaseRequestForQuote 6,2020-01-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0e7545025ff565dac3b56b25cbfa0bed0e7545025ff565dac3b56b25cbfa0be
7,PRFQ000007,148,91,2,2,Unity PurchaseRequestForQuote 7,2020-01-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42655cc18f1458deb6936dc6212e7b1e42655cc18f1458deb6936dc6212e7b1e
8,PRFQ000008,371,163,2,2,Titan PurchaseRequestForQuote 8,2020-01-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59d6420cb4e55d1f8a02958ccfd4503259d6420cb4e55d1f8a02958ccfd45032
9,PRFQ000009,219,108,2,3,Zenith PurchaseRequestForQuote 9,2020-01-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76af69229f9456e7a1451b205224f9cf76af69229f9456e7a1451b205224f9cf
10,PRFQ000010,431,408,3,1,Keystone PurchaseRequestForQuote 10,2020-01-11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab0f2976b8df557a83b0ac845bd90c8bab0f2976b8df557a83b0ac845bd90c8b
11,PRFQ000011,11,475,5,2,Northstar PurchaseRequestForQuote 11,2020-01-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2609d741947850eb9dbcdce623fc9dc22609d741947850eb9dbcdce623fc9dc2
12,PRFQ000012,150,107,4,5,Delta PurchaseRequestForQuote 12,2020-01-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01ff74b202035b8e8fb2200724d7d46401ff74b202035b8e8fb2200724d7d464
13,PRFQ000013,140,214,3,3,Cedar PurchaseRequestForQuote 13,2020-01-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,839a1f3179bf564481dceb6379f2972d839a1f3179bf564481dceb6379f2972d
14,PRFQ000014,359,470,1,2,Beacon PurchaseRequestForQuote 14,2020-01-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57a8c9b1ab965c8a8208ffae56db5d9857a8c9b1ab965c8a8208ffae56db5d98
15,PRFQ000015,495,147,4,5,Delta PurchaseRequestForQuote 15,2020-01-16,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29e827b0421f513f9bc7b3edc0d3547029e827b0421f513f9bc7b3edc0d35470
16,PRFQ000016,310,481,3,2,Zenith PurchaseRequestForQuote 16,2020-01-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8be0658533f5f099687bbe3140d68fbd8be0658533f5f099687bbe3140d68fb
17,PRFQ000017,181,-1,2,1,Orion PurchaseRequestForQuote 17,2020-01-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bf41f2c170a5571a9733f8f972f74376bf41f2c170a5571a9733f8f972f7437
18,PRFQ000018,288,267,2,3,Pioneer PurchaseRequestForQuote 18,2020-01-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34d4475c4e615892a8ec8835a4590c9c34d4475c4e615892a8ec8835a4590c9c
19,PRFQ000019,20,250,1,3,Meridian PurchaseRequestForQuote 19,2020-01-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b041cfacd42e540fb854e666743ca346b041cfacd42e540fb854e666743ca346
