MaintenanceConditionPointKey,ConditionPointNumber,AssetKey,MaintenanceAssetComponentTypeKey,MaintenanceConditionTypeKey,UnitOfMeasureKey,MaintenanceConditionPointName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MCP000001,61,310,9,4,Ion MaintenanceConditionPoint 1,MCP000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65fcd01a551f55e3a6974ac71aec827165fcd01a551f55e3a6974ac71aec8271
2,MCP000002,180,58,5,1,Atlas MaintenanceConditionPoint 2,MCP000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,219a9df111a450369ffefc45c543f566219a9df111a450369ffefc45c543f566
3,MCP000003,29,333,12,2,Vertex MaintenanceConditionPoint 3,MCP000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0bfe5b8efb15891bea17e65e67b2a64d0bfe5b8efb15891bea17e65e67b2a64
4,MCP000004,391,373,8,7,Forge MaintenanceConditionPoint 4,MCP000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13a5030348b75362852b8ec27acb929813a5030348b75362852b8ec27acb9298
5,MCP000005,39,391,11,1,Cedar MaintenanceConditionPoint 5,MCP000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e979f5e8b465611a1b26143975e6b980e979f5e8b465611a1b26143975e6b98
6,MCP000006,291,91,11,2,Northstar MaintenanceConditionPoint 6,MCP000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71686a4773b25116886508b0cb43c49971686a4773b25116886508b0cb43c499
7,MCP000007,16,393,11,4,Keystone MaintenanceConditionPoint 7,MCP000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ceb93198e8ea5b72b0f48644945c1389ceb93198e8ea5b72b0f48644945c1389
8,MCP000008,50,78,9,3,Meridian MaintenanceConditionPoint 8,MCP000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c473a4a45a8526ab575b9ac8da402113c473a4a45a8526ab575b9ac8da40211
9,MCP000009,85,206,11,3,Granite MaintenanceConditionPoint 9,MCP000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,194952f57af75c55a9204d0d850493fb194952f57af75c55a9204d0d850493fb
10,MCP000010,449,2,8,6,Liberty MaintenanceConditionPoint 10,MCP000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b078d58ccbcb5b6dbb68a7c0f963583bb078d58ccbcb5b6dbb68a7c0f963583b
11,MCP000011,428,59,4,4,Willow MaintenanceConditionPoint 11,MCP000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c303927829df51fc9f599875a3af57d6c303927829df51fc9f599875a3af57d6
12,MCP000012,432,193,11,1,Unity MaintenanceConditionPoint 12,MCP000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75622948a7c259d6b5574da2e45f2de375622948a7c259d6b5574da2e45f2de3
13,MCP000013,116,254,3,4,Beacon MaintenanceConditionPoint 13,MCP000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f192ed69b5be5f3287d07cda3cbe9ae8f192ed69b5be5f3287d07cda3cbe9ae8
14,MCP000014,371,56,6,7,Delta MaintenanceConditionPoint 14,MCP000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f633a97d90d584d92bfbdf5b27a22e67f633a97d90d584d92bfbdf5b27a22e6
15,MCP000015,172,160,11,4,Atlas MaintenanceConditionPoint 15,MCP000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9cb82b67a4c55b76a2048a14e9f190b39cb82b67a4c55b76a2048a14e9f190b3
16,MCP000016,216,233,6,2,Ion MaintenanceConditionPoint 16,MCP000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20c42a7bbe8651288b125813bdf9745520c42a7bbe8651288b125813bdf97455
17,MCP000017,122,363,2,3,Zenith MaintenanceConditionPoint 17,MCP000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8abaab49a20252fc9db7ab7be51a7bcc8abaab49a20252fc9db7ab7be51a7bcc
18,MCP000018,402,10,3,3,Quartz MaintenanceConditionPoint 18,MCP000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,973235fa24c6519d9d09d3b230013758973235fa24c6519d9d09d3b230013758
19,MCP000019,118,366,9,3,Pioneer MaintenanceConditionPoint 19,MCP000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f11b00407b150ae88762c34037883943f11b00407b150ae88762c3403788394
20,MCP000020,81,332,7,4,Granite MaintenanceConditionPoint 20,MCP000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea1241d2e4955ce9acca8c91c9d148a2ea1241d2e4955ce9acca8c91c9d148a2
21,MCP000021,425,434,6,7,Unity MaintenanceConditionPoint 21,MCP000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e338216b75cb5adead3db74c0cd752ade338216b75cb5adead3db74c0cd752ad
22,MCP000022,308,391,10,5,Atlas MaintenanceConditionPoint 22,MCP000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8be829a61a3b5c788f14c3ceaf4e00368be829a61a3b5c788f14c3ceaf4e0036
23,MCP000023,202,150,9,1,Willow MaintenanceConditionPoint 23,MCP000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45c98118d20655bc8b0467293bbe9d2d45c98118d20655bc8b0467293bbe9d2d
24,MCP000024,76,23,1,5,Riverton MaintenanceConditionPoint 24,MCP000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0462e1d4e2fd53efb04970daaa3a6fc40462e1d4e2fd53efb04970daaa3a6fc4
25,MCP000025,496,102,12,2,Northstar MaintenanceConditionPoint 25,MCP000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eaf29bd9394156e4bedccafe18c5c32beaf29bd9394156e4bedccafe18c5c32b
26,MCP000026,15,435,4,6,Zenith MaintenanceConditionPoint 26,MCP000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c53b8e4dff25029a53c27927b80b0740c53b8e4dff25029a53c27927b80b074
27,MCP000027,176,115,3,4,Willow MaintenanceConditionPoint 27,MCP000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12e8181b26ca56bf8e384e8266c212fb12e8181b26ca56bf8e384e8266c212fb
28,MCP000028,315,20,12,5,Willow MaintenanceConditionPoint 28,MCP000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a0ecd3a7d565421a4b840481f3809454a0ecd3a7d565421a4b840481f380945
