SalesPromotionProgramKey,SalesPromotionProgramCode,SalesPromotionProgramName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,SPP000001,Riverton SalesPromotionProgram 1,1,1,2026-08-24T00:00:00.000
2,SPP000002,Pioneer SalesPromotionProgram 2,1,1,2026-08-24T00:00:00.000
3,SPP000003,Delta SalesPromotionProgram 3,1,1,2026-08-24T00:00:00.000
4,SPP000004,Riverton SalesPromotionProgram 4,1,1,2026-08-24T00:00:00.000
5,SPP000005,Meridian SalesPromotionProgram 5,1,1,2026-08-24T00:00:00.000
6,SPP000006,Liberty SalesPromotionProgram 6,1,1,2026-08-24T00:00:00.000
7,SPP000007,Evergreen SalesPromotionProgram 7,1,1,2026-08-24T00:00:00.000
8,SPP000008,Liberty SalesPromotionProgram 8,1,1,2026-08-24T00:00:00.000
9,SPP000009,Evergreen SalesPromotionProgram 9,1,1,2026-08-24T00:00:00.000
10,SPP000010,Summit SalesPromotionProgram 10,1,1,2026-08-24T00:00:00.000
11,SPP000011,Meridian SalesPromotionProgram 11,1,1,2026-08-24T00:00:00.000
12,SPP000012,Summit SalesPromotionProgram 12,1,1,2026-08-24T00:00:00.000
13,SPP000013,Titan SalesPromotionProgram 13,1,1,2026-08-24T00:00:00.000
14,SPP000014,Harbor SalesPromotionProgram 14,1,1,2026-08-24T00:00:00.000
15,SPP000015,Pioneer SalesPromotionProgram 15,1,1,2026-08-24T00:00:00.000
16,SPP000016,Harbor SalesPromotionProgram 16,1,1,2026-08-24T00:00:00.000
17,SPP000017,Willow SalesPromotionProgram 17,1,1,2026-08-24T00:00:00.000
18,SPP000018,Delta SalesPromotionProgram 18,1,1,2026-08-24T00:00:00.000
19,SPP000019,Orion SalesPromotionProgram 19,1,1,2026-08-24T00:00:00.000
20,SPP000020,Riverton SalesPromotionProgram 20,1,1,2026-08-24T00:00:00.000
21,SPP000021,Harbor SalesPromotionProgram 21,1,1,2026-08-24T00:00:00.000
22,SPP000022,Atlas SalesPromotionProgram 22,1,1,2026-08-24T00:00:00.000
23,SPP000023,Harbor SalesPromotionProgram 23,1,1,2026-08-24T00:00:00.000
24,SPP000024,Northstar SalesPromotionProgram 24,1,1,2026-08-24T00:00:00.000
25,SPP000025,Ion SalesPromotionProgram 25,1,1,2026-08-24T00:00:00.000
26,SPP000026,Quartz SalesPromotionProgram 26,1,1,2026-08-24T00:00:00.000
27,SPP000027,Cedar SalesPromotionProgram 27,1,1,2026-08-24T00:00:00.000
28,SPP000028,Beacon SalesPromotionProgram 28,1,1,2026-08-24T00:00:00.000
29,SPP000029,Delta SalesPromotionProgram 29,1,1,2026-08-24T00:00:00.000
30,SPP000030,Summit SalesPromotionProgram 30,1,1,2026-08-24T00:00:00.000
31,SPP000031,Quartz SalesPromotionProgram 31,1,1,2026-08-24T00:00:00.000
32,SPP000032,Pioneer SalesPromotionProgram 32,1,1,2026-08-24T00:00:00.000
33,SPP000033,Cedar SalesPromotionProgram 33,1,1,2026-08-24T00:00:00.000
34,SPP000034,Ion SalesPromotionProgram 34,1,1,2026-08-24T00:00:00.000
35,SPP000035,Meridian SalesPromotionProgram 35,1,1,2026-08-24T00:00:00.000
36,SPP000036,Granite SalesPromotionProgram 36,1,1,2026-08-24T00:00:00.000
37,SPP000037,Harbor SalesPromotionProgram 37,1,1,2026-08-24T00:00:00.000
38,SPP000038,Cedar SalesPromotionProgram 38,1,1,2026-08-24T00:00:00.000
