InventoryHandlingAttachmentKey,InventoryHandlingAttachmentCode,InventoryHandlingEquipmentKey,InventoryHandlingAttachmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IHA000001,173,Northstar InventoryHandlingAttachment 1,1,1,2026-08-24T00:00:00.000
2,IHA000002,150,Keystone InventoryHandlingAttachment 2,1,1,2026-08-24T00:00:00.000
3,IHA000003,41,Cedar InventoryHandlingAttachment 3,1,1,2026-08-24T00:00:00.000
4,IHA000004,77,Willow InventoryHandlingAttachment 4,1,1,2026-08-24T00:00:00.000
5,IHA000005,241,Harbor InventoryHandlingAttachment 5,1,1,2026-08-24T00:00:00.000
6,IHA000006,227,Ion InventoryHandlingAttachment 6,1,1,2026-08-24T00:00:00.000
7,IHA000007,53,Willow InventoryHandlingAttachment 7,1,1,2026-08-24T00:00:00.000
8,IHA000008,230,Evergreen InventoryHandlingAttachment 8,1,1,2026-08-24T00:00:00.000
9,IHA000009,206,Atlas InventoryHandlingAttachment 9,1,1,2026-08-24T00:00:00.000
10,IHA000010,140,Junction InventoryHandlingAttachment 10,1,1,2026-08-24T00:00:00.000
11,IHA000011,45,Northstar InventoryHandlingAttachment 11,1,1,2026-08-24T00:00:00.000
12,IHA000012,29,Summit InventoryHandlingAttachment 12,1,1,2026-08-24T00:00:00.000
13,IHA000013,68,Cedar InventoryHandlingAttachment 13,1,1,2026-08-24T00:00:00.000
14,IHA000014,246,Titan InventoryHandlingAttachment 14,1,1,2026-08-24T00:00:00.000
15,IHA000015,89,Atlas InventoryHandlingAttachment 15,1,1,2026-08-24T00:00:00.000
16,IHA000016,141,Northstar InventoryHandlingAttachment 16,1,1,2026-08-24T00:00:00.000
17,IHA000017,11,Northstar InventoryHandlingAttachment 17,1,1,2026-08-24T00:00:00.000
18,IHA000018,11,Vertex InventoryHandlingAttachment 18,1,1,2026-08-24T00:00:00.000
19,IHA000019,12,Delta InventoryHandlingAttachment 19,1,1,2026-08-24T00:00:00.000
20,IHA000020,24,Titan InventoryHandlingAttachment 20,1,1,2026-08-24T00:00:00.000
21,IHA000021,209,Willow InventoryHandlingAttachment 21,1,1,2026-08-24T00:00:00.000
22,IHA000022,172,Cedar InventoryHandlingAttachment 22,1,1,2026-08-24T00:00:00.000
23,IHA000023,47,Riverton InventoryHandlingAttachment 23,1,1,2026-08-24T00:00:00.000
24,IHA000024,72,Forge InventoryHandlingAttachment 24,1,1,2026-08-24T00:00:00.000
25,IHA000025,62,Junction InventoryHandlingAttachment 25,1,1,2026-08-24T00:00:00.000
26,IHA000026,98,Riverton InventoryHandlingAttachment 26,1,1,2026-08-24T00:00:00.000
27,IHA000027,22,Beacon InventoryHandlingAttachment 27,1,1,2026-08-24T00:00:00.000
28,IHA000028,205,Pioneer InventoryHandlingAttachment 28,1,1,2026-08-24T00:00:00.000
29,IHA000029,152,Cedar InventoryHandlingAttachment 29,1,1,2026-08-24T00:00:00.000
30,IHA000030,145,Cedar InventoryHandlingAttachment 30,1,1,2026-08-24T00:00:00.000
31,IHA000031,98,Zenith InventoryHandlingAttachment 31,1,1,2026-08-24T00:00:00.000
32,IHA000032,110,Liberty InventoryHandlingAttachment 32,1,1,2026-08-24T00:00:00.000
33,IHA000033,205,Forge InventoryHandlingAttachment 33,1,1,2026-08-24T00:00:00.000
34,IHA000034,211,Willow InventoryHandlingAttachment 34,1,1,2026-08-24T00:00:00.000
35,IHA000035,216,Titan InventoryHandlingAttachment 35,1,1,2026-08-24T00:00:00.000
