PurchaseOrderHeaderKey,PurchaseOrderNumber,SupplierKey,PlantKey,BuyerEmployeeKey,PurchaseBuyerAssignmentKey,PurchaseOrderLifecycleStatusKey,PurchasePaymentTermKey,CurrencyKey,PurchaseOrderName,BuyerReference,IncotermsCode,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,Unknown,N/A,UNKNOWN,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,POH000001,111,186,467,109,1,26,3,Unity PurchaseOrderHeader 1,PurchaseOrderHeader-BuyerReference-1,POH000001,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5eb46fed269053d4b232a2c94378d9ed5eb46fed269053d4b232a2c94378d9ed
2,POH000002,446,136,293,359,2,36,1,Ion PurchaseOrderHeader 2,PurchaseOrderHeader-BuyerReference-2,POH000002,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afb044b31a2d533baaca9282709ca907afb044b31a2d533baaca9282709ca907
3,POH000003,108,119,285,173,12,23,2,Unity PurchaseOrderHeader 3,PurchaseOrderHeader-BuyerReference-3,POH000003,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5277047d1a275b7aabdbe9abe39257555277047d1a275b7aabdbe9abe3925755
4,POH000004,302,189,196,21,7,35,4,Cedar PurchaseOrderHeader 4,PurchaseOrderHeader-BuyerReference-4,POH000004,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1933ec19b6d5c948369b494adb4f930b1933ec19b6d5c948369b494adb4f930
5,POH000005,464,312,149,73,9,18,2,Zenith PurchaseOrderHeader 5,PurchaseOrderHeader-BuyerReference-5,POH000005,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd3b2ba75cd755bb99682588104dca1add3b2ba75cd755bb99682588104dca1a
6,POH000006,425,266,78,176,12,29,3,Unity PurchaseOrderHeader 6,PurchaseOrderHeader-BuyerReference-6,POH000006,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5250323b29ea534db21aaee1a090643d5250323b29ea534db21aaee1a090643d
7,POH000007,287,251,55,88,3,13,3,Granite PurchaseOrderHeader 7,PurchaseOrderHeader-BuyerReference-7,POH000007,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcd2c83c486550d6953e925d90a571c9dcd2c83c486550d6953e925d90a571c9
8,POH000008,80,7,66,327,9,3,2,Titan PurchaseOrderHeader 8,PurchaseOrderHeader-BuyerReference-8,POH000008,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0877decea00d579887bc22c3e5cb90f10877decea00d579887bc22c3e5cb90f1
9,POH000009,451,286,114,458,12,17,5,Harbor PurchaseOrderHeader 9,PurchaseOrderHeader-BuyerReference-9,POH000009,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9cb6d447e3a25eebb3c7d616c948450f9cb6d447e3a25eebb3c7d616c948450f
10,POH000010,422,256,457,387,12,10,1,Atlas PurchaseOrderHeader 10,PurchaseOrderHeader-BuyerReference-10,POH000010,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0348724adc605291ba82262e20f990160348724adc605291ba82262e20f99016
11,POH000011,82,256,353,205,8,15,3,Junction PurchaseOrderHeader 11,PurchaseOrderHeader-BuyerReference-11,POH000011,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99aba45e620e57078d867ca3a85f50df99aba45e620e57078d867ca3a85f50df
12,POH000012,2,107,119,484,10,37,3,Summit PurchaseOrderHeader 12,PurchaseOrderHeader-BuyerReference-12,POH000012,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e57121319f55b0383daf67c8501e9cb8e57121319f55b0383daf67c8501e9cb
13,POH000013,484,196,380,448,5,18,2,Summit PurchaseOrderHeader 13,PurchaseOrderHeader-BuyerReference-13,POH000013,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5263819628205376883c41d197424cd35263819628205376883c41d197424cd3
14,POH000014,68,266,409,437,10,10,5,Summit PurchaseOrderHeader 14,PurchaseOrderHeader-BuyerReference-14,POH000014,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28edd0ef08d95001b16e3d88dffcd58e28edd0ef08d95001b16e3d88dffcd58e
15,POH000015,51,114,409,254,10,26,3,Harbor PurchaseOrderHeader 15,PurchaseOrderHeader-BuyerReference-15,POH000015,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6b9b442f580522ba65e2ec8638a4dafb6b9b442f580522ba65e2ec8638a4daf
16,POH000016,133,217,81,171,9,37,1,Ion PurchaseOrderHeader 16,PurchaseOrderHeader-BuyerReference-16,POH000016,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,590d0f6283c25b538556438d102c7f62590d0f6283c25b538556438d102c7f62
