MaintenanceCrewKey,MaintenanceCrewCode,MaintenanceCrewRoleKey,CostCenterKey,MaintenanceCrewName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MC000001,458,340,Orion MaintenanceCrew 1,MC000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fde09cb4f1b05d099e3416d481e4d372fde09cb4f1b05d099e3416d481e4d372
2,MC000002,208,321,Ion MaintenanceCrew 2,MC000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbfdb85cef9a57759a7e07b524a201f0bbfdb85cef9a57759a7e07b524a201f0
3,MC000003,150,271,Evergreen MaintenanceCrew 3,MC000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6914f1b9c751536e8fe4328ed746f3436914f1b9c751536e8fe4328ed746f343
4,MC000004,443,200,Keystone MaintenanceCrew 4,MC000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d0de9db98c55ea7b876cda3180131118d0de9db98c55ea7b876cda318013111
5,MC000005,90,61,Pioneer MaintenanceCrew 5,MC000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d76a1c8bb335cfeb11a7d94c5f7df7e5d76a1c8bb335cfeb11a7d94c5f7df7e
6,MC000006,219,386,Zenith MaintenanceCrew 6,MC000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,524e7e1f9e1f5a6d9e313198acee03ac524e7e1f9e1f5a6d9e313198acee03ac
7,MC000007,151,332,Harbor MaintenanceCrew 7,MC000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e12899259ebb5df4996e92dfa0a3959fe12899259ebb5df4996e92dfa0a3959f
8,MC000008,343,369,Liberty MaintenanceCrew 8,MC000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8868ca68c10b576ba791e18ca501c7058868ca68c10b576ba791e18ca501c705
9,MC000009,40,461,Keystone MaintenanceCrew 9,MC000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ae1df6e672057de84908e8c95ec23178ae1df6e672057de84908e8c95ec2317
10,MC000010,205,411,Pioneer MaintenanceCrew 10,MC000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fcbface93095d6f875a7ef0dc0ff8a84fcbface93095d6f875a7ef0dc0ff8a8
11,MC000011,470,97,Delta MaintenanceCrew 11,MC000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79c4079141b75f268ff29c0317e02a8b79c4079141b75f268ff29c0317e02a8b
12,MC000012,337,299,Liberty MaintenanceCrew 12,MC000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64f05e8ca70c562fb34288ad74e169de64f05e8ca70c562fb34288ad74e169de
13,MC000013,214,101,Unity MaintenanceCrew 13,MC000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21ba55ed241055f5a7f0e3397fa8305f21ba55ed241055f5a7f0e3397fa8305f
14,MC000014,350,500,Atlas MaintenanceCrew 14,MC000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a612214b743d5d38bb53c57f611778daa612214b743d5d38bb53c57f611778da
15,MC000015,188,190,Northstar MaintenanceCrew 15,MC000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecae6b3f2795507096a7367ff6119f0eecae6b3f2795507096a7367ff6119f0e
16,MC000016,10,264,Keystone MaintenanceCrew 16,MC000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d82369c68a2e5555a9bb908608e687dfd82369c68a2e5555a9bb908608e687df
