MachineCapacityRatingKey,MachineCapacityRatingCode,MachineCapacityBandKey,MachineCapacityRatingName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MCR000001,112,Harbor MachineCapacityRating 1,1,1,2026-08-24T00:00:00.000
2,MCR000002,180,Keystone MachineCapacityRating 2,1,1,2026-08-24T00:00:00.000
3,MCR000003,159,Harbor MachineCapacityRating 3,1,1,2026-08-24T00:00:00.000
4,MCR000004,7,Ion MachineCapacityRating 4,1,1,2026-08-24T00:00:00.000
5,MCR000005,124,Atlas MachineCapacityRating 5,1,1,2026-08-24T00:00:00.000
6,MCR000006,71,Forge MachineCapacityRating 6,1,1,2026-08-24T00:00:00.000
7,MCR000007,138,Cedar MachineCapacityRating 7,1,1,2026-08-24T00:00:00.000
8,MCR000008,177,Evergreen MachineCapacityRating 8,1,1,2026-08-24T00:00:00.000
9,MCR000009,34,Northstar MachineCapacityRating 9,1,1,2026-08-24T00:00:00.000
10,MCR000010,131,Liberty MachineCapacityRating 10,1,1,2026-08-24T00:00:00.000
11,MCR000011,14,Pioneer MachineCapacityRating 11,1,1,2026-08-24T00:00:00.000
12,MCR000012,46,Zenith MachineCapacityRating 12,1,1,2026-08-24T00:00:00.000
13,MCR000013,26,Pioneer MachineCapacityRating 13,1,1,2026-08-24T00:00:00.000
14,MCR000014,10,Vertex MachineCapacityRating 14,1,1,2026-08-24T00:00:00.000
15,MCR000015,104,Summit MachineCapacityRating 15,1,1,2026-08-24T00:00:00.000
16,MCR000016,155,Harbor MachineCapacityRating 16,1,1,2026-08-24T00:00:00.000
17,MCR000017,13,Cedar MachineCapacityRating 17,1,1,2026-08-24T00:00:00.000
18,MCR000018,117,Willow MachineCapacityRating 18,1,1,2026-08-24T00:00:00.000
19,MCR000019,41,Willow MachineCapacityRating 19,1,1,2026-08-24T00:00:00.000
20,MCR000020,67,Beacon MachineCapacityRating 20,1,1,2026-08-24T00:00:00.000
21,MCR000021,105,Quartz MachineCapacityRating 21,1,1,2026-08-24T00:00:00.000
22,MCR000022,157,Cedar MachineCapacityRating 22,1,1,2026-08-24T00:00:00.000
23,MCR000023,190,Granite MachineCapacityRating 23,1,1,2026-08-24T00:00:00.000
24,MCR000024,10,Junction MachineCapacityRating 24,1,1,2026-08-24T00:00:00.000
25,MCR000025,84,Cedar MachineCapacityRating 25,1,1,2026-08-24T00:00:00.000
26,MCR000026,118,Atlas MachineCapacityRating 26,1,1,2026-08-24T00:00:00.000
27,MCR000027,196,Orion MachineCapacityRating 27,1,1,2026-08-24T00:00:00.000
28,MCR000028,48,Evergreen MachineCapacityRating 28,1,1,2026-08-24T00:00:00.000
29,MCR000029,220,Granite MachineCapacityRating 29,1,1,2026-08-24T00:00:00.000
30,MCR000030,23,Unity MachineCapacityRating 30,1,1,2026-08-24T00:00:00.000
31,MCR000031,170,Atlas MachineCapacityRating 31,1,1,2026-08-24T00:00:00.000
32,MCR000032,179,Unity MachineCapacityRating 32,1,1,2026-08-24T00:00:00.000
33,MCR000033,68,Beacon MachineCapacityRating 33,1,1,2026-08-24T00:00:00.000
34,MCR000034,164,Titan MachineCapacityRating 34,1,1,2026-08-24T00:00:00.000
35,MCR000035,159,Quartz MachineCapacityRating 35,1,1,2026-08-24T00:00:00.000
36,MCR000036,199,Junction MachineCapacityRating 36,1,1,2026-08-24T00:00:00.000
