SalesPromotionKey,PromotionCode,SalesPromotionTacticKey,ProductKey,CustomerKey,SalesPriceConditionTypeKey,CurrencyKey,PromotionName,EffectiveDate,ExpirationDate,MaximumDiscountAmount,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,1900-01-01,1900-01-01,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SP000001,84,482,474,7,4,Summit SalesPromotion 1,2020-01-02,2020-01-02,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5672c7b3f699513abc89e6ef3dc58c185672c7b3f699513abc89e6ef3dc58c18
2,SP000002,152,191,268,10,1,Quartz SalesPromotion 2,2020-01-03,2020-01-03,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,900cb9b79db953039bdd1dbda9e06067900cb9b79db953039bdd1dbda9e06067
3,SP000003,9,301,115,18,3,Ion SalesPromotion 3,2020-01-04,2020-01-04,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a813f5e17555c85846172fc3d201e1b8a813f5e17555c85846172fc3d201e1b
4,SP000004,334,119,437,6,3,Beacon SalesPromotion 4,2020-01-05,2020-01-05,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8c7afe50daa5aa0a0545a2819f6cf0ae8c7afe50daa5aa0a0545a2819f6cf0a
5,SP000005,324,312,440,6,1,Atlas SalesPromotion 5,2020-01-06,2020-01-06,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d1575b281545601bb2e45ea651145732d1575b281545601bb2e45ea65114573
6,SP000006,441,210,145,10,3,Quartz SalesPromotion 6,2020-01-07,2020-01-07,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53d6a6de25cd585d99300e67de20701e53d6a6de25cd585d99300e67de20701e
7,SP000007,197,343,223,6,5,Summit SalesPromotion 7,2020-01-08,2020-01-08,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5cba3b5744e50749e5a52cda5e0d8edb5cba3b5744e50749e5a52cda5e0d8ed
8,SP000008,4,71,412,4,1,Northstar SalesPromotion 8,2020-01-09,2020-01-09,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6f0076a65df53bf840744fafb2c77dfe6f0076a65df53bf840744fafb2c77df
9,SP000009,32,301,44,14,2,Meridian SalesPromotion 9,2020-01-10,2020-01-10,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3e4dd7824fa5c3a812c8c728b50bd3fa3e4dd7824fa5c3a812c8c728b50bd3f
10,SP000010,101,452,205,14,2,Delta SalesPromotion 10,2020-01-11,2020-01-11,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7b226ff1612571cac1a6ec94aab2206b7b226ff1612571cac1a6ec94aab2206
11,SP000011,304,395,329,17,5,Evergreen SalesPromotion 11,2020-01-12,2020-01-12,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e46d04a3e1ff5c138c14deb8b43d935ae46d04a3e1ff5c138c14deb8b43d935a
12,SP000012,211,122,176,12,3,Atlas SalesPromotion 12,2020-01-13,2020-01-13,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fabe1621c1665de4910d7c6e810bd10bfabe1621c1665de4910d7c6e810bd10b
13,SP000013,458,238,200,6,1,Delta SalesPromotion 13,2020-01-14,2020-01-14,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2489ea8bcb8252a2beab928fecf7a0b22489ea8bcb8252a2beab928fecf7a0b2
14,SP000014,64,251,319,10,4,Riverton SalesPromotion 14,2020-01-15,2020-01-15,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a64bcc8d29095725b48878b2c694d819a64bcc8d29095725b48878b2c694d819
15,SP000015,352,135,92,17,5,Quartz SalesPromotion 15,2020-01-16,2020-01-16,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,085a8dc17eb356568fd7e12e168f5f45085a8dc17eb356568fd7e12e168f5f45
16,SP000016,69,38,27,9,1,Liberty SalesPromotion 16,2020-01-17,2020-01-17,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d742ba8545c9584486a9724357a2e248d742ba8545c9584486a9724357a2e248
