MaintenancePlanClassKey,MaintenancePlanClassCode,MaintenancePlanFamilyKey,MaintenancePlanClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MPC000001,3,Junction MaintenancePlanClass 1,1,1,2026-08-24T00:00:00.000
2,MPC000002,6,Delta MaintenancePlanClass 2,1,1,2026-08-24T00:00:00.000
3,MPC000003,5,Northstar MaintenancePlanClass 3,1,1,2026-08-24T00:00:00.000
4,MPC000004,13,Quartz MaintenancePlanClass 4,1,1,2026-08-24T00:00:00.000
5,MPC000005,14,Willow MaintenancePlanClass 5,1,1,2026-08-24T00:00:00.000
6,MPC000006,9,Beacon MaintenancePlanClass 6,1,1,2026-08-24T00:00:00.000
7,MPC000007,7,Cedar MaintenancePlanClass 7,1,1,2026-08-24T00:00:00.000
8,MPC000008,9,Meridian MaintenancePlanClass 8,1,1,2026-08-24T00:00:00.000
9,MPC000009,3,Summit MaintenancePlanClass 9,1,1,2026-08-24T00:00:00.000
10,MPC000010,8,Delta MaintenancePlanClass 10,1,1,2026-08-24T00:00:00.000
11,MPC000011,10,Keystone MaintenancePlanClass 11,1,1,2026-08-24T00:00:00.000
12,MPC000012,9,Willow MaintenancePlanClass 12,1,1,2026-08-24T00:00:00.000
13,MPC000013,11,Liberty MaintenancePlanClass 13,1,1,2026-08-24T00:00:00.000
14,MPC000014,1,Liberty MaintenancePlanClass 14,1,1,2026-08-24T00:00:00.000
15,MPC000015,11,Cedar MaintenancePlanClass 15,1,1,2026-08-24T00:00:00.000
16,MPC000016,11,Pioneer MaintenancePlanClass 16,1,1,2026-08-24T00:00:00.000
17,MPC000017,10,Summit MaintenancePlanClass 17,1,1,2026-08-24T00:00:00.000
18,MPC000018,10,Granite MaintenancePlanClass 18,1,1,2026-08-24T00:00:00.000
19,MPC000019,12,Zenith MaintenancePlanClass 19,1,1,2026-08-24T00:00:00.000
20,MPC000020,9,Riverton MaintenancePlanClass 20,1,1,2026-08-24T00:00:00.000
21,MPC000021,7,Delta MaintenancePlanClass 21,1,1,2026-08-24T00:00:00.000
22,MPC000022,2,Junction MaintenancePlanClass 22,1,1,2026-08-24T00:00:00.000
23,MPC000023,13,Junction MaintenancePlanClass 23,1,1,2026-08-24T00:00:00.000
24,MPC000024,11,Atlas MaintenancePlanClass 24,1,1,2026-08-24T00:00:00.000
25,MPC000025,2,Quartz MaintenancePlanClass 25,1,1,2026-08-24T00:00:00.000
26,MPC000026,14,Summit MaintenancePlanClass 26,1,1,2026-08-24T00:00:00.000
