ProductionScheduleFamilyKey,ProductionScheduleFamilyCode,ProductionScheduleBucketKey,ProductionScheduleFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PSF000001,6,Cedar ProductionScheduleFamily 1,1,1,2026-08-24T00:00:00.000
2,PSF000002,6,Willow ProductionScheduleFamily 2,1,1,2026-08-24T00:00:00.000
3,PSF000003,10,Willow ProductionScheduleFamily 3,1,1,2026-08-24T00:00:00.000
4,PSF000004,17,Willow ProductionScheduleFamily 4,1,1,2026-08-24T00:00:00.000
5,PSF000005,17,Vertex ProductionScheduleFamily 5,1,1,2026-08-24T00:00:00.000
6,PSF000006,1,Ion ProductionScheduleFamily 6,1,1,2026-08-24T00:00:00.000
7,PSF000007,7,Quartz ProductionScheduleFamily 7,1,1,2026-08-24T00:00:00.000
8,PSF000008,10,Evergreen ProductionScheduleFamily 8,1,1,2026-08-24T00:00:00.000
9,PSF000009,2,Atlas ProductionScheduleFamily 9,1,1,2026-08-24T00:00:00.000
10,PSF000010,20,Keystone ProductionScheduleFamily 10,1,1,2026-08-24T00:00:00.000
11,PSF000011,2,Willow ProductionScheduleFamily 11,1,1,2026-08-24T00:00:00.000
12,PSF000012,4,Meridian ProductionScheduleFamily 12,1,1,2026-08-24T00:00:00.000
13,PSF000013,13,Willow ProductionScheduleFamily 13,1,1,2026-08-24T00:00:00.000
14,PSF000014,6,Junction ProductionScheduleFamily 14,1,1,2026-08-24T00:00:00.000
15,PSF000015,13,Ion ProductionScheduleFamily 15,1,1,2026-08-24T00:00:00.000
16,PSF000016,8,Cedar ProductionScheduleFamily 16,1,1,2026-08-24T00:00:00.000
17,PSF000017,14,Riverton ProductionScheduleFamily 17,1,1,2026-08-24T00:00:00.000
18,PSF000018,17,Zenith ProductionScheduleFamily 18,1,1,2026-08-24T00:00:00.000
19,PSF000019,12,Cedar ProductionScheduleFamily 19,1,1,2026-08-24T00:00:00.000
20,PSF000020,1,Quartz ProductionScheduleFamily 20,1,1,2026-08-24T00:00:00.000
21,PSF000021,4,Pioneer ProductionScheduleFamily 21,1,1,2026-08-24T00:00:00.000
22,PSF000022,3,Vertex ProductionScheduleFamily 22,1,1,2026-08-24T00:00:00.000
23,PSF000023,15,Forge ProductionScheduleFamily 23,1,1,2026-08-24T00:00:00.000
24,PSF000024,14,Titan ProductionScheduleFamily 24,1,1,2026-08-24T00:00:00.000
25,PSF000025,1,Keystone ProductionScheduleFamily 25,1,1,2026-08-24T00:00:00.000
26,PSF000026,5,Atlas ProductionScheduleFamily 26,1,1,2026-08-24T00:00:00.000
27,PSF000027,10,Zenith ProductionScheduleFamily 27,1,1,2026-08-24T00:00:00.000
28,PSF000028,6,Willow ProductionScheduleFamily 28,1,1,2026-08-24T00:00:00.000
29,PSF000029,10,Titan ProductionScheduleFamily 29,1,1,2026-08-24T00:00:00.000
30,PSF000030,2,Unity ProductionScheduleFamily 30,1,1,2026-08-24T00:00:00.000
31,PSF000031,11,Atlas ProductionScheduleFamily 31,1,1,2026-08-24T00:00:00.000
32,PSF000032,2,Cedar ProductionScheduleFamily 32,1,1,2026-08-24T00:00:00.000
33,PSF000033,4,Beacon ProductionScheduleFamily 33,1,1,2026-08-24T00:00:00.000
34,PSF000034,18,Quartz ProductionScheduleFamily 34,1,1,2026-08-24T00:00:00.000
35,PSF000035,11,Harbor ProductionScheduleFamily 35,1,1,2026-08-24T00:00:00.000
36,PSF000036,14,Titan ProductionScheduleFamily 36,1,1,2026-08-24T00:00:00.000
37,PSF000037,12,Ion ProductionScheduleFamily 37,1,1,2026-08-24T00:00:00.000
38,PSF000038,5,Forge ProductionScheduleFamily 38,1,1,2026-08-24T00:00:00.000
39,PSF000039,5,Meridian ProductionScheduleFamily 39,1,1,2026-08-24T00:00:00.000
40,PSF000040,8,Keystone ProductionScheduleFamily 40,1,1,2026-08-24T00:00:00.000
41,PSF000041,3,Orion ProductionScheduleFamily 41,1,1,2026-08-24T00:00:00.000
42,PSF000042,2,Titan ProductionScheduleFamily 42,1,1,2026-08-24T00:00:00.000
43,PSF000043,3,Pioneer ProductionScheduleFamily 43,1,1,2026-08-24T00:00:00.000
44,PSF000044,12,Titan ProductionScheduleFamily 44,1,1,2026-08-24T00:00:00.000
45,PSF000045,20,Liberty ProductionScheduleFamily 45,1,1,2026-08-24T00:00:00.000
46,PSF000046,3,Ion ProductionScheduleFamily 46,1,1,2026-08-24T00:00:00.000
47,PSF000047,2,Orion ProductionScheduleFamily 47,1,1,2026-08-24T00:00:00.000
48,PSF000048,19,Zenith ProductionScheduleFamily 48,1,1,2026-08-24T00:00:00.000
49,PSF000049,13,Ion ProductionScheduleFamily 49,1,1,2026-08-24T00:00:00.000
50,PSF000050,20,Forge ProductionScheduleFamily 50,1,1,2026-08-24T00:00:00.000
51,PSF000051,14,Granite ProductionScheduleFamily 51,1,1,2026-08-24T00:00:00.000
52,PSF000052,13,Ion ProductionScheduleFamily 52,1,1,2026-08-24T00:00:00.000
53,PSF000053,5,Orion ProductionScheduleFamily 53,1,1,2026-08-24T00:00:00.000
54,PSF000054,6,Unity ProductionScheduleFamily 54,1,1,2026-08-24T00:00:00.000
55,PSF000055,5,Atlas ProductionScheduleFamily 55,1,1,2026-08-24T00:00:00.000
56,PSF000056,16,Titan ProductionScheduleFamily 56,1,1,2026-08-24T00:00:00.000
57,PSF000057,14,Atlas ProductionScheduleFamily 57,1,1,2026-08-24T00:00:00.000
58,PSF000058,1,Riverton ProductionScheduleFamily 58,1,1,2026-08-24T00:00:00.000
59,PSF000059,18,Harbor ProductionScheduleFamily 59,1,1,2026-08-24T00:00:00.000
60,PSF000060,13,Harbor ProductionScheduleFamily 60,1,1,2026-08-24T00:00:00.000
61,PSF000061,3,Riverton ProductionScheduleFamily 61,1,1,2026-08-24T00:00:00.000
62,PSF000062,20,Harbor ProductionScheduleFamily 62,1,1,2026-08-24T00:00:00.000
63,PSF000063,14,Delta ProductionScheduleFamily 63,1,1,2026-08-24T00:00:00.000
64,PSF000064,7,Beacon ProductionScheduleFamily 64,1,1,2026-08-24T00:00:00.000
65,PSF000065,11,Summit ProductionScheduleFamily 65,1,1,2026-08-24T00:00:00.000
66,PSF000066,16,Harbor ProductionScheduleFamily 66,1,1,2026-08-24T00:00:00.000
67,PSF000067,4,Keystone ProductionScheduleFamily 67,1,1,2026-08-24T00:00:00.000
68,PSF000068,1,Cedar ProductionScheduleFamily 68,1,1,2026-08-24T00:00:00.000
69,PSF000069,14,Beacon ProductionScheduleFamily 69,1,1,2026-08-24T00:00:00.000
70,PSF000070,20,Orion ProductionScheduleFamily 70,1,1,2026-08-24T00:00:00.000
71,PSF000071,3,Harbor ProductionScheduleFamily 71,1,1,2026-08-24T00:00:00.000
72,PSF000072,13,Keystone ProductionScheduleFamily 72,1,1,2026-08-24T00:00:00.000
73,PSF000073,15,Titan ProductionScheduleFamily 73,1,1,2026-08-24T00:00:00.000
74,PSF000074,17,Vertex ProductionScheduleFamily 74,1,1,2026-08-24T00:00:00.000
75,PSF000075,18,Northstar ProductionScheduleFamily 75,1,1,2026-08-24T00:00:00.000
76,PSF000076,18,Pioneer ProductionScheduleFamily 76,1,1,2026-08-24T00:00:00.000
77,PSF000077,4,Vertex ProductionScheduleFamily 77,1,1,2026-08-24T00:00:00.000
78,PSF000078,11,Vertex ProductionScheduleFamily 78,1,1,2026-08-24T00:00:00.000
79,PSF000079,16,Titan ProductionScheduleFamily 79,1,1,2026-08-24T00:00:00.000
80,PSF000080,19,Titan ProductionScheduleFamily 80,1,1,2026-08-24T00:00:00.000
81,PSF000081,7,Riverton ProductionScheduleFamily 81,1,1,2026-08-24T00:00:00.000
82,PSF000082,11,Evergreen ProductionScheduleFamily 82,1,1,2026-08-24T00:00:00.000
83,PSF000083,19,Vertex ProductionScheduleFamily 83,1,1,2026-08-24T00:00:00.000
84,PSF000084,13,Pioneer ProductionScheduleFamily 84,1,1,2026-08-24T00:00:00.000
85,PSF000085,14,Granite ProductionScheduleFamily 85,1,1,2026-08-24T00:00:00.000
86,PSF000086,11,Keystone ProductionScheduleFamily 86,1,1,2026-08-24T00:00:00.000
87,PSF000087,7,Meridian ProductionScheduleFamily 87,1,1,2026-08-24T00:00:00.000
88,PSF000088,12,Unity ProductionScheduleFamily 88,1,1,2026-08-24T00:00:00.000
89,PSF000089,2,Riverton ProductionScheduleFamily 89,1,1,2026-08-24T00:00:00.000
90,PSF000090,15,Granite ProductionScheduleFamily 90,1,1,2026-08-24T00:00:00.000
