GeoCountryKey,GeoCountryCode,GeoContinentKey,GeoCountryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,CA,5,Titan GeoCountry 1,1,1,2026-08-24T00:00:00.000
2,MX,6,Junction GeoCountry 2,1,1,2026-08-24T00:00:00.000
3,DE,7,Vertex GeoCountry 3,1,1,2026-08-24T00:00:00.000
4,GB,4,Harbor GeoCountry 4,1,1,2026-08-24T00:00:00.000
5,JP,1,Vertex GeoCountry 5,1,1,2026-08-24T00:00:00.000
6,CN,2,Beacon GeoCountry 6,1,1,2026-08-24T00:00:00.000
7,IN,6,Ion GeoCountry 7,1,1,2026-08-24T00:00:00.000
8,US,3,Pioneer GeoCountry 8,1,1,2026-08-24T00:00:00.000
9,CA-2,6,Junction GeoCountry 9,1,1,2026-08-24T00:00:00.000
10,MX-2,2,Junction GeoCountry 10,1,1,2026-08-24T00:00:00.000
11,DE-2,7,Meridian GeoCountry 11,1,1,2026-08-24T00:00:00.000
12,GB-2,7,Evergreen GeoCountry 12,1,1,2026-08-24T00:00:00.000
13,JP-2,6,Zenith GeoCountry 13,1,1,2026-08-24T00:00:00.000
14,CN-2,1,Forge GeoCountry 14,1,1,2026-08-24T00:00:00.000
15,IN-2,5,Granite GeoCountry 15,1,1,2026-08-24T00:00:00.000
16,US-2,6,Ion GeoCountry 16,1,1,2026-08-24T00:00:00.000
17,CA-3,2,Cedar GeoCountry 17,1,1,2026-08-24T00:00:00.000
18,MX-3,7,Granite GeoCountry 18,1,1,2026-08-24T00:00:00.000
19,DE-3,6,Ion GeoCountry 19,1,1,2026-08-24T00:00:00.000
20,GB-3,6,Liberty GeoCountry 20,1,1,2026-08-24T00:00:00.000
21,JP-3,4,Meridian GeoCountry 21,1,1,2026-08-24T00:00:00.000
22,CN-3,6,Orion GeoCountry 22,1,1,2026-08-24T00:00:00.000
23,IN-3,5,Ion GeoCountry 23,1,1,2026-08-24T00:00:00.000
