LaborAssignmentKey,LaborAssignmentNumber,EmployeeKey,PlantKey,BusinessUnitKey,CostCenterKey,LaborJobGradeKey,LaborEmploymentStatusKey,AssignmentName,StandardWeeklyHours,IsPrimaryAssignment,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,0.00,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LA000001,180,51,270,239,29,5,Unity LaborAssignment 1,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,336cc562cc9b54e5849e3e399f1425ca336cc562cc9b54e5849e3e399f1425ca
2,LA000002,274,116,304,254,7,1,Titan LaborAssignment 2,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3dffe52cc2d5d9fa28f258c034a02d9d3dffe52cc2d5d9fa28f258c034a02d9
3,LA000003,205,257,191,148,13,2,Willow LaborAssignment 3,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e4d211b4bcb53c294f190e83988460e6e4d211b4bcb53c294f190e83988460e
4,LA000004,280,346,352,90,29,8,Zenith LaborAssignment 4,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e4fcfe01423531b8bb40aefa80722ea5e4fcfe01423531b8bb40aefa80722ea
5,LA000005,131,233,350,182,5,5,Pioneer LaborAssignment 5,6.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57773c92f9b25d60b52e3faf4c277a8f57773c92f9b25d60b52e3faf4c277a8f
6,LA000006,363,83,134,497,17,8,Cedar LaborAssignment 6,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5923cb4d963e5a62970e244f750871215923cb4d963e5a62970e244f75087121
7,LA000007,426,228,137,51,13,1,Ion LaborAssignment 7,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4761b0e877d1574eb952e461104d2d034761b0e877d1574eb952e461104d2d03
8,LA000008,454,311,291,392,22,1,Atlas LaborAssignment 8,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bb1a2ac2b095843825e75f1a85334482bb1a2ac2b095843825e75f1a8533448
9,LA000009,78,340,409,76,7,8,Summit LaborAssignment 9,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ed75ab920c4581d9cd8e3d0f61e16547ed75ab920c4581d9cd8e3d0f61e1654
