GlAccountKey,GlAccountNumber,AccountSubGroupKey,AccountReportingLineKey,PostingTypeKey,CostElementTypeKey,RecordStatusKey,CurrencyKey,GlAccountName,AccountDescription,NormalBalanceCode,FinancialStatementName,AllowPostingFlag,TaxRelevantFlag,IntercompanyFlag,EffectiveStartDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,N/A,U,Unknown,0,0,0,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,GA000001,176,67,9,5,3,3,Ion GlAccount 1,GlAccount starter record 1,G,Cedar GlAccount 1,1,1,1,2020-01-02,1,1,2026-08-24T00:00:00.000
2,GA000002,88,48,12,1,1,5,Orion GlAccount 2,GlAccount starter record 2,G,Junction GlAccount 2,1,1,1,2020-01-03,1,1,2026-08-24T00:00:00.000
3,GA000003,148,46,1,12,1,3,Cedar GlAccount 3,GlAccount starter record 3,G,Vertex GlAccount 3,1,1,1,2020-01-04,1,1,2026-08-24T00:00:00.000
4,GA000004,191,43,16,9,4,3,Harbor GlAccount 4,GlAccount starter record 4,G,Unity GlAccount 4,1,1,1,2020-01-05,1,1,2026-08-24T00:00:00.000
5,GA000005,138,113,7,9,1,2,Riverton GlAccount 5,GlAccount starter record 5,G,Unity GlAccount 5,0,0,0,2020-01-06,1,1,2026-08-24T00:00:00.000
6,GA000006,161,95,8,7,4,2,Junction GlAccount 6,GlAccount starter record 6,G,Willow GlAccount 6,1,1,1,2020-01-07,1,1,2026-08-24T00:00:00.000
7,GA000007,68,86,14,11,2,3,Harbor GlAccount 7,GlAccount starter record 7,G,Titan GlAccount 7,1,1,1,2020-01-08,1,1,2026-08-24T00:00:00.000
8,GA000008,19,153,13,2,3,1,Delta GlAccount 8,GlAccount starter record 8,G,Keystone GlAccount 8,1,1,1,2020-01-09,1,1,2026-08-24T00:00:00.000
9,GA000009,99,153,13,5,3,5,Unity GlAccount 9,GlAccount starter record 9,G,Liberty GlAccount 9,1,1,1,2020-01-10,1,1,2026-08-24T00:00:00.000
10,GA000010,118,89,9,10,4,4,Granite GlAccount 10,GlAccount starter record 10,G,Orion GlAccount 10,0,0,0,2020-01-11,1,1,2026-08-24T00:00:00.000
11,GA000011,68,172,8,2,2,2,Cedar GlAccount 11,GlAccount starter record 11,G,Willow GlAccount 11,1,1,1,2020-01-12,1,1,2026-08-24T00:00:00.000
12,GA000012,215,146,3,9,1,3,Willow GlAccount 12,GlAccount starter record 12,G,Liberty GlAccount 12,1,1,1,2020-01-13,1,1,2026-08-24T00:00:00.000
13,GA000013,117,137,11,4,1,5,Liberty GlAccount 13,GlAccount starter record 13,G,Keystone GlAccount 13,1,1,1,2020-01-14,1,1,2026-08-24T00:00:00.000
14,GA000014,100,192,7,10,2,4,Cedar GlAccount 14,GlAccount starter record 14,G,Junction GlAccount 14,1,1,1,2020-01-15,1,1,2026-08-24T00:00:00.000
15,GA000015,167,119,9,3,2,1,Summit GlAccount 15,GlAccount starter record 15,G,Junction GlAccount 15,0,0,0,2020-01-16,1,1,2026-08-24T00:00:00.000
16,GA000016,156,154,4,3,3,5,Quartz GlAccount 16,GlAccount starter record 16,G,Cedar GlAccount 16,1,1,1,2020-01-17,1,1,2026-08-24T00:00:00.000
17,GA000017,80,147,11,4,2,2,Unity GlAccount 17,GlAccount starter record 17,G,Junction GlAccount 17,1,1,1,2020-01-18,1,1,2026-08-24T00:00:00.000
18,GA000018,195,141,6,9,1,2,Quartz GlAccount 18,GlAccount starter record 18,G,Ion GlAccount 18,1,1,1,2020-01-19,1,1,2026-08-24T00:00:00.000
19,GA000019,116,128,8,1,1,1,Northstar GlAccount 19,GlAccount starter record 19,G,Atlas GlAccount 19,1,1,1,2020-01-20,1,1,2026-08-24T00:00:00.000
20,GA000020,116,133,5,4,2,3,Ion GlAccount 20,GlAccount starter record 20,G,Summit GlAccount 20,0,0,0,2020-01-21,1,1,2026-08-24T00:00:00.000
21,GA000021,176,178,5,3,4,3,Quartz GlAccount 21,GlAccount starter record 21,G,Northstar GlAccount 21,1,1,1,2020-01-22,1,1,2026-08-24T00:00:00.000
22,GA000022,57,59,7,9,3,3,Evergreen GlAccount 22,GlAccount starter record 22,G,Keystone GlAccount 22,1,1,1,2020-01-23,1,1,2026-08-24T00:00:00.000
23,GA000023,153,153,10,2,4,4,Liberty GlAccount 23,GlAccount starter record 23,G,Meridian GlAccount 23,1,1,1,2020-01-24,1,1,2026-08-24T00:00:00.000
24,GA000024,147,26,12,5,1,5,Ion GlAccount 24,GlAccount starter record 24,G,Granite GlAccount 24,1,1,1,2020-01-25,1,1,2026-08-24T00:00:00.000
25,GA000025,189,137,4,3,3,1,Harbor GlAccount 25,GlAccount starter record 25,G,Cedar GlAccount 25,0,0,0,2020-01-26,1,1,2026-08-24T00:00:00.000
26,GA000026,194,123,8,10,3,5,Delta GlAccount 26,GlAccount starter record 26,G,Willow GlAccount 26,1,1,1,2020-01-27,1,1,2026-08-24T00:00:00.000
27,GA000027,135,161,13,4,1,4,Northstar GlAccount 27,GlAccount starter record 27,G,Ion GlAccount 27,1,1,1,2020-01-28,1,1,2026-08-24T00:00:00.000
28,GA000028,112,81,8,12,1,1,Willow GlAccount 28,GlAccount starter record 28,G,Vertex GlAccount 28,1,1,1,2020-01-29,1,1,2026-08-24T00:00:00.000
29,GA000029,75,45,13,10,1,4,Summit GlAccount 29,GlAccount starter record 29,G,Granite GlAccount 29,1,1,1,2020-01-30,1,1,2026-08-24T00:00:00.000
30,GA000030,146,57,8,2,1,2,Beacon GlAccount 30,GlAccount starter record 30,G,Northstar GlAccount 30,0,0,0,2020-01-31,1,1,2026-08-24T00:00:00.000
31,GA000031,24,141,5,10,2,4,Evergreen GlAccount 31,GlAccount starter record 31,G,Granite GlAccount 31,1,1,1,2020-02-01,1,1,2026-08-24T00:00:00.000
32,GA000032,132,53,13,1,2,2,Unity GlAccount 32,GlAccount starter record 32,G,Northstar GlAccount 32,1,1,1,2020-02-02,1,1,2026-08-24T00:00:00.000
33,GA000033,128,83,5,7,3,2,Keystone GlAccount 33,GlAccount starter record 33,G,Zenith GlAccount 33,1,1,1,2020-02-03,1,1,2026-08-24T00:00:00.000
34,GA000034,117,191,2,6,2,2,Liberty GlAccount 34,GlAccount starter record 34,G,Harbor GlAccount 34,1,1,1,2020-02-04,1,1,2026-08-24T00:00:00.000
35,GA000035,188,51,12,10,1,5,Liberty GlAccount 35,GlAccount starter record 35,G,Titan GlAccount 35,0,0,0,2020-02-05,1,1,2026-08-24T00:00:00.000
36,GA000036,165,65,13,11,3,4,Cedar GlAccount 36,GlAccount starter record 36,G,Ion GlAccount 36,1,1,1,2020-02-06,1,1,2026-08-24T00:00:00.000
37,GA000037,168,80,7,10,3,1,Junction GlAccount 37,GlAccount starter record 37,G,Riverton GlAccount 37,1,1,1,2020-02-07,1,1,2026-08-24T00:00:00.000
38,GA000038,70,105,15,12,2,2,Delta GlAccount 38,GlAccount starter record 38,G,Summit GlAccount 38,1,1,1,2020-02-08,1,1,2026-08-24T00:00:00.000
39,GA000039,23,79,15,9,2,2,Northstar GlAccount 39,GlAccount starter record 39,G,Riverton GlAccount 39,1,1,1,2020-02-09,1,1,2026-08-24T00:00:00.000
40,GA000040,195,71,2,4,4,1,Willow GlAccount 40,GlAccount starter record 40,G,Meridian GlAccount 40,0,0,0,2020-02-10,1,1,2026-08-24T00:00:00.000
41,GA000041,200,58,4,8,1,5,Vertex GlAccount 41,GlAccount starter record 41,G,Riverton GlAccount 41,1,1,1,2020-02-11,1,1,2026-08-24T00:00:00.000
42,GA000042,147,85,4,3,2,3,Orion GlAccount 42,GlAccount starter record 42,G,Cedar GlAccount 42,1,1,1,2020-02-12,1,1,2026-08-24T00:00:00.000
43,GA000043,116,70,4,1,3,4,Forge GlAccount 43,GlAccount starter record 43,G,Harbor GlAccount 43,1,1,1,2020-02-13,1,1,2026-08-24T00:00:00.000
44,GA000044,214,100,8,1,3,1,Granite GlAccount 44,GlAccount starter record 44,G,Titan GlAccount 44,1,1,1,2020-02-14,1,1,2026-08-24T00:00:00.000
45,GA000045,192,159,16,7,3,4,Meridian GlAccount 45,GlAccount starter record 45,G,Ion GlAccount 45,0,0,0,2020-02-15,1,1,2026-08-24T00:00:00.000
46,GA000046,58,100,6,12,3,1,Titan GlAccount 46,GlAccount starter record 46,G,Atlas GlAccount 46,1,1,1,2020-02-16,1,1,2026-08-24T00:00:00.000
47,GA000047,125,152,10,5,1,2,Meridian GlAccount 47,GlAccount starter record 47,G,Granite GlAccount 47,1,1,1,2020-02-17,1,1,2026-08-24T00:00:00.000
48,GA000048,75,5,5,6,3,3,Unity GlAccount 48,GlAccount starter record 48,G,Forge GlAccount 48,1,1,1,2020-02-18,1,1,2026-08-24T00:00:00.000
49,GA000049,13,114,1,5,3,5,Delta GlAccount 49,GlAccount starter record 49,G,Titan GlAccount 49,1,1,1,2020-02-19,1,1,2026-08-24T00:00:00.000
50,GA000050,217,76,3,11,1,5,Riverton GlAccount 50,GlAccount starter record 50,G,Summit GlAccount 50,0,0,0,2020-02-20,1,1,2026-08-24T00:00:00.000
51,GA000051,200,71,11,10,2,1,Delta GlAccount 51,GlAccount starter record 51,G,Granite GlAccount 51,1,1,1,2020-02-21,1,1,2026-08-24T00:00:00.000
52,GA000052,156,20,13,10,2,2,Beacon GlAccount 52,GlAccount starter record 52,G,Granite GlAccount 52,1,1,1,2020-02-22,1,1,2026-08-24T00:00:00.000
53,GA000053,92,18,11,6,2,1,Keystone GlAccount 53,GlAccount starter record 53,G,Keystone GlAccount 53,1,1,1,2020-02-23,1,1,2026-08-24T00:00:00.000
54,GA000054,32,74,1,6,3,3,Keystone GlAccount 54,GlAccount starter record 54,G,Junction GlAccount 54,1,1,1,2020-02-24,1,1,2026-08-24T00:00:00.000
55,GA000055,173,144,15,5,3,2,Liberty GlAccount 55,GlAccount starter record 55,G,Harbor GlAccount 55,0,0,0,2020-02-25,1,1,2026-08-24T00:00:00.000
56,GA000056,83,89,7,11,2,2,Delta GlAccount 56,GlAccount starter record 56,G,Quartz GlAccount 56,1,1,1,2020-02-26,1,1,2026-08-24T00:00:00.000
57,GA000057,154,138,6,8,4,4,Keystone GlAccount 57,GlAccount starter record 57,G,Unity GlAccount 57,1,1,1,2020-02-27,1,1,2026-08-24T00:00:00.000
58,GA000058,81,142,6,8,4,4,Delta GlAccount 58,GlAccount starter record 58,G,Forge GlAccount 58,1,1,1,2020-02-28,1,1,2026-08-24T00:00:00.000
59,GA000059,38,1,13,1,1,4,Forge GlAccount 59,GlAccount starter record 59,G,Willow GlAccount 59,1,1,1,2020-02-29,1,1,2026-08-24T00:00:00.000
60,GA000060,9,127,11,5,3,3,Quartz GlAccount 60,GlAccount starter record 60,G,Northstar GlAccount 60,0,0,0,2020-03-01,1,1,2026-08-24T00:00:00.000
61,GA000061,145,133,8,9,4,3,Northstar GlAccount 61,GlAccount starter record 61,G,Ion GlAccount 61,1,1,1,2020-03-02,1,1,2026-08-24T00:00:00.000
