SafetyRegulationProgramKey,SafetyRegulationProgramCode,SafetyRegulationDomainKey,SafetyRegulationProgramName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SRP000001,1,Atlas SafetyRegulationProgram 1,1,1,2026-08-24T00:00:00.000
2,SRP000002,1,Liberty SafetyRegulationProgram 2,1,1,2026-08-24T00:00:00.000
3,SRP000003,6,Liberty SafetyRegulationProgram 3,1,1,2026-08-24T00:00:00.000
4,SRP000004,1,Titan SafetyRegulationProgram 4,1,1,2026-08-24T00:00:00.000
5,SRP000005,8,Summit SafetyRegulationProgram 5,1,1,2026-08-24T00:00:00.000
6,SRP000006,9,Liberty SafetyRegulationProgram 6,1,1,2026-08-24T00:00:00.000
7,SRP000007,6,Quartz SafetyRegulationProgram 7,1,1,2026-08-24T00:00:00.000
8,SRP000008,9,Junction SafetyRegulationProgram 8,1,1,2026-08-24T00:00:00.000
9,SRP000009,9,Liberty SafetyRegulationProgram 9,1,1,2026-08-24T00:00:00.000
10,SRP000010,7,Zenith SafetyRegulationProgram 10,1,1,2026-08-24T00:00:00.000
11,SRP000011,4,Cedar SafetyRegulationProgram 11,1,1,2026-08-24T00:00:00.000
12,SRP000012,6,Harbor SafetyRegulationProgram 12,1,1,2026-08-24T00:00:00.000
13,SRP000013,4,Riverton SafetyRegulationProgram 13,1,1,2026-08-24T00:00:00.000
14,SRP000014,1,Ion SafetyRegulationProgram 14,1,1,2026-08-24T00:00:00.000
15,SRP000015,1,Evergreen SafetyRegulationProgram 15,1,1,2026-08-24T00:00:00.000
16,SRP000016,5,Riverton SafetyRegulationProgram 16,1,1,2026-08-24T00:00:00.000
17,SRP000017,1,Vertex SafetyRegulationProgram 17,1,1,2026-08-24T00:00:00.000
18,SRP000018,4,Beacon SafetyRegulationProgram 18,1,1,2026-08-24T00:00:00.000
19,SRP000019,7,Meridian SafetyRegulationProgram 19,1,1,2026-08-24T00:00:00.000
20,SRP000020,5,Liberty SafetyRegulationProgram 20,1,1,2026-08-24T00:00:00.000
21,SRP000021,1,Keystone SafetyRegulationProgram 21,1,1,2026-08-24T00:00:00.000
22,SRP000022,2,Northstar SafetyRegulationProgram 22,1,1,2026-08-24T00:00:00.000
23,SRP000023,10,Evergreen SafetyRegulationProgram 23,1,1,2026-08-24T00:00:00.000
