MachineStateReasonKey,MachineStateReasonCode,MachineStateReasonGroupKey,MachineStateReasonName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MSR000001,105,Beacon MachineStateReason 1,1,1,2026-08-24T00:00:00.000
2,MSR000002,37,Northstar MachineStateReason 2,1,1,2026-08-24T00:00:00.000
3,MSR000003,57,Meridian MachineStateReason 3,1,1,2026-08-24T00:00:00.000
4,MSR000004,97,Summit MachineStateReason 4,1,1,2026-08-24T00:00:00.000
5,MSR000005,13,Northstar MachineStateReason 5,1,1,2026-08-24T00:00:00.000
6,MSR000006,64,Pioneer MachineStateReason 6,1,1,2026-08-24T00:00:00.000
7,MSR000007,55,Riverton MachineStateReason 7,1,1,2026-08-24T00:00:00.000
8,MSR000008,159,Harbor MachineStateReason 8,1,1,2026-08-24T00:00:00.000
9,MSR000009,160,Atlas MachineStateReason 9,1,1,2026-08-24T00:00:00.000
10,MSR000010,39,Summit MachineStateReason 10,1,1,2026-08-24T00:00:00.000
11,MSR000011,108,Willow MachineStateReason 11,1,1,2026-08-24T00:00:00.000
12,MSR000012,122,Willow MachineStateReason 12,1,1,2026-08-24T00:00:00.000
13,MSR000013,5,Keystone MachineStateReason 13,1,1,2026-08-24T00:00:00.000
14,MSR000014,120,Junction MachineStateReason 14,1,1,2026-08-24T00:00:00.000
15,MSR000015,52,Orion MachineStateReason 15,1,1,2026-08-24T00:00:00.000
16,MSR000016,70,Junction MachineStateReason 16,1,1,2026-08-24T00:00:00.000
17,MSR000017,89,Meridian MachineStateReason 17,1,1,2026-08-24T00:00:00.000
18,MSR000018,78,Pioneer MachineStateReason 18,1,1,2026-08-24T00:00:00.000
19,MSR000019,90,Keystone MachineStateReason 19,1,1,2026-08-24T00:00:00.000
20,MSR000020,115,Granite MachineStateReason 20,1,1,2026-08-24T00:00:00.000
21,MSR000021,118,Delta MachineStateReason 21,1,1,2026-08-24T00:00:00.000
22,MSR000022,57,Harbor MachineStateReason 22,1,1,2026-08-24T00:00:00.000
23,MSR000023,99,Vertex MachineStateReason 23,1,1,2026-08-24T00:00:00.000
24,MSR000024,32,Quartz MachineStateReason 24,1,1,2026-08-24T00:00:00.000
25,MSR000025,72,Zenith MachineStateReason 25,1,1,2026-08-24T00:00:00.000
26,MSR000026,88,Junction MachineStateReason 26,1,1,2026-08-24T00:00:00.000
27,MSR000027,32,Liberty MachineStateReason 27,1,1,2026-08-24T00:00:00.000
28,MSR000028,144,Quartz MachineStateReason 28,1,1,2026-08-24T00:00:00.000
29,MSR000029,4,Junction MachineStateReason 29,1,1,2026-08-24T00:00:00.000
30,MSR000030,24,Orion MachineStateReason 30,1,1,2026-08-24T00:00:00.000
31,MSR000031,28,Ion MachineStateReason 31,1,1,2026-08-24T00:00:00.000
32,MSR000032,149,Ion MachineStateReason 32,1,1,2026-08-24T00:00:00.000
33,MSR000033,48,Delta MachineStateReason 33,1,1,2026-08-24T00:00:00.000
34,MSR000034,149,Cedar MachineStateReason 34,1,1,2026-08-24T00:00:00.000
