InventorySerialNumberKey,SerialNumber,ProductKey,InventoryLotKey,InventoryStockStatusKey,SerialDescription,ActivationDate,WarrantyEndDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,N/A,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,ISN000001,265,420,5,InventorySerialNumber starter record 1,2020-01-02,2021-01-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81bfe1f2282258fab37208fe3e1c1a1481bfe1f2282258fab37208fe3e1c1a14
2,ISN000002,133,240,10,InventorySerialNumber starter record 2,2020-01-03,2021-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c37a46fa3ef758cc8ae8b199ee0d5246c37a46fa3ef758cc8ae8b199ee0d5246
3,ISN000003,192,416,6,InventorySerialNumber starter record 3,2020-01-04,2021-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdb0bc5bb48c5065aa967679ed7bb8b9bdb0bc5bb48c5065aa967679ed7bb8b9
4,ISN000004,276,70,1,InventorySerialNumber starter record 4,2020-01-05,2021-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a44884ee4405733ac3be182fe7153bc8a44884ee4405733ac3be182fe7153bc
5,ISN000005,138,71,9,InventorySerialNumber starter record 5,2020-01-06,2021-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02f4487a021150d3ae6f2314fb51dd4b02f4487a021150d3ae6f2314fb51dd4b
6,ISN000006,491,228,7,InventorySerialNumber starter record 6,2020-01-07,2021-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcfd51e459295084900e33c32c69d3ecdcfd51e459295084900e33c32c69d3ec
7,ISN000007,417,150,1,InventorySerialNumber starter record 7,2020-01-08,2021-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69ed41a048cb5e6cac471d7d89a62d6a69ed41a048cb5e6cac471d7d89a62d6a
8,ISN000008,392,212,8,InventorySerialNumber starter record 8,2020-01-09,2021-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6f6c6e68315518480c0a80543276de7a6f6c6e68315518480c0a80543276de7
9,ISN000009,374,408,9,InventorySerialNumber starter record 9,2020-01-10,2021-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d56e7ea459e59e69587d450c72737165d56e7ea459e59e69587d450c7273716
10,ISN000010,222,232,2,InventorySerialNumber starter record 10,2020-01-11,2021-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58797c9ce43a5d9383fe15bf78536f9858797c9ce43a5d9383fe15bf78536f98
11,ISN000011,15,157,6,InventorySerialNumber starter record 11,2020-01-12,2021-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,286d4d7ca576560eb936c55cabff3de8286d4d7ca576560eb936c55cabff3de8
