FiscalPeriodKey,FiscalPeriodCode,FiscalQuarterKey,FiscalPeriodName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FP000001,67,Willow FiscalPeriod 1,1,1,2026-08-24T00:00:00.000
2,FP000002,25,Junction FiscalPeriod 2,1,1,2026-08-24T00:00:00.000
3,FP000003,39,Atlas FiscalPeriod 3,1,1,2026-08-24T00:00:00.000
4,FP000004,35,Meridian FiscalPeriod 4,1,1,2026-08-24T00:00:00.000
5,FP000005,11,Northstar FiscalPeriod 5,1,1,2026-08-24T00:00:00.000
6,FP000006,53,Evergreen FiscalPeriod 6,1,1,2026-08-24T00:00:00.000
7,FP000007,6,Atlas FiscalPeriod 7,1,1,2026-08-24T00:00:00.000
8,FP000008,30,Delta FiscalPeriod 8,1,1,2026-08-24T00:00:00.000
9,FP000009,59,Liberty FiscalPeriod 9,1,1,2026-08-24T00:00:00.000
10,FP000010,11,Delta FiscalPeriod 10,1,1,2026-08-24T00:00:00.000
11,FP000011,31,Keystone FiscalPeriod 11,1,1,2026-08-24T00:00:00.000
12,FP000012,6,Vertex FiscalPeriod 12,1,1,2026-08-24T00:00:00.000
13,FP000013,25,Harbor FiscalPeriod 13,1,1,2026-08-24T00:00:00.000
14,FP000014,73,Cedar FiscalPeriod 14,1,1,2026-08-24T00:00:00.000
15,FP000015,44,Summit FiscalPeriod 15,1,1,2026-08-24T00:00:00.000
16,FP000016,6,Zenith FiscalPeriod 16,1,1,2026-08-24T00:00:00.000
17,FP000017,40,Vertex FiscalPeriod 17,1,1,2026-08-24T00:00:00.000
18,FP000018,7,Forge FiscalPeriod 18,1,1,2026-08-24T00:00:00.000
19,FP000019,72,Delta FiscalPeriod 19,1,1,2026-08-24T00:00:00.000
20,FP000020,41,Northstar FiscalPeriod 20,1,1,2026-08-24T00:00:00.000
21,FP000021,25,Unity FiscalPeriod 21,1,1,2026-08-24T00:00:00.000
22,FP000022,6,Pioneer FiscalPeriod 22,1,1,2026-08-24T00:00:00.000
23,FP000023,69,Beacon FiscalPeriod 23,1,1,2026-08-24T00:00:00.000
24,FP000024,66,Unity FiscalPeriod 24,1,1,2026-08-24T00:00:00.000
25,FP000025,28,Orion FiscalPeriod 25,1,1,2026-08-24T00:00:00.000
26,FP000026,69,Zenith FiscalPeriod 26,1,1,2026-08-24T00:00:00.000
27,FP000027,73,Evergreen FiscalPeriod 27,1,1,2026-08-24T00:00:00.000
28,FP000028,42,Harbor FiscalPeriod 28,1,1,2026-08-24T00:00:00.000
29,FP000029,61,Zenith FiscalPeriod 29,1,1,2026-08-24T00:00:00.000
30,FP000030,52,Quartz FiscalPeriod 30,1,1,2026-08-24T00:00:00.000
31,FP000031,40,Vertex FiscalPeriod 31,1,1,2026-08-24T00:00:00.000
32,FP000032,70,Beacon FiscalPeriod 32,1,1,2026-08-24T00:00:00.000
33,FP000033,55,Quartz FiscalPeriod 33,1,1,2026-08-24T00:00:00.000
34,FP000034,13,Orion FiscalPeriod 34,1,1,2026-08-24T00:00:00.000
35,FP000035,76,Forge FiscalPeriod 35,1,1,2026-08-24T00:00:00.000
36,FP000036,38,Quartz FiscalPeriod 36,1,1,2026-08-24T00:00:00.000
37,FP000037,58,Forge FiscalPeriod 37,1,1,2026-08-24T00:00:00.000
38,FP000038,46,Riverton FiscalPeriod 38,1,1,2026-08-24T00:00:00.000
39,FP000039,50,Summit FiscalPeriod 39,1,1,2026-08-24T00:00:00.000
40,FP000040,73,Granite FiscalPeriod 40,1,1,2026-08-24T00:00:00.000
41,FP000041,30,Meridian FiscalPeriod 41,1,1,2026-08-24T00:00:00.000
42,FP000042,31,Delta FiscalPeriod 42,1,1,2026-08-24T00:00:00.000
43,FP000043,9,Northstar FiscalPeriod 43,1,1,2026-08-24T00:00:00.000
44,FP000044,54,Delta FiscalPeriod 44,1,1,2026-08-24T00:00:00.000
45,FP000045,62,Titan FiscalPeriod 45,1,1,2026-08-24T00:00:00.000
46,FP000046,14,Orion FiscalPeriod 46,1,1,2026-08-24T00:00:00.000
47,FP000047,10,Summit FiscalPeriod 47,1,1,2026-08-24T00:00:00.000
48,FP000048,51,Harbor FiscalPeriod 48,1,1,2026-08-24T00:00:00.000
49,FP000049,13,Pioneer FiscalPeriod 49,1,1,2026-08-24T00:00:00.000
50,FP000050,11,Forge FiscalPeriod 50,1,1,2026-08-24T00:00:00.000
51,FP000051,28,Willow FiscalPeriod 51,1,1,2026-08-24T00:00:00.000
52,FP000052,61,Meridian FiscalPeriod 52,1,1,2026-08-24T00:00:00.000
53,FP000053,57,Zenith FiscalPeriod 53,1,1,2026-08-24T00:00:00.000
54,FP000054,66,Forge FiscalPeriod 54,1,1,2026-08-24T00:00:00.000
55,FP000055,43,Delta FiscalPeriod 55,1,1,2026-08-24T00:00:00.000
56,FP000056,12,Forge FiscalPeriod 56,1,1,2026-08-24T00:00:00.000
57,FP000057,22,Willow FiscalPeriod 57,1,1,2026-08-24T00:00:00.000
58,FP000058,18,Atlas FiscalPeriod 58,1,1,2026-08-24T00:00:00.000
59,FP000059,44,Unity FiscalPeriod 59,1,1,2026-08-24T00:00:00.000
60,FP000060,4,Northstar FiscalPeriod 60,1,1,2026-08-24T00:00:00.000
61,FP000061,54,Titan FiscalPeriod 61,1,1,2026-08-24T00:00:00.000
62,FP000062,69,Vertex FiscalPeriod 62,1,1,2026-08-24T00:00:00.000
63,FP000063,38,Liberty FiscalPeriod 63,1,1,2026-08-24T00:00:00.000
64,FP000064,51,Unity FiscalPeriod 64,1,1,2026-08-24T00:00:00.000
65,FP000065,65,Evergreen FiscalPeriod 65,1,1,2026-08-24T00:00:00.000
66,FP000066,20,Cedar FiscalPeriod 66,1,1,2026-08-24T00:00:00.000
67,FP000067,58,Vertex FiscalPeriod 67,1,1,2026-08-24T00:00:00.000
68,FP000068,20,Ion FiscalPeriod 68,1,1,2026-08-24T00:00:00.000
69,FP000069,67,Junction FiscalPeriod 69,1,1,2026-08-24T00:00:00.000
70,FP000070,53,Unity FiscalPeriod 70,1,1,2026-08-24T00:00:00.000
71,FP000071,78,Meridian FiscalPeriod 71,1,1,2026-08-24T00:00:00.000
72,FP000072,25,Vertex FiscalPeriod 72,1,1,2026-08-24T00:00:00.000
73,FP000073,26,Ion FiscalPeriod 73,1,1,2026-08-24T00:00:00.000
74,FP000074,67,Delta FiscalPeriod 74,1,1,2026-08-24T00:00:00.000
75,FP000075,78,Junction FiscalPeriod 75,1,1,2026-08-24T00:00:00.000
76,FP000076,33,Riverton FiscalPeriod 76,1,1,2026-08-24T00:00:00.000
77,FP000077,65,Atlas FiscalPeriod 77,1,1,2026-08-24T00:00:00.000
78,FP000078,17,Quartz FiscalPeriod 78,1,1,2026-08-24T00:00:00.000
79,FP000079,71,Evergreen FiscalPeriod 79,1,1,2026-08-24T00:00:00.000
80,FP000080,4,Beacon FiscalPeriod 80,1,1,2026-08-24T00:00:00.000
81,FP000081,14,Quartz FiscalPeriod 81,1,1,2026-08-24T00:00:00.000
82,FP000082,35,Cedar FiscalPeriod 82,1,1,2026-08-24T00:00:00.000
83,FP000083,26,Cedar FiscalPeriod 83,1,1,2026-08-24T00:00:00.000
84,FP000084,34,Beacon FiscalPeriod 84,1,1,2026-08-24T00:00:00.000
85,FP000085,64,Zenith FiscalPeriod 85,1,1,2026-08-24T00:00:00.000
86,FP000086,62,Titan FiscalPeriod 86,1,1,2026-08-24T00:00:00.000
87,FP000087,26,Willow FiscalPeriod 87,1,1,2026-08-24T00:00:00.000
88,FP000088,45,Atlas FiscalPeriod 88,1,1,2026-08-24T00:00:00.000
89,FP000089,69,Granite FiscalPeriod 89,1,1,2026-08-24T00:00:00.000
90,FP000090,10,Atlas FiscalPeriod 90,1,1,2026-08-24T00:00:00.000
91,FP000091,63,Delta FiscalPeriod 91,1,1,2026-08-24T00:00:00.000
92,FP000092,69,Willow FiscalPeriod 92,1,1,2026-08-24T00:00:00.000
93,FP000093,72,Ion FiscalPeriod 93,1,1,2026-08-24T00:00:00.000
94,FP000094,74,Willow FiscalPeriod 94,1,1,2026-08-24T00:00:00.000
95,FP000095,7,Quartz FiscalPeriod 95,1,1,2026-08-24T00:00:00.000
96,FP000096,1,Summit FiscalPeriod 96,1,1,2026-08-24T00:00:00.000
97,FP000097,27,Quartz FiscalPeriod 97,1,1,2026-08-24T00:00:00.000
98,FP000098,57,Delta FiscalPeriod 98,1,1,2026-08-24T00:00:00.000
99,FP000099,73,Atlas FiscalPeriod 99,1,1,2026-08-24T00:00:00.000
