EnergyUtilityAccountKey,UtilityAccountNumber,PlantKey,UtilityProviderSupplierKey,CostCenterKey,EnergyUtilityAccountStatusKey,CurrencyKey,UtilityAccountName,BillingCycleCode,IsInternalAccount,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,EUA000001,289,211,453,6,2,Zenith EnergyUtilityAccount 1,EUA000001,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11af0f568ded55419d4007298b52988111af0f568ded55419d4007298b529881
2,EUA000002,160,371,427,5,3,Harbor EnergyUtilityAccount 2,EUA000002,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3708dcb28b105d1898ca9036d71b81793708dcb28b105d1898ca9036d71b8179
3,EUA000003,189,194,105,1,3,Riverton EnergyUtilityAccount 3,EUA000003,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fb2b73e9b2758a598cfae87720c0a1e2fb2b73e9b2758a598cfae87720c0a1e
4,EUA000004,35,382,497,2,1,Delta EnergyUtilityAccount 4,EUA000004,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be4318540f485ab5b54e71022c6f87cebe4318540f485ab5b54e71022c6f87ce
5,EUA000005,42,292,295,6,4,Forge EnergyUtilityAccount 5,EUA000005,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,980237820426557483b8ca6ab38d5746980237820426557483b8ca6ab38d5746
6,EUA000006,190,177,229,4,4,Liberty EnergyUtilityAccount 6,EUA000006,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d9fb25cec355ead884eede0c17c5c181d9fb25cec355ead884eede0c17c5c18
7,EUA000007,247,32,175,6,4,Granite EnergyUtilityAccount 7,EUA000007,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2086dd1ab8b351ad99439dee60cbf8e72086dd1ab8b351ad99439dee60cbf8e7
8,EUA000008,74,177,319,6,2,Cedar EnergyUtilityAccount 8,EUA000008,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4be15463182a5b48b8f4e009485f2c734be15463182a5b48b8f4e009485f2c73
9,EUA000009,266,455,479,2,3,Riverton EnergyUtilityAccount 9,EUA000009,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3164fb2689f5ebb96d322523b3906f3c3164fb2689f5ebb96d322523b3906f3
10,EUA000010,29,399,378,3,4,Vertex EnergyUtilityAccount 10,EUA000010,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b51e0fa6fb85aa49a5550f3d8e577dc2b51e0fa6fb85aa49a5550f3d8e577dc
11,EUA000011,113,334,282,6,5,Titan EnergyUtilityAccount 11,EUA000011,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d571bea32ce3588bb6bb6132ccd255cad571bea32ce3588bb6bb6132ccd255ca
12,EUA000012,173,41,18,5,1,Pioneer EnergyUtilityAccount 12,EUA000012,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a723d25709d5d2ea4f1030d3af888a79a723d25709d5d2ea4f1030d3af888a7
13,EUA000013,335,122,192,2,1,Zenith EnergyUtilityAccount 13,EUA000013,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c950c42ad7b15df796162f88d75f9f55c950c42ad7b15df796162f88d75f9f55
14,EUA000014,217,204,360,2,1,Zenith EnergyUtilityAccount 14,EUA000014,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2d2b674966a5bf0a745e3e31239bb39c2d2b674966a5bf0a745e3e31239bb39
15,EUA000015,75,123,78,4,2,Evergreen EnergyUtilityAccount 15,EUA000015,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5f5fdbd7e8258099e4647c422b874b7d5f5fdbd7e8258099e4647c422b874b7
16,EUA000016,85,324,20,1,5,Willow EnergyUtilityAccount 16,EUA000016,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ab228f64bb750c48c7212aa4347b7b58ab228f64bb750c48c7212aa4347b7b5
17,EUA000017,159,-1,-1,3,5,Ion EnergyUtilityAccount 17,EUA000017,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de3750ca3cf2597ca40a97a2857d44fede3750ca3cf2597ca40a97a2857d44fe
18,EUA000018,266,97,188,6,1,Northstar EnergyUtilityAccount 18,EUA000018,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a85adefe989500cac51489f07fed0e87a85adefe989500cac51489f07fed0e8
19,EUA000019,170,399,180,6,2,Ion EnergyUtilityAccount 19,EUA000019,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,868911570c3d5392936f988f187ac259868911570c3d5392936f988f187ac259
20,EUA000020,330,397,395,3,2,Cedar EnergyUtilityAccount 20,EUA000020,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd48da53eb925a11818c67e93c5b784fcd48da53eb925a11818c67e93c5b784f
21,EUA000021,56,87,188,6,4,Northstar EnergyUtilityAccount 21,EUA000021,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5975319563855dd89fa858508e0b774f5975319563855dd89fa858508e0b774
22,EUA000022,272,7,216,6,2,Vertex EnergyUtilityAccount 22,EUA000022,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72bea47bf50d5f68a8d5aea79f23daff72bea47bf50d5f68a8d5aea79f23daff
23,EUA000023,328,278,449,3,1,Forge EnergyUtilityAccount 23,EUA000023,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95bb5ba3c9ec52568334c60ef226199695bb5ba3c9ec52568334c60ef2261996
24,EUA000024,205,153,11,3,1,Harbor EnergyUtilityAccount 24,EUA000024,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91643f47e35d53a69ddd20fc88bb9c8391643f47e35d53a69ddd20fc88bb9c83
