InventoryContainerKey,ContainerNumber,InventoryStorageProfileKey,UnitOfMeasureKey,ContainerName,TareWeightKg,CapacityQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000
1,IC000001,62,1,Willow InventoryContainer 1,2.0000,0.8000,1,1,2026-08-24T00:00:00.000
2,IC000002,480,4,Cedar InventoryContainer 2,3.0000,1.5000,1,1,2026-08-24T00:00:00.000
3,IC000003,172,7,Willow InventoryContainer 3,4.0000,2.2000,1,1,2026-08-24T00:00:00.000
4,IC000004,135,6,Granite InventoryContainer 4,5.0000,2.9000,1,1,2026-08-24T00:00:00.000
5,IC000005,170,4,Pioneer InventoryContainer 5,6.0000,3.6000,1,1,2026-08-24T00:00:00.000
6,IC000006,494,3,Granite InventoryContainer 6,7.0000,4.3000,1,1,2026-08-24T00:00:00.000
7,IC000007,145,1,Vertex InventoryContainer 7,8.0000,5.0000,1,1,2026-08-24T00:00:00.000
8,IC000008,442,5,Northstar InventoryContainer 8,9.0000,5.7000,1,1,2026-08-24T00:00:00.000
9,IC000009,496,1,Granite InventoryContainer 9,10.0000,6.4000,1,1,2026-08-24T00:00:00.000
10,IC000010,121,2,Granite InventoryContainer 10,11.0000,7.1000,1,1,2026-08-24T00:00:00.000
11,IC000011,85,3,Vertex InventoryContainer 11,12.0000,7.8000,1,1,2026-08-24T00:00:00.000
12,IC000012,226,1,Northstar InventoryContainer 12,13.0000,8.5000,1,1,2026-08-24T00:00:00.000
13,IC000013,422,2,Meridian InventoryContainer 13,14.0000,9.2000,1,1,2026-08-24T00:00:00.000
14,IC000014,221,1,Zenith InventoryContainer 14,15.0000,9.9000,1,1,2026-08-24T00:00:00.000
15,IC000015,482,3,Willow InventoryContainer 15,16.0000,10.6000,1,1,2026-08-24T00:00:00.000
16,IC000016,496,1,Riverton InventoryContainer 16,17.0000,11.3000,1,1,2026-08-24T00:00:00.000
17,IC000017,299,2,Titan InventoryContainer 17,18.0000,12.0000,1,1,2026-08-24T00:00:00.000
18,IC000018,273,2,Evergreen InventoryContainer 18,19.0000,12.7000,1,1,2026-08-24T00:00:00.000
19,IC000019,261,6,Willow InventoryContainer 19,20.0000,13.4000,1,1,2026-08-24T00:00:00.000
20,IC000020,437,2,Summit InventoryContainer 20,21.0000,14.1000,1,1,2026-08-24T00:00:00.000
21,IC000021,174,5,Unity InventoryContainer 21,22.0000,14.8000,1,1,2026-08-24T00:00:00.000
22,IC000022,93,5,Liberty InventoryContainer 22,23.0000,15.5000,1,1,2026-08-24T00:00:00.000
23,IC000023,472,1,Vertex InventoryContainer 23,24.0000,16.2000,1,1,2026-08-24T00:00:00.000
24,IC000024,398,5,Beacon InventoryContainer 24,25.0000,16.9000,1,1,2026-08-24T00:00:00.000
25,IC000025,67,1,Beacon InventoryContainer 25,26.0000,17.6000,1,1,2026-08-24T00:00:00.000
26,IC000026,370,4,Unity InventoryContainer 26,27.0000,18.3000,1,1,2026-08-24T00:00:00.000
27,IC000027,395,2,Quartz InventoryContainer 27,28.0000,19.0000,1,1,2026-08-24T00:00:00.000
28,IC000028,350,2,Northstar InventoryContainer 28,29.0000,19.7000,1,1,2026-08-24T00:00:00.000
29,IC000029,434,7,Evergreen InventoryContainer 29,30.0000,20.4000,1,1,2026-08-24T00:00:00.000
30,IC000030,337,3,Liberty InventoryContainer 30,31.0000,21.1000,1,1,2026-08-24T00:00:00.000
31,IC000031,130,1,Meridian InventoryContainer 31,32.0000,21.8000,1,1,2026-08-24T00:00:00.000
32,IC000032,6,5,Willow InventoryContainer 32,33.0000,22.5000,1,1,2026-08-24T00:00:00.000
33,IC000033,473,7,Unity InventoryContainer 33,34.0000,23.2000,1,1,2026-08-24T00:00:00.000
34,IC000034,385,7,Delta InventoryContainer 34,35.0000,23.9000,1,1,2026-08-24T00:00:00.000
35,IC000035,349,4,Quartz InventoryContainer 35,36.0000,24.6000,1,1,2026-08-24T00:00:00.000
36,IC000036,469,5,Granite InventoryContainer 36,37.0000,25.3000,1,1,2026-08-24T00:00:00.000
37,IC000037,461,5,Orion InventoryContainer 37,38.0000,26.0000,1,1,2026-08-24T00:00:00.000
38,IC000038,79,1,Ion InventoryContainer 38,39.0000,26.7000,1,1,2026-08-24T00:00:00.000
39,IC000039,131,7,Vertex InventoryContainer 39,40.0000,27.4000,1,1,2026-08-24T00:00:00.000
40,IC000040,445,4,Quartz InventoryContainer 40,41.0000,28.1000,1,1,2026-08-24T00:00:00.000
41,IC000041,23,4,Quartz InventoryContainer 41,42.0000,28.8000,1,1,2026-08-24T00:00:00.000
42,IC000042,195,2,Orion InventoryContainer 42,43.0000,29.5000,1,1,2026-08-24T00:00:00.000
43,IC000043,112,7,Quartz InventoryContainer 43,44.0000,30.2000,1,1,2026-08-24T00:00:00.000
44,IC000044,13,4,Meridian InventoryContainer 44,45.0000,30.9000,1,1,2026-08-24T00:00:00.000
45,IC000045,97,2,Northstar InventoryContainer 45,46.0000,31.6000,1,1,2026-08-24T00:00:00.000
46,IC000046,416,5,Orion InventoryContainer 46,47.0000,32.3000,1,1,2026-08-24T00:00:00.000
47,IC000047,370,1,Atlas InventoryContainer 47,48.0000,33.0000,1,1,2026-08-24T00:00:00.000
48,IC000048,295,4,Zenith InventoryContainer 48,49.0000,33.7000,1,1,2026-08-24T00:00:00.000
49,IC000049,343,7,Quartz InventoryContainer 49,50.0000,34.4000,1,1,2026-08-24T00:00:00.000
50,IC000050,414,5,Quartz InventoryContainer 50,51.0000,35.1000,1,1,2026-08-24T00:00:00.000
51,IC000051,371,1,Atlas InventoryContainer 51,52.0000,35.8000,1,1,2026-08-24T00:00:00.000
52,IC000052,318,6,Vertex InventoryContainer 52,53.0000,36.5000,1,1,2026-08-24T00:00:00.000
53,IC000053,424,1,Unity InventoryContainer 53,54.0000,37.2000,1,1,2026-08-24T00:00:00.000
54,IC000054,186,4,Beacon InventoryContainer 54,55.0000,37.9000,1,1,2026-08-24T00:00:00.000
55,IC000055,170,5,Northstar InventoryContainer 55,56.0000,38.6000,1,1,2026-08-24T00:00:00.000
56,IC000056,306,2,Evergreen InventoryContainer 56,57.0000,39.3000,1,1,2026-08-24T00:00:00.000
57,IC000057,115,4,Quartz InventoryContainer 57,58.0000,40.0000,1,1,2026-08-24T00:00:00.000
58,IC000058,27,5,Harbor InventoryContainer 58,59.0000,40.7000,1,1,2026-08-24T00:00:00.000
59,IC000059,181,3,Meridian InventoryContainer 59,60.0000,41.4000,1,1,2026-08-24T00:00:00.000
60,IC000060,15,3,Summit InventoryContainer 60,61.0000,42.1000,1,1,2026-08-24T00:00:00.000
61,IC000061,168,5,Harbor InventoryContainer 61,62.0000,42.8000,1,1,2026-08-24T00:00:00.000
62,IC000062,168,5,Harbor InventoryContainer 62,63.0000,43.5000,1,1,2026-08-24T00:00:00.000
63,IC000063,172,2,Meridian InventoryContainer 63,64.0000,44.2000,1,1,2026-08-24T00:00:00.000
64,IC000064,292,3,Evergreen InventoryContainer 64,65.0000,44.9000,1,1,2026-08-24T00:00:00.000
65,IC000065,414,6,Quartz InventoryContainer 65,66.0000,45.6000,1,1,2026-08-24T00:00:00.000
66,IC000066,345,6,Beacon InventoryContainer 66,67.0000,46.3000,1,1,2026-08-24T00:00:00.000
67,IC000067,486,2,Delta InventoryContainer 67,68.0000,47.0000,1,1,2026-08-24T00:00:00.000
68,IC000068,32,6,Willow InventoryContainer 68,69.0000,47.7000,1,1,2026-08-24T00:00:00.000
69,IC000069,15,7,Liberty InventoryContainer 69,70.0000,48.4000,1,1,2026-08-24T00:00:00.000
70,IC000070,295,1,Quartz InventoryContainer 70,71.0000,49.1000,1,1,2026-08-24T00:00:00.000
71,IC000071,252,5,Forge InventoryContainer 71,72.0000,49.8000,1,1,2026-08-24T00:00:00.000
72,IC000072,415,7,Delta InventoryContainer 72,73.0000,50.5000,1,1,2026-08-24T00:00:00.000
73,IC000073,142,3,Vertex InventoryContainer 73,74.0000,51.2000,1,1,2026-08-24T00:00:00.000
74,IC000074,417,7,Willow InventoryContainer 74,75.0000,51.9000,1,1,2026-08-24T00:00:00.000
75,IC000075,103,3,Ion InventoryContainer 75,76.0000,52.6000,1,1,2026-08-24T00:00:00.000
76,IC000076,437,7,Orion InventoryContainer 76,77.0000,53.3000,1,1,2026-08-24T00:00:00.000
77,IC000077,340,4,Pioneer InventoryContainer 77,78.0000,54.0000,1,1,2026-08-24T00:00:00.000
78,IC000078,276,2,Willow InventoryContainer 78,79.0000,54.7000,1,1,2026-08-24T00:00:00.000
79,IC000079,456,7,Cedar InventoryContainer 79,80.0000,55.4000,1,1,2026-08-24T00:00:00.000
80,IC000080,221,5,Orion InventoryContainer 80,81.0000,56.1000,1,1,2026-08-24T00:00:00.000
81,IC000081,360,6,Northstar InventoryContainer 81,82.0000,56.8000,1,1,2026-08-24T00:00:00.000
82,IC000082,46,3,Beacon InventoryContainer 82,83.0000,57.5000,1,1,2026-08-24T00:00:00.000
83,IC000083,340,7,Ion InventoryContainer 83,84.0000,58.2000,1,1,2026-08-24T00:00:00.000
84,IC000084,296,4,Delta InventoryContainer 84,85.0000,58.9000,1,1,2026-08-24T00:00:00.000
85,IC000085,396,1,Titan InventoryContainer 85,86.0000,59.6000,1,1,2026-08-24T00:00:00.000
86,IC000086,289,3,Unity InventoryContainer 86,87.0000,60.3000,1,1,2026-08-24T00:00:00.000
87,IC000087,166,2,Titan InventoryContainer 87,88.0000,61.0000,1,1,2026-08-24T00:00:00.000
88,IC000088,430,1,Meridian InventoryContainer 88,89.0000,61.7000,1,1,2026-08-24T00:00:00.000
89,IC000089,363,3,Vertex InventoryContainer 89,90.0000,62.4000,1,1,2026-08-24T00:00:00.000
90,IC000090,98,4,Summit InventoryContainer 90,91.0000,63.1000,1,1,2026-08-24T00:00:00.000
91,IC000091,93,6,Liberty InventoryContainer 91,92.0000,63.8000,1,1,2026-08-24T00:00:00.000
92,IC000092,393,5,Keystone InventoryContainer 92,93.0000,64.5000,1,1,2026-08-24T00:00:00.000
93,IC000093,25,4,Keystone InventoryContainer 93,94.0000,65.2000,1,1,2026-08-24T00:00:00.000
94,IC000094,475,1,Harbor InventoryContainer 94,95.0000,65.9000,1,1,2026-08-24T00:00:00.000
95,IC000095,416,3,Ion InventoryContainer 95,96.0000,66.6000,1,1,2026-08-24T00:00:00.000
96,IC000096,340,1,Titan InventoryContainer 96,97.0000,67.3000,1,1,2026-08-24T00:00:00.000
97,IC000097,199,2,Keystone InventoryContainer 97,98.0000,68.0000,1,1,2026-08-24T00:00:00.000
98,IC000098,370,3,Orion InventoryContainer 98,99.0000,68.7000,1,1,2026-08-24T00:00:00.000
99,IC000099,218,7,Granite InventoryContainer 99,100.0000,69.4000,1,1,2026-08-24T00:00:00.000
100,IC000100,97,2,Meridian InventoryContainer 100,101.0000,70.1000,1,1,2026-08-24T00:00:00.000
101,IC000101,111,5,Summit InventoryContainer 101,102.0000,70.8000,1,1,2026-08-24T00:00:00.000
102,IC000102,254,3,Riverton InventoryContainer 102,103.0000,71.5000,1,1,2026-08-24T00:00:00.000
103,IC000103,279,3,Cedar InventoryContainer 103,104.0000,72.2000,1,1,2026-08-24T00:00:00.000
104,IC000104,222,1,Evergreen InventoryContainer 104,105.0000,72.9000,1,1,2026-08-24T00:00:00.000
105,IC000105,414,6,Forge InventoryContainer 105,106.0000,73.6000,1,1,2026-08-24T00:00:00.000
106,IC000106,478,6,Meridian InventoryContainer 106,107.0000,74.3000,1,1,2026-08-24T00:00:00.000
107,IC000107,452,3,Orion InventoryContainer 107,108.0000,75.0000,1,1,2026-08-24T00:00:00.000
108,IC000108,492,2,Harbor InventoryContainer 108,109.0000,75.7000,1,1,2026-08-24T00:00:00.000
109,IC000109,430,3,Orion InventoryContainer 109,110.0000,76.4000,1,1,2026-08-24T00:00:00.000
110,IC000110,494,7,Titan InventoryContainer 110,111.0000,77.1000,1,1,2026-08-24T00:00:00.000
111,IC000111,59,4,Titan InventoryContainer 111,112.0000,77.8000,1,1,2026-08-24T00:00:00.000
112,IC000112,368,3,Orion InventoryContainer 112,113.0000,78.5000,1,1,2026-08-24T00:00:00.000
113,IC000113,275,3,Northstar InventoryContainer 113,114.0000,79.2000,1,1,2026-08-24T00:00:00.000
114,IC000114,241,3,Summit InventoryContainer 114,115.0000,79.9000,1,1,2026-08-24T00:00:00.000
115,IC000115,137,4,Quartz InventoryContainer 115,116.0000,80.6000,1,1,2026-08-24T00:00:00.000
116,IC000116,274,2,Beacon InventoryContainer 116,117.0000,81.3000,1,1,2026-08-24T00:00:00.000
117,IC000117,406,1,Ion InventoryContainer 117,118.0000,82.0000,1,1,2026-08-24T00:00:00.000
118,IC000118,317,5,Beacon InventoryContainer 118,119.0000,82.7000,1,1,2026-08-24T00:00:00.000
119,IC000119,304,4,Junction InventoryContainer 119,120.0000,83.4000,1,1,2026-08-24T00:00:00.000
120,IC000120,129,7,Pioneer InventoryContainer 120,121.0000,84.1000,1,1,2026-08-24T00:00:00.000
121,IC000121,120,1,Junction InventoryContainer 121,122.0000,84.8000,1,1,2026-08-24T00:00:00.000
122,IC000122,416,5,Atlas InventoryContainer 122,123.0000,85.5000,1,1,2026-08-24T00:00:00.000
123,IC000123,326,3,Riverton InventoryContainer 123,124.0000,86.2000,1,1,2026-08-24T00:00:00.000
124,IC000124,97,6,Orion InventoryContainer 124,125.0000,86.9000,1,1,2026-08-24T00:00:00.000
125,IC000125,341,1,Willow InventoryContainer 125,126.0000,87.6000,1,1,2026-08-24T00:00:00.000
126,IC000126,465,6,Vertex InventoryContainer 126,127.0000,88.3000,1,1,2026-08-24T00:00:00.000
127,IC000127,404,4,Quartz InventoryContainer 127,128.0000,89.0000,1,1,2026-08-24T00:00:00.000
128,IC000128,423,6,Junction InventoryContainer 128,129.0000,89.7000,1,1,2026-08-24T00:00:00.000
129,IC000129,38,3,Pioneer InventoryContainer 129,130.0000,90.4000,1,1,2026-08-24T00:00:00.000
