EnergyMeterPointKey,MeterPointNumber,PlantKey,SiteKey,EnergyMeterPointClassKey,EnergySubmeterZoneKey,EnergySourceKey,UnitOfMeasureKey,MeterPointName,MeterSerialNumber,MultiplierValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0.000000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,EMP000001,338,480,356,239,7,5,Zenith EnergyMeterPoint 1,EMP000001,11.370000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2aea1e39f8cc5f91aae45497a65bd1522aea1e39f8cc5f91aae45497a65bd152
2,EMP000002,154,461,63,110,13,1,Northstar EnergyMeterPoint 2,EMP000002,12.740000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da4e1343c7b759d783820878284a9fc5da4e1343c7b759d783820878284a9fc5
3,EMP000003,162,320,205,195,10,3,Beacon EnergyMeterPoint 3,EMP000003,14.110000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f22a9724d855e3c86b891c505541b790f22a9724d855e3c86b891c505541b79
4,EMP000004,46,196,335,395,16,1,Delta EnergyMeterPoint 4,EMP000004,15.480000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfebff69a5c65d96a3cbb3d622cb83fbdfebff69a5c65d96a3cbb3d622cb83fb
5,EMP000005,62,385,423,404,2,1,Willow EnergyMeterPoint 5,EMP000005,16.850000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d4d812f12a35849ac97f5f9f07af35e5d4d812f12a35849ac97f5f9f07af35e
6,EMP000006,259,398,374,15,16,3,Quartz EnergyMeterPoint 6,EMP000006,18.220000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,793be773e28a515f9d08f139088e895b793be773e28a515f9d08f139088e895b
7,EMP000007,326,405,396,319,9,4,Willow EnergyMeterPoint 7,EMP000007,19.590000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0191a274423c5563a731fbbf26cfc6d20191a274423c5563a731fbbf26cfc6d2
8,EMP000008,275,412,396,165,10,1,Granite EnergyMeterPoint 8,EMP000008,20.960000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbf2e9c47eb15d9fbc6d72ef7b719ed1cbf2e9c47eb15d9fbc6d72ef7b719ed1
9,EMP000009,296,10,491,391,1,3,Northstar EnergyMeterPoint 9,EMP000009,22.330000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9afbb61dec185708b8aec39a56a860e99afbb61dec185708b8aec39a56a860e9
10,EMP000010,184,252,74,171,10,4,Beacon EnergyMeterPoint 10,EMP000010,23.700000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f42313efb8df5a35810b136dee5331a7f42313efb8df5a35810b136dee5331a7
11,EMP000011,152,322,198,3,2,7,Riverton EnergyMeterPoint 11,EMP000011,25.070000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85275a4d535f576496e2f24aafed785a85275a4d535f576496e2f24aafed785a
12,EMP000012,338,166,239,336,1,2,Pioneer EnergyMeterPoint 12,EMP000012,26.440000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3476bf2cb67b5a6392f64bf8f3d0204a3476bf2cb67b5a6392f64bf8f3d0204a
13,EMP000013,63,266,363,27,8,5,Harbor EnergyMeterPoint 13,EMP000013,27.810000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfe57681c5145d508bef200be61b5cdadfe57681c5145d508bef200be61b5cda
