QualityInspectionPlanKey,InspectionPlanNumber,ProductKey,SupplierKey,QualityMethodProcedureKey,QualityInspectionTypeKey,EngineeringLifecycleStatusKey,QualityInspectionPlanName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,QIP000001,217,348,234,10,9,Unity QualityInspectionPlan 1,QIP000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d32b978105cf5e01ba7624b0df110a08d32b978105cf5e01ba7624b0df110a08
2,QIP000002,479,268,69,2,10,Riverton QualityInspectionPlan 2,QIP000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4e417cfa1b45c4187b84530256c06bae4e417cfa1b45c4187b84530256c06ba
3,QIP000003,441,238,42,4,6,Northstar QualityInspectionPlan 3,QIP000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8dc16f29bbe0550bbb23eebcd5495fbb8dc16f29bbe0550bbb23eebcd5495fbb
4,QIP000004,402,342,234,12,8,Harbor QualityInspectionPlan 4,QIP000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,104f8c62bed5536aa2a75667a74418e3104f8c62bed5536aa2a75667a74418e3
5,QIP000005,463,18,143,4,3,Quartz QualityInspectionPlan 5,QIP000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d722fc9451e752438c496809a96588eed722fc9451e752438c496809a96588ee
6,QIP000006,14,210,76,9,6,Orion QualityInspectionPlan 6,QIP000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45e19754cba55ca9b18c074cff45b46145e19754cba55ca9b18c074cff45b461
7,QIP000007,315,254,228,1,10,Unity QualityInspectionPlan 7,QIP000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34151c6cf953577f918deb2dbf335ed534151c6cf953577f918deb2dbf335ed5
8,QIP000008,259,489,91,10,6,Evergreen QualityInspectionPlan 8,QIP000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a1598c3e93351c7ba09e03364bb37a52a1598c3e93351c7ba09e03364bb37a5
9,QIP000009,368,28,59,6,4,Quartz QualityInspectionPlan 9,QIP000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,107c9cbcbda55cd08a629ed6cbe3d2a2107c9cbcbda55cd08a629ed6cbe3d2a2
