SalesChannelSegmentKey,SalesChannelSegmentCode,SalesChannelKey,SalesChannelSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCS000001,21,Forge SalesChannelSegment 1,1,1,2026-08-24T00:00:00.000
2,SCS000002,112,Cedar SalesChannelSegment 2,1,1,2026-08-24T00:00:00.000
3,SCS000003,117,Cedar SalesChannelSegment 3,1,1,2026-08-24T00:00:00.000
4,SCS000004,107,Forge SalesChannelSegment 4,1,1,2026-08-24T00:00:00.000
5,SCS000005,38,Junction SalesChannelSegment 5,1,1,2026-08-24T00:00:00.000
6,SCS000006,77,Keystone SalesChannelSegment 6,1,1,2026-08-24T00:00:00.000
7,SCS000007,116,Harbor SalesChannelSegment 7,1,1,2026-08-24T00:00:00.000
8,SCS000008,90,Vertex SalesChannelSegment 8,1,1,2026-08-24T00:00:00.000
9,SCS000009,51,Orion SalesChannelSegment 9,1,1,2026-08-24T00:00:00.000
10,SCS000010,28,Keystone SalesChannelSegment 10,1,1,2026-08-24T00:00:00.000
11,SCS000011,17,Evergreen SalesChannelSegment 11,1,1,2026-08-24T00:00:00.000
12,SCS000012,11,Junction SalesChannelSegment 12,1,1,2026-08-24T00:00:00.000
13,SCS000013,63,Vertex SalesChannelSegment 13,1,1,2026-08-24T00:00:00.000
14,SCS000014,119,Titan SalesChannelSegment 14,1,1,2026-08-24T00:00:00.000
15,SCS000015,87,Titan SalesChannelSegment 15,1,1,2026-08-24T00:00:00.000
16,SCS000016,14,Meridian SalesChannelSegment 16,1,1,2026-08-24T00:00:00.000
17,SCS000017,82,Riverton SalesChannelSegment 17,1,1,2026-08-24T00:00:00.000
18,SCS000018,20,Keystone SalesChannelSegment 18,1,1,2026-08-24T00:00:00.000
19,SCS000019,84,Orion SalesChannelSegment 19,1,1,2026-08-24T00:00:00.000
20,SCS000020,119,Quartz SalesChannelSegment 20,1,1,2026-08-24T00:00:00.000
21,SCS000021,7,Cedar SalesChannelSegment 21,1,1,2026-08-24T00:00:00.000
22,SCS000022,61,Cedar SalesChannelSegment 22,1,1,2026-08-24T00:00:00.000
23,SCS000023,24,Junction SalesChannelSegment 23,1,1,2026-08-24T00:00:00.000
24,SCS000024,67,Meridian SalesChannelSegment 24,1,1,2026-08-24T00:00:00.000
25,SCS000025,33,Junction SalesChannelSegment 25,1,1,2026-08-24T00:00:00.000
26,SCS000026,85,Cedar SalesChannelSegment 26,1,1,2026-08-24T00:00:00.000
27,SCS000027,109,Keystone SalesChannelSegment 27,1,1,2026-08-24T00:00:00.000
28,SCS000028,3,Orion SalesChannelSegment 28,1,1,2026-08-24T00:00:00.000
29,SCS000029,75,Delta SalesChannelSegment 29,1,1,2026-08-24T00:00:00.000
30,SCS000030,37,Vertex SalesChannelSegment 30,1,1,2026-08-24T00:00:00.000
31,SCS000031,50,Pioneer SalesChannelSegment 31,1,1,2026-08-24T00:00:00.000
32,SCS000032,51,Zenith SalesChannelSegment 32,1,1,2026-08-24T00:00:00.000
33,SCS000033,68,Unity SalesChannelSegment 33,1,1,2026-08-24T00:00:00.000
34,SCS000034,107,Summit SalesChannelSegment 34,1,1,2026-08-24T00:00:00.000
35,SCS000035,96,Liberty SalesChannelSegment 35,1,1,2026-08-24T00:00:00.000
36,SCS000036,68,Granite SalesChannelSegment 36,1,1,2026-08-24T00:00:00.000
37,SCS000037,89,Summit SalesChannelSegment 37,1,1,2026-08-24T00:00:00.000
38,SCS000038,57,Junction SalesChannelSegment 38,1,1,2026-08-24T00:00:00.000
39,SCS000039,49,Forge SalesChannelSegment 39,1,1,2026-08-24T00:00:00.000
40,SCS000040,20,Zenith SalesChannelSegment 40,1,1,2026-08-24T00:00:00.000
41,SCS000041,27,Delta SalesChannelSegment 41,1,1,2026-08-24T00:00:00.000
42,SCS000042,108,Titan SalesChannelSegment 42,1,1,2026-08-24T00:00:00.000
43,SCS000043,118,Willow SalesChannelSegment 43,1,1,2026-08-24T00:00:00.000
44,SCS000044,62,Pioneer SalesChannelSegment 44,1,1,2026-08-24T00:00:00.000
45,SCS000045,108,Keystone SalesChannelSegment 45,1,1,2026-08-24T00:00:00.000
46,SCS000046,106,Delta SalesChannelSegment 46,1,1,2026-08-24T00:00:00.000
47,SCS000047,86,Keystone SalesChannelSegment 47,1,1,2026-08-24T00:00:00.000
48,SCS000048,5,Meridian SalesChannelSegment 48,1,1,2026-08-24T00:00:00.000
49,SCS000049,119,Keystone SalesChannelSegment 49,1,1,2026-08-24T00:00:00.000
50,SCS000050,43,Harbor SalesChannelSegment 50,1,1,2026-08-24T00:00:00.000
51,SCS000051,7,Liberty SalesChannelSegment 51,1,1,2026-08-24T00:00:00.000
52,SCS000052,59,Liberty SalesChannelSegment 52,1,1,2026-08-24T00:00:00.000
53,SCS000053,34,Riverton SalesChannelSegment 53,1,1,2026-08-24T00:00:00.000
54,SCS000054,37,Pioneer SalesChannelSegment 54,1,1,2026-08-24T00:00:00.000
