LaborCrewAreaKey,LaborCrewAreaCode,LaborCrewOrganizationKey,LaborCrewAreaName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LCA000001,11,Cedar LaborCrewArea 1,1,1,2026-08-24T00:00:00.000
2,LCA000002,12,Quartz LaborCrewArea 2,1,1,2026-08-24T00:00:00.000
3,LCA000003,19,Unity LaborCrewArea 3,1,1,2026-08-24T00:00:00.000
4,LCA000004,14,Riverton LaborCrewArea 4,1,1,2026-08-24T00:00:00.000
5,LCA000005,17,Quartz LaborCrewArea 5,1,1,2026-08-24T00:00:00.000
6,LCA000006,13,Atlas LaborCrewArea 6,1,1,2026-08-24T00:00:00.000
7,LCA000007,11,Summit LaborCrewArea 7,1,1,2026-08-24T00:00:00.000
8,LCA000008,16,Summit LaborCrewArea 8,1,1,2026-08-24T00:00:00.000
9,LCA000009,6,Riverton LaborCrewArea 9,1,1,2026-08-24T00:00:00.000
10,LCA000010,11,Orion LaborCrewArea 10,1,1,2026-08-24T00:00:00.000
11,LCA000011,3,Evergreen LaborCrewArea 11,1,1,2026-08-24T00:00:00.000
12,LCA000012,19,Vertex LaborCrewArea 12,1,1,2026-08-24T00:00:00.000
13,LCA000013,17,Cedar LaborCrewArea 13,1,1,2026-08-24T00:00:00.000
14,LCA000014,17,Summit LaborCrewArea 14,1,1,2026-08-24T00:00:00.000
15,LCA000015,19,Granite LaborCrewArea 15,1,1,2026-08-24T00:00:00.000
16,LCA000016,3,Granite LaborCrewArea 16,1,1,2026-08-24T00:00:00.000
17,LCA000017,13,Cedar LaborCrewArea 17,1,1,2026-08-24T00:00:00.000
18,LCA000018,15,Summit LaborCrewArea 18,1,1,2026-08-24T00:00:00.000
19,LCA000019,7,Titan LaborCrewArea 19,1,1,2026-08-24T00:00:00.000
20,LCA000020,1,Willow LaborCrewArea 20,1,1,2026-08-24T00:00:00.000
21,LCA000021,14,Vertex LaborCrewArea 21,1,1,2026-08-24T00:00:00.000
22,LCA000022,2,Northstar LaborCrewArea 22,1,1,2026-08-24T00:00:00.000
23,LCA000023,8,Keystone LaborCrewArea 23,1,1,2026-08-24T00:00:00.000
24,LCA000024,2,Junction LaborCrewArea 24,1,1,2026-08-24T00:00:00.000
25,LCA000025,1,Pioneer LaborCrewArea 25,1,1,2026-08-24T00:00:00.000
26,LCA000026,16,Meridian LaborCrewArea 26,1,1,2026-08-24T00:00:00.000
27,LCA000027,11,Titan LaborCrewArea 27,1,1,2026-08-24T00:00:00.000
28,LCA000028,14,Zenith LaborCrewArea 28,1,1,2026-08-24T00:00:00.000
29,LCA000029,6,Quartz LaborCrewArea 29,1,1,2026-08-24T00:00:00.000
30,LCA000030,4,Titan LaborCrewArea 30,1,1,2026-08-24T00:00:00.000
31,LCA000031,13,Northstar LaborCrewArea 31,1,1,2026-08-24T00:00:00.000
32,LCA000032,2,Summit LaborCrewArea 32,1,1,2026-08-24T00:00:00.000
33,LCA000033,10,Atlas LaborCrewArea 33,1,1,2026-08-24T00:00:00.000
34,LCA000034,14,Harbor LaborCrewArea 34,1,1,2026-08-24T00:00:00.000
35,LCA000035,2,Atlas LaborCrewArea 35,1,1,2026-08-24T00:00:00.000
36,LCA000036,17,Vertex LaborCrewArea 36,1,1,2026-08-24T00:00:00.000
37,LCA000037,17,Titan LaborCrewArea 37,1,1,2026-08-24T00:00:00.000
38,LCA000038,13,Harbor LaborCrewArea 38,1,1,2026-08-24T00:00:00.000
39,LCA000039,10,Atlas LaborCrewArea 39,1,1,2026-08-24T00:00:00.000
40,LCA000040,8,Cedar LaborCrewArea 40,1,1,2026-08-24T00:00:00.000
41,LCA000041,1,Liberty LaborCrewArea 41,1,1,2026-08-24T00:00:00.000
42,LCA000042,8,Riverton LaborCrewArea 42,1,1,2026-08-24T00:00:00.000
43,LCA000043,14,Delta LaborCrewArea 43,1,1,2026-08-24T00:00:00.000
44,LCA000044,15,Summit LaborCrewArea 44,1,1,2026-08-24T00:00:00.000
45,LCA000045,19,Summit LaborCrewArea 45,1,1,2026-08-24T00:00:00.000
46,LCA000046,10,Atlas LaborCrewArea 46,1,1,2026-08-24T00:00:00.000
47,LCA000047,5,Delta LaborCrewArea 47,1,1,2026-08-24T00:00:00.000
48,LCA000048,17,Liberty LaborCrewArea 48,1,1,2026-08-24T00:00:00.000
49,LCA000049,14,Willow LaborCrewArea 49,1,1,2026-08-24T00:00:00.000
50,LCA000050,14,Harbor LaborCrewArea 50,1,1,2026-08-24T00:00:00.000
51,LCA000051,1,Forge LaborCrewArea 51,1,1,2026-08-24T00:00:00.000
52,LCA000052,12,Beacon LaborCrewArea 52,1,1,2026-08-24T00:00:00.000
53,LCA000053,17,Granite LaborCrewArea 53,1,1,2026-08-24T00:00:00.000
54,LCA000054,16,Willow LaborCrewArea 54,1,1,2026-08-24T00:00:00.000
55,LCA000055,1,Summit LaborCrewArea 55,1,1,2026-08-24T00:00:00.000
56,LCA000056,13,Quartz LaborCrewArea 56,1,1,2026-08-24T00:00:00.000
57,LCA000057,10,Zenith LaborCrewArea 57,1,1,2026-08-24T00:00:00.000
58,LCA000058,6,Quartz LaborCrewArea 58,1,1,2026-08-24T00:00:00.000
59,LCA000059,3,Northstar LaborCrewArea 59,1,1,2026-08-24T00:00:00.000
60,LCA000060,10,Beacon LaborCrewArea 60,1,1,2026-08-24T00:00:00.000
