QualityCharacteristicTypeKey,QualityCharacteristicTypeCode,QualityCharacteristicGroupKey,QualityCharacteristicTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QCT000001,9,Harbor QualityCharacteristicType 1,1,1,2026-08-24T00:00:00.000
2,QCT000002,91,Vertex QualityCharacteristicType 2,1,1,2026-08-24T00:00:00.000
3,QCT000003,17,Meridian QualityCharacteristicType 3,1,1,2026-08-24T00:00:00.000
4,QCT000004,116,Unity QualityCharacteristicType 4,1,1,2026-08-24T00:00:00.000
5,QCT000005,259,Zenith QualityCharacteristicType 5,1,1,2026-08-24T00:00:00.000
6,QCT000006,225,Pioneer QualityCharacteristicType 6,1,1,2026-08-24T00:00:00.000
7,QCT000007,214,Meridian QualityCharacteristicType 7,1,1,2026-08-24T00:00:00.000
8,QCT000008,68,Cedar QualityCharacteristicType 8,1,1,2026-08-24T00:00:00.000
9,QCT000009,232,Vertex QualityCharacteristicType 9,1,1,2026-08-24T00:00:00.000
10,QCT000010,259,Granite QualityCharacteristicType 10,1,1,2026-08-24T00:00:00.000
11,QCT000011,243,Northstar QualityCharacteristicType 11,1,1,2026-08-24T00:00:00.000
12,QCT000012,231,Forge QualityCharacteristicType 12,1,1,2026-08-24T00:00:00.000
13,QCT000013,228,Quartz QualityCharacteristicType 13,1,1,2026-08-24T00:00:00.000
14,QCT000014,172,Vertex QualityCharacteristicType 14,1,1,2026-08-24T00:00:00.000
15,QCT000015,112,Vertex QualityCharacteristicType 15,1,1,2026-08-24T00:00:00.000
16,QCT000016,150,Zenith QualityCharacteristicType 16,1,1,2026-08-24T00:00:00.000
17,QCT000017,155,Granite QualityCharacteristicType 17,1,1,2026-08-24T00:00:00.000
18,QCT000018,32,Junction QualityCharacteristicType 18,1,1,2026-08-24T00:00:00.000
19,QCT000019,199,Zenith QualityCharacteristicType 19,1,1,2026-08-24T00:00:00.000
20,QCT000020,53,Keystone QualityCharacteristicType 20,1,1,2026-08-24T00:00:00.000
21,QCT000021,35,Harbor QualityCharacteristicType 21,1,1,2026-08-24T00:00:00.000
22,QCT000022,226,Willow QualityCharacteristicType 22,1,1,2026-08-24T00:00:00.000
23,QCT000023,17,Forge QualityCharacteristicType 23,1,1,2026-08-24T00:00:00.000
24,QCT000024,210,Harbor QualityCharacteristicType 24,1,1,2026-08-24T00:00:00.000
25,QCT000025,23,Orion QualityCharacteristicType 25,1,1,2026-08-24T00:00:00.000
26,QCT000026,258,Summit QualityCharacteristicType 26,1,1,2026-08-24T00:00:00.000
