FiscalYearKey,FiscalYearCode,FiscalYearName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,FY000001,Harbor FiscalYear 1,1,1,2026-08-24T00:00:00.000
2,FY000002,Zenith FiscalYear 2,1,1,2026-08-24T00:00:00.000
3,FY000003,Junction FiscalYear 3,1,1,2026-08-24T00:00:00.000
4,FY000004,Forge FiscalYear 4,1,1,2026-08-24T00:00:00.000
5,FY000005,Granite FiscalYear 5,1,1,2026-08-24T00:00:00.000
6,FY000006,Northstar FiscalYear 6,1,1,2026-08-24T00:00:00.000
7,FY000007,Beacon FiscalYear 7,1,1,2026-08-24T00:00:00.000
8,FY000008,Riverton FiscalYear 8,1,1,2026-08-24T00:00:00.000
9,FY000009,Orion FiscalYear 9,1,1,2026-08-24T00:00:00.000
10,FY000010,Quartz FiscalYear 10,1,1,2026-08-24T00:00:00.000
11,FY000011,Willow FiscalYear 11,1,1,2026-08-24T00:00:00.000
12,FY000012,Cedar FiscalYear 12,1,1,2026-08-24T00:00:00.000
13,FY000013,Unity FiscalYear 13,1,1,2026-08-24T00:00:00.000
14,FY000014,Pioneer FiscalYear 14,1,1,2026-08-24T00:00:00.000
15,FY000015,Vertex FiscalYear 15,1,1,2026-08-24T00:00:00.000
16,FY000016,Beacon FiscalYear 16,1,1,2026-08-24T00:00:00.000
17,FY000017,Willow FiscalYear 17,1,1,2026-08-24T00:00:00.000
18,FY000018,Junction FiscalYear 18,1,1,2026-08-24T00:00:00.000
19,FY000019,Pioneer FiscalYear 19,1,1,2026-08-24T00:00:00.000
20,FY000020,Beacon FiscalYear 20,1,1,2026-08-24T00:00:00.000
