SafetyPermitTypeKey,PermitTypeCode,SafetyHazardCategoryKey,PermitTypeName,RequiresIsolation,RequiresGasTest,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,0,-1,0,1900-01-01T00:00:00.000
1,SPT000001,38,Beacon SafetyPermitType 1,1,1,1,1,2026-08-24T00:00:00.000
2,SPT000002,23,Orion SafetyPermitType 2,0,0,1,1,2026-08-24T00:00:00.000
3,SPT000003,57,Junction SafetyPermitType 3,1,1,1,1,2026-08-24T00:00:00.000
4,SPT000004,46,Keystone SafetyPermitType 4,0,0,1,1,2026-08-24T00:00:00.000
5,SPT000005,54,Delta SafetyPermitType 5,1,1,1,1,2026-08-24T00:00:00.000
6,SPT000006,47,Cedar SafetyPermitType 6,0,0,1,1,2026-08-24T00:00:00.000
7,SPT000007,32,Granite SafetyPermitType 7,1,1,1,1,2026-08-24T00:00:00.000
8,SPT000008,44,Beacon SafetyPermitType 8,0,0,1,1,2026-08-24T00:00:00.000
9,SPT000009,26,Harbor SafetyPermitType 9,1,1,1,1,2026-08-24T00:00:00.000
10,SPT000010,67,Ion SafetyPermitType 10,0,0,1,1,2026-08-24T00:00:00.000
11,SPT000011,66,Forge SafetyPermitType 11,1,1,1,1,2026-08-24T00:00:00.000
12,SPT000012,8,Forge SafetyPermitType 12,0,0,1,1,2026-08-24T00:00:00.000
13,SPT000013,19,Cedar SafetyPermitType 13,1,1,1,1,2026-08-24T00:00:00.000
14,SPT000014,59,Keystone SafetyPermitType 14,0,0,1,1,2026-08-24T00:00:00.000
15,SPT000015,59,Titan SafetyPermitType 15,1,1,1,1,2026-08-24T00:00:00.000
16,SPT000016,30,Vertex SafetyPermitType 16,0,0,1,1,2026-08-24T00:00:00.000
17,SPT000017,48,Vertex SafetyPermitType 17,1,1,1,1,2026-08-24T00:00:00.000
18,SPT000018,58,Summit SafetyPermitType 18,0,0,1,1,2026-08-24T00:00:00.000
19,SPT000019,18,Harbor SafetyPermitType 19,1,1,1,1,2026-08-24T00:00:00.000
20,SPT000020,8,Beacon SafetyPermitType 20,0,0,1,1,2026-08-24T00:00:00.000
21,SPT000021,51,Liberty SafetyPermitType 21,1,1,1,1,2026-08-24T00:00:00.000
22,SPT000022,17,Vertex SafetyPermitType 22,0,0,1,1,2026-08-24T00:00:00.000
23,SPT000023,12,Willow SafetyPermitType 23,1,1,1,1,2026-08-24T00:00:00.000
24,SPT000024,29,Pioneer SafetyPermitType 24,0,0,1,1,2026-08-24T00:00:00.000
25,SPT000025,45,Quartz SafetyPermitType 25,1,1,1,1,2026-08-24T00:00:00.000
26,SPT000026,40,Forge SafetyPermitType 26,0,0,1,1,2026-08-24T00:00:00.000
27,SPT000027,25,Junction SafetyPermitType 27,1,1,1,1,2026-08-24T00:00:00.000
28,SPT000028,53,Junction SafetyPermitType 28,0,0,1,1,2026-08-24T00:00:00.000
29,SPT000029,4,Unity SafetyPermitType 29,1,1,1,1,2026-08-24T00:00:00.000
30,SPT000030,59,Vertex SafetyPermitType 30,0,0,1,1,2026-08-24T00:00:00.000
31,SPT000031,34,Evergreen SafetyPermitType 31,1,1,1,1,2026-08-24T00:00:00.000
32,SPT000032,6,Meridian SafetyPermitType 32,0,0,1,1,2026-08-24T00:00:00.000
33,SPT000033,68,Meridian SafetyPermitType 33,1,1,1,1,2026-08-24T00:00:00.000
34,SPT000034,70,Ion SafetyPermitType 34,0,0,1,1,2026-08-24T00:00:00.000
35,SPT000035,16,Delta SafetyPermitType 35,1,1,1,1,2026-08-24T00:00:00.000
36,SPT000036,71,Beacon SafetyPermitType 36,0,0,1,1,2026-08-24T00:00:00.000
37,SPT000037,35,Forge SafetyPermitType 37,1,1,1,1,2026-08-24T00:00:00.000
38,SPT000038,60,Junction SafetyPermitType 38,0,0,1,1,2026-08-24T00:00:00.000
39,SPT000039,67,Unity SafetyPermitType 39,1,1,1,1,2026-08-24T00:00:00.000
40,SPT000040,30,Granite SafetyPermitType 40,0,0,1,1,2026-08-24T00:00:00.000
41,SPT000041,59,Junction SafetyPermitType 41,1,1,1,1,2026-08-24T00:00:00.000
42,SPT000042,17,Cedar SafetyPermitType 42,0,0,1,1,2026-08-24T00:00:00.000
43,SPT000043,26,Quartz SafetyPermitType 43,1,1,1,1,2026-08-24T00:00:00.000
44,SPT000044,28,Cedar SafetyPermitType 44,0,0,1,1,2026-08-24T00:00:00.000
45,SPT000045,48,Junction SafetyPermitType 45,1,1,1,1,2026-08-24T00:00:00.000
46,SPT000046,65,Zenith SafetyPermitType 46,0,0,1,1,2026-08-24T00:00:00.000
47,SPT000047,19,Titan SafetyPermitType 47,1,1,1,1,2026-08-24T00:00:00.000
48,SPT000048,39,Ion SafetyPermitType 48,0,0,1,1,2026-08-24T00:00:00.000
49,SPT000049,44,Vertex SafetyPermitType 49,1,1,1,1,2026-08-24T00:00:00.000
50,SPT000050,63,Northstar SafetyPermitType 50,0,0,1,1,2026-08-24T00:00:00.000
51,SPT000051,32,Harbor SafetyPermitType 51,1,1,1,1,2026-08-24T00:00:00.000
