SalesChannelKey,SalesChannelCode,SalesChannelFamilyKey,SalesChannelName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SC000001,4,Liberty SalesChannel 1,1,1,2026-08-24T00:00:00.000
2,SC000002,9,Ion SalesChannel 2,1,1,2026-08-24T00:00:00.000
3,SC000003,2,Beacon SalesChannel 3,1,1,2026-08-24T00:00:00.000
4,SC000004,22,Vertex SalesChannel 4,1,1,2026-08-24T00:00:00.000
5,SC000005,5,Ion SalesChannel 5,1,1,2026-08-24T00:00:00.000
6,SC000006,27,Liberty SalesChannel 6,1,1,2026-08-24T00:00:00.000
7,SC000007,24,Harbor SalesChannel 7,1,1,2026-08-24T00:00:00.000
8,SC000008,31,Junction SalesChannel 8,1,1,2026-08-24T00:00:00.000
9,SC000009,8,Forge SalesChannel 9,1,1,2026-08-24T00:00:00.000
10,SC000010,7,Pioneer SalesChannel 10,1,1,2026-08-24T00:00:00.000
11,SC000011,4,Junction SalesChannel 11,1,1,2026-08-24T00:00:00.000
12,SC000012,32,Zenith SalesChannel 12,1,1,2026-08-24T00:00:00.000
13,SC000013,30,Cedar SalesChannel 13,1,1,2026-08-24T00:00:00.000
14,SC000014,29,Delta SalesChannel 14,1,1,2026-08-24T00:00:00.000
15,SC000015,29,Titan SalesChannel 15,1,1,2026-08-24T00:00:00.000
16,SC000016,9,Northstar SalesChannel 16,1,1,2026-08-24T00:00:00.000
17,SC000017,7,Titan SalesChannel 17,1,1,2026-08-24T00:00:00.000
18,SC000018,6,Atlas SalesChannel 18,1,1,2026-08-24T00:00:00.000
19,SC000019,11,Forge SalesChannel 19,1,1,2026-08-24T00:00:00.000
20,SC000020,6,Titan SalesChannel 20,1,1,2026-08-24T00:00:00.000
21,SC000021,13,Delta SalesChannel 21,1,1,2026-08-24T00:00:00.000
22,SC000022,14,Evergreen SalesChannel 22,1,1,2026-08-24T00:00:00.000
23,SC000023,14,Atlas SalesChannel 23,1,1,2026-08-24T00:00:00.000
24,SC000024,28,Willow SalesChannel 24,1,1,2026-08-24T00:00:00.000
25,SC000025,23,Ion SalesChannel 25,1,1,2026-08-24T00:00:00.000
26,SC000026,19,Harbor SalesChannel 26,1,1,2026-08-24T00:00:00.000
27,SC000027,22,Keystone SalesChannel 27,1,1,2026-08-24T00:00:00.000
28,SC000028,27,Zenith SalesChannel 28,1,1,2026-08-24T00:00:00.000
29,SC000029,4,Beacon SalesChannel 29,1,1,2026-08-24T00:00:00.000
30,SC000030,11,Titan SalesChannel 30,1,1,2026-08-24T00:00:00.000
31,SC000031,6,Delta SalesChannel 31,1,1,2026-08-24T00:00:00.000
32,SC000032,24,Cedar SalesChannel 32,1,1,2026-08-24T00:00:00.000
33,SC000033,7,Liberty SalesChannel 33,1,1,2026-08-24T00:00:00.000
34,SC000034,7,Summit SalesChannel 34,1,1,2026-08-24T00:00:00.000
35,SC000035,9,Keystone SalesChannel 35,1,1,2026-08-24T00:00:00.000
36,SC000036,26,Pioneer SalesChannel 36,1,1,2026-08-24T00:00:00.000
37,SC000037,21,Granite SalesChannel 37,1,1,2026-08-24T00:00:00.000
38,SC000038,21,Delta SalesChannel 38,1,1,2026-08-24T00:00:00.000
39,SC000039,17,Unity SalesChannel 39,1,1,2026-08-24T00:00:00.000
40,SC000040,9,Meridian SalesChannel 40,1,1,2026-08-24T00:00:00.000
41,SC000041,8,Quartz SalesChannel 41,1,1,2026-08-24T00:00:00.000
42,SC000042,23,Northstar SalesChannel 42,1,1,2026-08-24T00:00:00.000
43,SC000043,11,Granite SalesChannel 43,1,1,2026-08-24T00:00:00.000
44,SC000044,27,Liberty SalesChannel 44,1,1,2026-08-24T00:00:00.000
45,SC000045,23,Keystone SalesChannel 45,1,1,2026-08-24T00:00:00.000
46,SC000046,29,Liberty SalesChannel 46,1,1,2026-08-24T00:00:00.000
47,SC000047,31,Vertex SalesChannel 47,1,1,2026-08-24T00:00:00.000
48,SC000048,26,Delta SalesChannel 48,1,1,2026-08-24T00:00:00.000
49,SC000049,10,Harbor SalesChannel 49,1,1,2026-08-24T00:00:00.000
50,SC000050,24,Beacon SalesChannel 50,1,1,2026-08-24T00:00:00.000
51,SC000051,14,Summit SalesChannel 51,1,1,2026-08-24T00:00:00.000
52,SC000052,20,Keystone SalesChannel 52,1,1,2026-08-24T00:00:00.000
53,SC000053,15,Pioneer SalesChannel 53,1,1,2026-08-24T00:00:00.000
54,SC000054,24,Riverton SalesChannel 54,1,1,2026-08-24T00:00:00.000
55,SC000055,15,Unity SalesChannel 55,1,1,2026-08-24T00:00:00.000
56,SC000056,10,Delta SalesChannel 56,1,1,2026-08-24T00:00:00.000
57,SC000057,15,Titan SalesChannel 57,1,1,2026-08-24T00:00:00.000
58,SC000058,9,Northstar SalesChannel 58,1,1,2026-08-24T00:00:00.000
59,SC000059,4,Quartz SalesChannel 59,1,1,2026-08-24T00:00:00.000
60,SC000060,24,Riverton SalesChannel 60,1,1,2026-08-24T00:00:00.000
61,SC000061,31,Zenith SalesChannel 61,1,1,2026-08-24T00:00:00.000
62,SC000062,31,Atlas SalesChannel 62,1,1,2026-08-24T00:00:00.000
63,SC000063,14,Meridian SalesChannel 63,1,1,2026-08-24T00:00:00.000
64,SC000064,24,Northstar SalesChannel 64,1,1,2026-08-24T00:00:00.000
65,SC000065,17,Atlas SalesChannel 65,1,1,2026-08-24T00:00:00.000
66,SC000066,8,Northstar SalesChannel 66,1,1,2026-08-24T00:00:00.000
67,SC000067,11,Cedar SalesChannel 67,1,1,2026-08-24T00:00:00.000
68,SC000068,5,Delta SalesChannel 68,1,1,2026-08-24T00:00:00.000
69,SC000069,22,Junction SalesChannel 69,1,1,2026-08-24T00:00:00.000
70,SC000070,30,Meridian SalesChannel 70,1,1,2026-08-24T00:00:00.000
71,SC000071,25,Beacon SalesChannel 71,1,1,2026-08-24T00:00:00.000
72,SC000072,14,Beacon SalesChannel 72,1,1,2026-08-24T00:00:00.000
73,SC000073,29,Evergreen SalesChannel 73,1,1,2026-08-24T00:00:00.000
74,SC000074,25,Riverton SalesChannel 74,1,1,2026-08-24T00:00:00.000
75,SC000075,28,Orion SalesChannel 75,1,1,2026-08-24T00:00:00.000
76,SC000076,18,Forge SalesChannel 76,1,1,2026-08-24T00:00:00.000
77,SC000077,21,Liberty SalesChannel 77,1,1,2026-08-24T00:00:00.000
