MaintenanceFailureRemedyKey,MaintenanceFailureRemedyCode,MaintenanceFailureCauseKey,MaintenanceFailureRemedyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MFR000001,202,Vertex MaintenanceFailureRemedy 1,1,1,2026-08-24T00:00:00.000
2,MFR000002,210,Vertex MaintenanceFailureRemedy 2,1,1,2026-08-24T00:00:00.000
3,MFR000003,163,Willow MaintenanceFailureRemedy 3,1,1,2026-08-24T00:00:00.000
4,MFR000004,194,Unity MaintenanceFailureRemedy 4,1,1,2026-08-24T00:00:00.000
5,MFR000005,360,Orion MaintenanceFailureRemedy 5,1,1,2026-08-24T00:00:00.000
6,MFR000006,100,Pioneer MaintenanceFailureRemedy 6,1,1,2026-08-24T00:00:00.000
7,MFR000007,404,Harbor MaintenanceFailureRemedy 7,1,1,2026-08-24T00:00:00.000
8,MFR000008,34,Evergreen MaintenanceFailureRemedy 8,1,1,2026-08-24T00:00:00.000
9,MFR000009,183,Willow MaintenanceFailureRemedy 9,1,1,2026-08-24T00:00:00.000
10,MFR000010,316,Orion MaintenanceFailureRemedy 10,1,1,2026-08-24T00:00:00.000
11,MFR000011,197,Orion MaintenanceFailureRemedy 11,1,1,2026-08-24T00:00:00.000
12,MFR000012,407,Harbor MaintenanceFailureRemedy 12,1,1,2026-08-24T00:00:00.000
13,MFR000013,137,Atlas MaintenanceFailureRemedy 13,1,1,2026-08-24T00:00:00.000
14,MFR000014,483,Cedar MaintenanceFailureRemedy 14,1,1,2026-08-24T00:00:00.000
15,MFR000015,500,Zenith MaintenanceFailureRemedy 15,1,1,2026-08-24T00:00:00.000
16,MFR000016,157,Riverton MaintenanceFailureRemedy 16,1,1,2026-08-24T00:00:00.000
17,MFR000017,263,Zenith MaintenanceFailureRemedy 17,1,1,2026-08-24T00:00:00.000
18,MFR000018,224,Quartz MaintenanceFailureRemedy 18,1,1,2026-08-24T00:00:00.000
19,MFR000019,294,Liberty MaintenanceFailureRemedy 19,1,1,2026-08-24T00:00:00.000
