MaintenanceAssetComponentTypeKey,MaintenanceAssetComponentTypeCode,MaintenanceAssetSubClassKey,MaintenanceAssetComponentTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MACT000001,259,Junction MaintenanceAssetComponentType 1,1,1,2026-08-24T00:00:00.000
2,MACT000002,88,Quartz MaintenanceAssetComponentType 2,1,1,2026-08-24T00:00:00.000
3,MACT000003,281,Harbor MaintenanceAssetComponentType 3,1,1,2026-08-24T00:00:00.000
4,MACT000004,72,Evergreen MaintenanceAssetComponentType 4,1,1,2026-08-24T00:00:00.000
5,MACT000005,72,Forge MaintenanceAssetComponentType 5,1,1,2026-08-24T00:00:00.000
6,MACT000006,145,Riverton MaintenanceAssetComponentType 6,1,1,2026-08-24T00:00:00.000
7,MACT000007,88,Titan MaintenanceAssetComponentType 7,1,1,2026-08-24T00:00:00.000
8,MACT000008,263,Beacon MaintenanceAssetComponentType 8,1,1,2026-08-24T00:00:00.000
9,MACT000009,130,Riverton MaintenanceAssetComponentType 9,1,1,2026-08-24T00:00:00.000
10,MACT000010,89,Beacon MaintenanceAssetComponentType 10,1,1,2026-08-24T00:00:00.000
11,MACT000011,323,Titan MaintenanceAssetComponentType 11,1,1,2026-08-24T00:00:00.000
12,MACT000012,229,Beacon MaintenanceAssetComponentType 12,1,1,2026-08-24T00:00:00.000
13,MACT000013,206,Vertex MaintenanceAssetComponentType 13,1,1,2026-08-24T00:00:00.000
14,MACT000014,87,Beacon MaintenanceAssetComponentType 14,1,1,2026-08-24T00:00:00.000
15,MACT000015,282,Delta MaintenanceAssetComponentType 15,1,1,2026-08-24T00:00:00.000
16,MACT000016,118,Orion MaintenanceAssetComponentType 16,1,1,2026-08-24T00:00:00.000
17,MACT000017,114,Harbor MaintenanceAssetComponentType 17,1,1,2026-08-24T00:00:00.000
18,MACT000018,198,Atlas MaintenanceAssetComponentType 18,1,1,2026-08-24T00:00:00.000
19,MACT000019,185,Northstar MaintenanceAssetComponentType 19,1,1,2026-08-24T00:00:00.000
20,MACT000020,34,Atlas MaintenanceAssetComponentType 20,1,1,2026-08-24T00:00:00.000
21,MACT000021,298,Beacon MaintenanceAssetComponentType 21,1,1,2026-08-24T00:00:00.000
22,MACT000022,257,Granite MaintenanceAssetComponentType 22,1,1,2026-08-24T00:00:00.000
23,MACT000023,183,Titan MaintenanceAssetComponentType 23,1,1,2026-08-24T00:00:00.000
24,MACT000024,158,Granite MaintenanceAssetComponentType 24,1,1,2026-08-24T00:00:00.000
25,MACT000025,334,Keystone MaintenanceAssetComponentType 25,1,1,2026-08-24T00:00:00.000
26,MACT000026,162,Northstar MaintenanceAssetComponentType 26,1,1,2026-08-24T00:00:00.000
27,MACT000027,68,Cedar MaintenanceAssetComponentType 27,1,1,2026-08-24T00:00:00.000
28,MACT000028,79,Pioneer MaintenanceAssetComponentType 28,1,1,2026-08-24T00:00:00.000
29,MACT000029,116,Harbor MaintenanceAssetComponentType 29,1,1,2026-08-24T00:00:00.000
30,MACT000030,137,Summit MaintenanceAssetComponentType 30,1,1,2026-08-24T00:00:00.000
31,MACT000031,111,Vertex MaintenanceAssetComponentType 31,1,1,2026-08-24T00:00:00.000
32,MACT000032,330,Junction MaintenanceAssetComponentType 32,1,1,2026-08-24T00:00:00.000
33,MACT000033,30,Beacon MaintenanceAssetComponentType 33,1,1,2026-08-24T00:00:00.000
34,MACT000034,110,Vertex MaintenanceAssetComponentType 34,1,1,2026-08-24T00:00:00.000
35,MACT000035,117,Willow MaintenanceAssetComponentType 35,1,1,2026-08-24T00:00:00.000
36,MACT000036,353,Keystone MaintenanceAssetComponentType 36,1,1,2026-08-24T00:00:00.000
37,MACT000037,165,Granite MaintenanceAssetComponentType 37,1,1,2026-08-24T00:00:00.000
