EngineeringDocumentClassKey,EngineeringDocumentClassCode,EngineeringDocumentDomainKey,EngineeringDocumentClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EDC000001,8,Cedar EngineeringDocumentClass 1,1,1,2026-08-24T00:00:00.000
2,EDC000002,7,Beacon EngineeringDocumentClass 2,1,1,2026-08-24T00:00:00.000
3,EDC000003,1,Zenith EngineeringDocumentClass 3,1,1,2026-08-24T00:00:00.000
4,EDC000004,1,Delta EngineeringDocumentClass 4,1,1,2026-08-24T00:00:00.000
5,EDC000005,3,Harbor EngineeringDocumentClass 5,1,1,2026-08-24T00:00:00.000
6,EDC000006,4,Atlas EngineeringDocumentClass 6,1,1,2026-08-24T00:00:00.000
7,EDC000007,7,Harbor EngineeringDocumentClass 7,1,1,2026-08-24T00:00:00.000
8,EDC000008,2,Riverton EngineeringDocumentClass 8,1,1,2026-08-24T00:00:00.000
9,EDC000009,2,Liberty EngineeringDocumentClass 9,1,1,2026-08-24T00:00:00.000
10,EDC000010,7,Willow EngineeringDocumentClass 10,1,1,2026-08-24T00:00:00.000
11,EDC000011,4,Harbor EngineeringDocumentClass 11,1,1,2026-08-24T00:00:00.000
12,EDC000012,6,Atlas EngineeringDocumentClass 12,1,1,2026-08-24T00:00:00.000
13,EDC000013,3,Cedar EngineeringDocumentClass 13,1,1,2026-08-24T00:00:00.000
14,EDC000014,1,Unity EngineeringDocumentClass 14,1,1,2026-08-24T00:00:00.000
15,EDC000015,2,Ion EngineeringDocumentClass 15,1,1,2026-08-24T00:00:00.000
16,EDC000016,7,Cedar EngineeringDocumentClass 16,1,1,2026-08-24T00:00:00.000
17,EDC000017,5,Keystone EngineeringDocumentClass 17,1,1,2026-08-24T00:00:00.000
18,EDC000018,8,Titan EngineeringDocumentClass 18,1,1,2026-08-24T00:00:00.000
19,EDC000019,3,Vertex EngineeringDocumentClass 19,1,1,2026-08-24T00:00:00.000
20,EDC000020,3,Keystone EngineeringDocumentClass 20,1,1,2026-08-24T00:00:00.000
21,EDC000021,4,Titan EngineeringDocumentClass 21,1,1,2026-08-24T00:00:00.000
22,EDC000022,4,Titan EngineeringDocumentClass 22,1,1,2026-08-24T00:00:00.000
23,EDC000023,7,Quartz EngineeringDocumentClass 23,1,1,2026-08-24T00:00:00.000
24,EDC000024,5,Summit EngineeringDocumentClass 24,1,1,2026-08-24T00:00:00.000
25,EDC000025,4,Zenith EngineeringDocumentClass 25,1,1,2026-08-24T00:00:00.000
26,EDC000026,6,Titan EngineeringDocumentClass 26,1,1,2026-08-24T00:00:00.000
27,EDC000027,1,Atlas EngineeringDocumentClass 27,1,1,2026-08-24T00:00:00.000
28,EDC000028,6,Granite EngineeringDocumentClass 28,1,1,2026-08-24T00:00:00.000
29,EDC000029,6,Granite EngineeringDocumentClass 29,1,1,2026-08-24T00:00:00.000
30,EDC000030,2,Beacon EngineeringDocumentClass 30,1,1,2026-08-24T00:00:00.000
31,EDC000031,2,Riverton EngineeringDocumentClass 31,1,1,2026-08-24T00:00:00.000
32,EDC000032,4,Atlas EngineeringDocumentClass 32,1,1,2026-08-24T00:00:00.000
33,EDC000033,5,Willow EngineeringDocumentClass 33,1,1,2026-08-24T00:00:00.000
34,EDC000034,6,Quartz EngineeringDocumentClass 34,1,1,2026-08-24T00:00:00.000
35,EDC000035,4,Delta EngineeringDocumentClass 35,1,1,2026-08-24T00:00:00.000
36,EDC000036,5,Delta EngineeringDocumentClass 36,1,1,2026-08-24T00:00:00.000
37,EDC000037,1,Unity EngineeringDocumentClass 37,1,1,2026-08-24T00:00:00.000
38,EDC000038,8,Cedar EngineeringDocumentClass 38,1,1,2026-08-24T00:00:00.000
39,EDC000039,4,Delta EngineeringDocumentClass 39,1,1,2026-08-24T00:00:00.000
40,EDC000040,4,Liberty EngineeringDocumentClass 40,1,1,2026-08-24T00:00:00.000
41,EDC000041,6,Quartz EngineeringDocumentClass 41,1,1,2026-08-24T00:00:00.000
42,EDC000042,3,Granite EngineeringDocumentClass 42,1,1,2026-08-24T00:00:00.000
43,EDC000043,4,Titan EngineeringDocumentClass 43,1,1,2026-08-24T00:00:00.000
44,EDC000044,2,Ion EngineeringDocumentClass 44,1,1,2026-08-24T00:00:00.000
45,EDC000045,6,Vertex EngineeringDocumentClass 45,1,1,2026-08-24T00:00:00.000
