LogisticsDockDoorKey,LogisticsDockDoorCode,LogisticsTerminalKey,LogisticsDockDoorName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LDD000001,15,Titan LogisticsDockDoor 1,1,1,2026-08-24T00:00:00.000
2,LDD000002,132,Delta LogisticsDockDoor 2,1,1,2026-08-24T00:00:00.000
3,LDD000003,372,Summit LogisticsDockDoor 3,1,1,2026-08-24T00:00:00.000
4,LDD000004,235,Atlas LogisticsDockDoor 4,1,1,2026-08-24T00:00:00.000
5,LDD000005,31,Atlas LogisticsDockDoor 5,1,1,2026-08-24T00:00:00.000
6,LDD000006,469,Zenith LogisticsDockDoor 6,1,1,2026-08-24T00:00:00.000
7,LDD000007,291,Northstar LogisticsDockDoor 7,1,1,2026-08-24T00:00:00.000
8,LDD000008,401,Beacon LogisticsDockDoor 8,1,1,2026-08-24T00:00:00.000
9,LDD000009,495,Ion LogisticsDockDoor 9,1,1,2026-08-24T00:00:00.000
10,LDD000010,404,Ion LogisticsDockDoor 10,1,1,2026-08-24T00:00:00.000
11,LDD000011,140,Cedar LogisticsDockDoor 11,1,1,2026-08-24T00:00:00.000
12,LDD000012,465,Beacon LogisticsDockDoor 12,1,1,2026-08-24T00:00:00.000
13,LDD000013,10,Liberty LogisticsDockDoor 13,1,1,2026-08-24T00:00:00.000
14,LDD000014,305,Evergreen LogisticsDockDoor 14,1,1,2026-08-24T00:00:00.000
15,LDD000015,98,Willow LogisticsDockDoor 15,1,1,2026-08-24T00:00:00.000
16,LDD000016,436,Northstar LogisticsDockDoor 16,1,1,2026-08-24T00:00:00.000
17,LDD000017,460,Evergreen LogisticsDockDoor 17,1,1,2026-08-24T00:00:00.000
18,LDD000018,294,Granite LogisticsDockDoor 18,1,1,2026-08-24T00:00:00.000
19,LDD000019,37,Cedar LogisticsDockDoor 19,1,1,2026-08-24T00:00:00.000
20,LDD000020,42,Zenith LogisticsDockDoor 20,1,1,2026-08-24T00:00:00.000
21,LDD000021,155,Atlas LogisticsDockDoor 21,1,1,2026-08-24T00:00:00.000
22,LDD000022,139,Northstar LogisticsDockDoor 22,1,1,2026-08-24T00:00:00.000
23,LDD000023,318,Unity LogisticsDockDoor 23,1,1,2026-08-24T00:00:00.000
24,LDD000024,117,Keystone LogisticsDockDoor 24,1,1,2026-08-24T00:00:00.000
25,LDD000025,21,Harbor LogisticsDockDoor 25,1,1,2026-08-24T00:00:00.000
26,LDD000026,367,Keystone LogisticsDockDoor 26,1,1,2026-08-24T00:00:00.000
27,LDD000027,35,Granite LogisticsDockDoor 27,1,1,2026-08-24T00:00:00.000
28,LDD000028,367,Delta LogisticsDockDoor 28,1,1,2026-08-24T00:00:00.000
29,LDD000029,180,Delta LogisticsDockDoor 29,1,1,2026-08-24T00:00:00.000
30,LDD000030,390,Vertex LogisticsDockDoor 30,1,1,2026-08-24T00:00:00.000
31,LDD000031,402,Ion LogisticsDockDoor 31,1,1,2026-08-24T00:00:00.000
32,LDD000032,212,Cedar LogisticsDockDoor 32,1,1,2026-08-24T00:00:00.000
33,LDD000033,307,Atlas LogisticsDockDoor 33,1,1,2026-08-24T00:00:00.000
34,LDD000034,100,Willow LogisticsDockDoor 34,1,1,2026-08-24T00:00:00.000
35,LDD000035,123,Liberty LogisticsDockDoor 35,1,1,2026-08-24T00:00:00.000
36,LDD000036,285,Willow LogisticsDockDoor 36,1,1,2026-08-24T00:00:00.000
37,LDD000037,157,Vertex LogisticsDockDoor 37,1,1,2026-08-24T00:00:00.000
38,LDD000038,88,Zenith LogisticsDockDoor 38,1,1,2026-08-24T00:00:00.000
39,LDD000039,365,Orion LogisticsDockDoor 39,1,1,2026-08-24T00:00:00.000
40,LDD000040,406,Delta LogisticsDockDoor 40,1,1,2026-08-24T00:00:00.000
41,LDD000041,183,Junction LogisticsDockDoor 41,1,1,2026-08-24T00:00:00.000
42,LDD000042,402,Titan LogisticsDockDoor 42,1,1,2026-08-24T00:00:00.000
43,LDD000043,326,Titan LogisticsDockDoor 43,1,1,2026-08-24T00:00:00.000
44,LDD000044,78,Pioneer LogisticsDockDoor 44,1,1,2026-08-24T00:00:00.000
45,LDD000045,496,Liberty LogisticsDockDoor 45,1,1,2026-08-24T00:00:00.000
46,LDD000046,441,Harbor LogisticsDockDoor 46,1,1,2026-08-24T00:00:00.000
