EnergyEfficiencyMeasureKey,EnergyEfficiencyMeasureCode,EnergyProjectTypeKey,EnergyEfficiencyMeasureName,ExpectedUsefulLifeYears,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,-1,0,1900-01-01T00:00:00.000
1,EEM000001,341,Forge EnergyEfficiencyMeasure 1,2021,1,1,2026-08-24T00:00:00.000
2,EEM000002,49,Vertex EnergyEfficiencyMeasure 2,2022,1,1,2026-08-24T00:00:00.000
3,EEM000003,56,Vertex EnergyEfficiencyMeasure 3,2023,1,1,2026-08-24T00:00:00.000
4,EEM000004,194,Granite EnergyEfficiencyMeasure 4,2024,1,1,2026-08-24T00:00:00.000
5,EEM000005,308,Willow EnergyEfficiencyMeasure 5,2025,1,1,2026-08-24T00:00:00.000
6,EEM000006,196,Beacon EnergyEfficiencyMeasure 6,2026,1,1,2026-08-24T00:00:00.000
7,EEM000007,392,Riverton EnergyEfficiencyMeasure 7,2027,1,1,2026-08-24T00:00:00.000
8,EEM000008,98,Cedar EnergyEfficiencyMeasure 8,2028,1,1,2026-08-24T00:00:00.000
9,EEM000009,251,Meridian EnergyEfficiencyMeasure 9,2029,1,1,2026-08-24T00:00:00.000
10,EEM000010,308,Beacon EnergyEfficiencyMeasure 10,2020,1,1,2026-08-24T00:00:00.000
11,EEM000011,311,Meridian EnergyEfficiencyMeasure 11,2021,1,1,2026-08-24T00:00:00.000
12,EEM000012,286,Willow EnergyEfficiencyMeasure 12,2022,1,1,2026-08-24T00:00:00.000
13,EEM000013,55,Keystone EnergyEfficiencyMeasure 13,2023,1,1,2026-08-24T00:00:00.000
14,EEM000014,126,Beacon EnergyEfficiencyMeasure 14,2024,1,1,2026-08-24T00:00:00.000
15,EEM000015,403,Ion EnergyEfficiencyMeasure 15,2025,1,1,2026-08-24T00:00:00.000
16,EEM000016,65,Beacon EnergyEfficiencyMeasure 16,2026,1,1,2026-08-24T00:00:00.000
17,EEM000017,396,Granite EnergyEfficiencyMeasure 17,2027,1,1,2026-08-24T00:00:00.000
18,EEM000018,387,Junction EnergyEfficiencyMeasure 18,2028,1,1,2026-08-24T00:00:00.000
19,EEM000019,189,Delta EnergyEfficiencyMeasure 19,2029,1,1,2026-08-24T00:00:00.000
20,EEM000020,278,Vertex EnergyEfficiencyMeasure 20,2020,1,1,2026-08-24T00:00:00.000
21,EEM000021,149,Forge EnergyEfficiencyMeasure 21,2021,1,1,2026-08-24T00:00:00.000
22,EEM000022,108,Beacon EnergyEfficiencyMeasure 22,2022,1,1,2026-08-24T00:00:00.000
23,EEM000023,278,Orion EnergyEfficiencyMeasure 23,2023,1,1,2026-08-24T00:00:00.000
24,EEM000024,176,Willow EnergyEfficiencyMeasure 24,2024,1,1,2026-08-24T00:00:00.000
25,EEM000025,387,Junction EnergyEfficiencyMeasure 25,2025,1,1,2026-08-24T00:00:00.000
26,EEM000026,315,Unity EnergyEfficiencyMeasure 26,2026,1,1,2026-08-24T00:00:00.000
27,EEM000027,278,Forge EnergyEfficiencyMeasure 27,2027,1,1,2026-08-24T00:00:00.000
28,EEM000028,299,Cedar EnergyEfficiencyMeasure 28,2028,1,1,2026-08-24T00:00:00.000
29,EEM000029,249,Beacon EnergyEfficiencyMeasure 29,2029,1,1,2026-08-24T00:00:00.000
30,EEM000030,110,Unity EnergyEfficiencyMeasure 30,2020,1,1,2026-08-24T00:00:00.000
31,EEM000031,316,Unity EnergyEfficiencyMeasure 31,2021,1,1,2026-08-24T00:00:00.000
32,EEM000032,221,Harbor EnergyEfficiencyMeasure 32,2022,1,1,2026-08-24T00:00:00.000
33,EEM000033,130,Beacon EnergyEfficiencyMeasure 33,2023,1,1,2026-08-24T00:00:00.000
34,EEM000034,27,Junction EnergyEfficiencyMeasure 34,2024,1,1,2026-08-24T00:00:00.000
35,EEM000035,315,Pioneer EnergyEfficiencyMeasure 35,2025,1,1,2026-08-24T00:00:00.000
36,EEM000036,88,Pioneer EnergyEfficiencyMeasure 36,2026,1,1,2026-08-24T00:00:00.000
37,EEM000037,83,Evergreen EnergyEfficiencyMeasure 37,2027,1,1,2026-08-24T00:00:00.000
38,EEM000038,178,Orion EnergyEfficiencyMeasure 38,2028,1,1,2026-08-24T00:00:00.000
39,EEM000039,223,Northstar EnergyEfficiencyMeasure 39,2029,1,1,2026-08-24T00:00:00.000
40,EEM000040,226,Delta EnergyEfficiencyMeasure 40,2020,1,1,2026-08-24T00:00:00.000
41,EEM000041,385,Liberty EnergyEfficiencyMeasure 41,2021,1,1,2026-08-24T00:00:00.000
