ServiceGeoBranchKey,ServiceGeoBranchCode,ServiceGeoDistrictKey,ServiceGeoBranchName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SGB000001,114,Pioneer ServiceGeoBranch 1,1,1,2026-08-24T00:00:00.000
2,SGB000002,108,Beacon ServiceGeoBranch 2,1,1,2026-08-24T00:00:00.000
3,SGB000003,37,Harbor ServiceGeoBranch 3,1,1,2026-08-24T00:00:00.000
4,SGB000004,5,Vertex ServiceGeoBranch 4,1,1,2026-08-24T00:00:00.000
5,SGB000005,38,Vertex ServiceGeoBranch 5,1,1,2026-08-24T00:00:00.000
6,SGB000006,114,Willow ServiceGeoBranch 6,1,1,2026-08-24T00:00:00.000
7,SGB000007,10,Unity ServiceGeoBranch 7,1,1,2026-08-24T00:00:00.000
8,SGB000008,77,Northstar ServiceGeoBranch 8,1,1,2026-08-24T00:00:00.000
9,SGB000009,106,Beacon ServiceGeoBranch 9,1,1,2026-08-24T00:00:00.000
10,SGB000010,47,Ion ServiceGeoBranch 10,1,1,2026-08-24T00:00:00.000
11,SGB000011,96,Liberty ServiceGeoBranch 11,1,1,2026-08-24T00:00:00.000
12,SGB000012,4,Riverton ServiceGeoBranch 12,1,1,2026-08-24T00:00:00.000
13,SGB000013,79,Harbor ServiceGeoBranch 13,1,1,2026-08-24T00:00:00.000
14,SGB000014,117,Quartz ServiceGeoBranch 14,1,1,2026-08-24T00:00:00.000
15,SGB000015,59,Riverton ServiceGeoBranch 15,1,1,2026-08-24T00:00:00.000
16,SGB000016,22,Granite ServiceGeoBranch 16,1,1,2026-08-24T00:00:00.000
17,SGB000017,41,Pioneer ServiceGeoBranch 17,1,1,2026-08-24T00:00:00.000
18,SGB000018,90,Cedar ServiceGeoBranch 18,1,1,2026-08-24T00:00:00.000
19,SGB000019,89,Willow ServiceGeoBranch 19,1,1,2026-08-24T00:00:00.000
20,SGB000020,81,Meridian ServiceGeoBranch 20,1,1,2026-08-24T00:00:00.000
21,SGB000021,59,Unity ServiceGeoBranch 21,1,1,2026-08-24T00:00:00.000
22,SGB000022,108,Forge ServiceGeoBranch 22,1,1,2026-08-24T00:00:00.000
23,SGB000023,97,Orion ServiceGeoBranch 23,1,1,2026-08-24T00:00:00.000
24,SGB000024,20,Harbor ServiceGeoBranch 24,1,1,2026-08-24T00:00:00.000
25,SGB000025,47,Willow ServiceGeoBranch 25,1,1,2026-08-24T00:00:00.000
