MaintenanceTaskTypeKey,MaintenanceTaskTypeCode,MaintenanceTaskGroupKey,MaintenanceTaskTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MTT000001,77,Zenith MaintenanceTaskType 1,1,1,2026-08-24T00:00:00.000
2,MTT000002,55,Riverton MaintenanceTaskType 2,1,1,2026-08-24T00:00:00.000
3,MTT000003,268,Cedar MaintenanceTaskType 3,1,1,2026-08-24T00:00:00.000
4,MTT000004,73,Delta MaintenanceTaskType 4,1,1,2026-08-24T00:00:00.000
5,MTT000005,112,Unity MaintenanceTaskType 5,1,1,2026-08-24T00:00:00.000
6,MTT000006,38,Riverton MaintenanceTaskType 6,1,1,2026-08-24T00:00:00.000
7,MTT000007,50,Meridian MaintenanceTaskType 7,1,1,2026-08-24T00:00:00.000
8,MTT000008,272,Quartz MaintenanceTaskType 8,1,1,2026-08-24T00:00:00.000
9,MTT000009,189,Orion MaintenanceTaskType 9,1,1,2026-08-24T00:00:00.000
10,MTT000010,76,Atlas MaintenanceTaskType 10,1,1,2026-08-24T00:00:00.000
11,MTT000011,245,Northstar MaintenanceTaskType 11,1,1,2026-08-24T00:00:00.000
12,MTT000012,203,Quartz MaintenanceTaskType 12,1,1,2026-08-24T00:00:00.000
13,MTT000013,95,Evergreen MaintenanceTaskType 13,1,1,2026-08-24T00:00:00.000
14,MTT000014,275,Meridian MaintenanceTaskType 14,1,1,2026-08-24T00:00:00.000
15,MTT000015,177,Northstar MaintenanceTaskType 15,1,1,2026-08-24T00:00:00.000
16,MTT000016,73,Titan MaintenanceTaskType 16,1,1,2026-08-24T00:00:00.000
17,MTT000017,263,Cedar MaintenanceTaskType 17,1,1,2026-08-24T00:00:00.000
18,MTT000018,161,Willow MaintenanceTaskType 18,1,1,2026-08-24T00:00:00.000
19,MTT000019,19,Quartz MaintenanceTaskType 19,1,1,2026-08-24T00:00:00.000
20,MTT000020,259,Pioneer MaintenanceTaskType 20,1,1,2026-08-24T00:00:00.000
21,MTT000021,122,Ion MaintenanceTaskType 21,1,1,2026-08-24T00:00:00.000
22,MTT000022,6,Meridian MaintenanceTaskType 22,1,1,2026-08-24T00:00:00.000
23,MTT000023,252,Unity MaintenanceTaskType 23,1,1,2026-08-24T00:00:00.000
24,MTT000024,183,Northstar MaintenanceTaskType 24,1,1,2026-08-24T00:00:00.000
25,MTT000025,106,Liberty MaintenanceTaskType 25,1,1,2026-08-24T00:00:00.000
26,MTT000026,96,Keystone MaintenanceTaskType 26,1,1,2026-08-24T00:00:00.000
27,MTT000027,128,Meridian MaintenanceTaskType 27,1,1,2026-08-24T00:00:00.000
28,MTT000028,272,Harbor MaintenanceTaskType 28,1,1,2026-08-24T00:00:00.000
29,MTT000029,108,Orion MaintenanceTaskType 29,1,1,2026-08-24T00:00:00.000
30,MTT000030,52,Orion MaintenanceTaskType 30,1,1,2026-08-24T00:00:00.000
31,MTT000031,295,Keystone MaintenanceTaskType 31,1,1,2026-08-24T00:00:00.000
32,MTT000032,36,Delta MaintenanceTaskType 32,1,1,2026-08-24T00:00:00.000
33,MTT000033,228,Granite MaintenanceTaskType 33,1,1,2026-08-24T00:00:00.000
34,MTT000034,151,Beacon MaintenanceTaskType 34,1,1,2026-08-24T00:00:00.000
35,MTT000035,194,Willow MaintenanceTaskType 35,1,1,2026-08-24T00:00:00.000
36,MTT000036,291,Vertex MaintenanceTaskType 36,1,1,2026-08-24T00:00:00.000
37,MTT000037,219,Titan MaintenanceTaskType 37,1,1,2026-08-24T00:00:00.000
38,MTT000038,87,Cedar MaintenanceTaskType 38,1,1,2026-08-24T00:00:00.000
39,MTT000039,184,Junction MaintenanceTaskType 39,1,1,2026-08-24T00:00:00.000
40,MTT000040,257,Vertex MaintenanceTaskType 40,1,1,2026-08-24T00:00:00.000
41,MTT000041,259,Quartz MaintenanceTaskType 41,1,1,2026-08-24T00:00:00.000
42,MTT000042,121,Summit MaintenanceTaskType 42,1,1,2026-08-24T00:00:00.000
43,MTT000043,87,Ion MaintenanceTaskType 43,1,1,2026-08-24T00:00:00.000
44,MTT000044,58,Riverton MaintenanceTaskType 44,1,1,2026-08-24T00:00:00.000
45,MTT000045,114,Riverton MaintenanceTaskType 45,1,1,2026-08-24T00:00:00.000
46,MTT000046,263,Junction MaintenanceTaskType 46,1,1,2026-08-24T00:00:00.000
47,MTT000047,123,Northstar MaintenanceTaskType 47,1,1,2026-08-24T00:00:00.000
48,MTT000048,77,Unity MaintenanceTaskType 48,1,1,2026-08-24T00:00:00.000
49,MTT000049,124,Unity MaintenanceTaskType 49,1,1,2026-08-24T00:00:00.000
50,MTT000050,86,Orion MaintenanceTaskType 50,1,1,2026-08-24T00:00:00.000
51,MTT000051,239,Ion MaintenanceTaskType 51,1,1,2026-08-24T00:00:00.000
52,MTT000052,95,Zenith MaintenanceTaskType 52,1,1,2026-08-24T00:00:00.000
53,MTT000053,115,Beacon MaintenanceTaskType 53,1,1,2026-08-24T00:00:00.000
54,MTT000054,221,Summit MaintenanceTaskType 54,1,1,2026-08-24T00:00:00.000
55,MTT000055,176,Evergreen MaintenanceTaskType 55,1,1,2026-08-24T00:00:00.000
56,MTT000056,157,Titan MaintenanceTaskType 56,1,1,2026-08-24T00:00:00.000
57,MTT000057,259,Ion MaintenanceTaskType 57,1,1,2026-08-24T00:00:00.000
58,MTT000058,33,Forge MaintenanceTaskType 58,1,1,2026-08-24T00:00:00.000
59,MTT000059,61,Forge MaintenanceTaskType 59,1,1,2026-08-24T00:00:00.000
60,MTT000060,136,Granite MaintenanceTaskType 60,1,1,2026-08-24T00:00:00.000
61,MTT000061,11,Liberty MaintenanceTaskType 61,1,1,2026-08-24T00:00:00.000
62,MTT000062,146,Cedar MaintenanceTaskType 62,1,1,2026-08-24T00:00:00.000
63,MTT000063,223,Keystone MaintenanceTaskType 63,1,1,2026-08-24T00:00:00.000
64,MTT000064,95,Summit MaintenanceTaskType 64,1,1,2026-08-24T00:00:00.000
65,MTT000065,149,Beacon MaintenanceTaskType 65,1,1,2026-08-24T00:00:00.000
66,MTT000066,245,Junction MaintenanceTaskType 66,1,1,2026-08-24T00:00:00.000
67,MTT000067,1,Delta MaintenanceTaskType 67,1,1,2026-08-24T00:00:00.000
68,MTT000068,6,Pioneer MaintenanceTaskType 68,1,1,2026-08-24T00:00:00.000
69,MTT000069,182,Vertex MaintenanceTaskType 69,1,1,2026-08-24T00:00:00.000
70,MTT000070,245,Keystone MaintenanceTaskType 70,1,1,2026-08-24T00:00:00.000
71,MTT000071,49,Meridian MaintenanceTaskType 71,1,1,2026-08-24T00:00:00.000
72,MTT000072,250,Summit MaintenanceTaskType 72,1,1,2026-08-24T00:00:00.000
73,MTT000073,145,Riverton MaintenanceTaskType 73,1,1,2026-08-24T00:00:00.000
74,MTT000074,163,Cedar MaintenanceTaskType 74,1,1,2026-08-24T00:00:00.000
75,MTT000075,253,Liberty MaintenanceTaskType 75,1,1,2026-08-24T00:00:00.000
76,MTT000076,62,Forge MaintenanceTaskType 76,1,1,2026-08-24T00:00:00.000
77,MTT000077,96,Meridian MaintenanceTaskType 77,1,1,2026-08-24T00:00:00.000
78,MTT000078,88,Cedar MaintenanceTaskType 78,1,1,2026-08-24T00:00:00.000
79,MTT000079,141,Vertex MaintenanceTaskType 79,1,1,2026-08-24T00:00:00.000
80,MTT000080,96,Granite MaintenanceTaskType 80,1,1,2026-08-24T00:00:00.000
81,MTT000081,67,Atlas MaintenanceTaskType 81,1,1,2026-08-24T00:00:00.000
82,MTT000082,180,Beacon MaintenanceTaskType 82,1,1,2026-08-24T00:00:00.000
83,MTT000083,146,Granite MaintenanceTaskType 83,1,1,2026-08-24T00:00:00.000
84,MTT000084,13,Unity MaintenanceTaskType 84,1,1,2026-08-24T00:00:00.000
85,MTT000085,168,Ion MaintenanceTaskType 85,1,1,2026-08-24T00:00:00.000
86,MTT000086,48,Forge MaintenanceTaskType 86,1,1,2026-08-24T00:00:00.000
87,MTT000087,35,Unity MaintenanceTaskType 87,1,1,2026-08-24T00:00:00.000
88,MTT000088,260,Atlas MaintenanceTaskType 88,1,1,2026-08-24T00:00:00.000
89,MTT000089,107,Beacon MaintenanceTaskType 89,1,1,2026-08-24T00:00:00.000
90,MTT000090,239,Zenith MaintenanceTaskType 90,1,1,2026-08-24T00:00:00.000
91,MTT000091,74,Keystone MaintenanceTaskType 91,1,1,2026-08-24T00:00:00.000
92,MTT000092,255,Harbor MaintenanceTaskType 92,1,1,2026-08-24T00:00:00.000
93,MTT000093,52,Northstar MaintenanceTaskType 93,1,1,2026-08-24T00:00:00.000
94,MTT000094,230,Northstar MaintenanceTaskType 94,1,1,2026-08-24T00:00:00.000
95,MTT000095,247,Quartz MaintenanceTaskType 95,1,1,2026-08-24T00:00:00.000
96,MTT000096,246,Keystone MaintenanceTaskType 96,1,1,2026-08-24T00:00:00.000
97,MTT000097,150,Junction MaintenanceTaskType 97,1,1,2026-08-24T00:00:00.000
98,MTT000098,15,Harbor MaintenanceTaskType 98,1,1,2026-08-24T00:00:00.000
99,MTT000099,64,Orion MaintenanceTaskType 99,1,1,2026-08-24T00:00:00.000
100,MTT000100,169,Quartz MaintenanceTaskType 100,1,1,2026-08-24T00:00:00.000
101,MTT000101,264,Unity MaintenanceTaskType 101,1,1,2026-08-24T00:00:00.000
102,MTT000102,5,Junction MaintenanceTaskType 102,1,1,2026-08-24T00:00:00.000
103,MTT000103,235,Liberty MaintenanceTaskType 103,1,1,2026-08-24T00:00:00.000
104,MTT000104,153,Keystone MaintenanceTaskType 104,1,1,2026-08-24T00:00:00.000
105,MTT000105,177,Cedar MaintenanceTaskType 105,1,1,2026-08-24T00:00:00.000
106,MTT000106,285,Unity MaintenanceTaskType 106,1,1,2026-08-24T00:00:00.000
107,MTT000107,147,Willow MaintenanceTaskType 107,1,1,2026-08-24T00:00:00.000
108,MTT000108,279,Northstar MaintenanceTaskType 108,1,1,2026-08-24T00:00:00.000
109,MTT000109,19,Ion MaintenanceTaskType 109,1,1,2026-08-24T00:00:00.000
110,MTT000110,245,Junction MaintenanceTaskType 110,1,1,2026-08-24T00:00:00.000
111,MTT000111,51,Titan MaintenanceTaskType 111,1,1,2026-08-24T00:00:00.000
112,MTT000112,145,Quartz MaintenanceTaskType 112,1,1,2026-08-24T00:00:00.000
113,MTT000113,4,Liberty MaintenanceTaskType 113,1,1,2026-08-24T00:00:00.000
114,MTT000114,35,Evergreen MaintenanceTaskType 114,1,1,2026-08-24T00:00:00.000
115,MTT000115,25,Summit MaintenanceTaskType 115,1,1,2026-08-24T00:00:00.000
116,MTT000116,188,Meridian MaintenanceTaskType 116,1,1,2026-08-24T00:00:00.000
117,MTT000117,134,Zenith MaintenanceTaskType 117,1,1,2026-08-24T00:00:00.000
118,MTT000118,28,Beacon MaintenanceTaskType 118,1,1,2026-08-24T00:00:00.000
119,MTT000119,218,Cedar MaintenanceTaskType 119,1,1,2026-08-24T00:00:00.000
120,MTT000120,78,Cedar MaintenanceTaskType 120,1,1,2026-08-24T00:00:00.000
121,MTT000121,111,Forge MaintenanceTaskType 121,1,1,2026-08-24T00:00:00.000
122,MTT000122,46,Ion MaintenanceTaskType 122,1,1,2026-08-24T00:00:00.000
123,MTT000123,68,Quartz MaintenanceTaskType 123,1,1,2026-08-24T00:00:00.000
124,MTT000124,165,Ion MaintenanceTaskType 124,1,1,2026-08-24T00:00:00.000
125,MTT000125,5,Ion MaintenanceTaskType 125,1,1,2026-08-24T00:00:00.000
126,MTT000126,67,Riverton MaintenanceTaskType 126,1,1,2026-08-24T00:00:00.000
127,MTT000127,199,Summit MaintenanceTaskType 127,1,1,2026-08-24T00:00:00.000
128,MTT000128,39,Orion MaintenanceTaskType 128,1,1,2026-08-24T00:00:00.000
129,MTT000129,62,Meridian MaintenanceTaskType 129,1,1,2026-08-24T00:00:00.000
130,MTT000130,24,Keystone MaintenanceTaskType 130,1,1,2026-08-24T00:00:00.000
131,MTT000131,180,Delta MaintenanceTaskType 131,1,1,2026-08-24T00:00:00.000
132,MTT000132,51,Granite MaintenanceTaskType 132,1,1,2026-08-24T00:00:00.000
133,MTT000133,24,Harbor MaintenanceTaskType 133,1,1,2026-08-24T00:00:00.000
134,MTT000134,216,Evergreen MaintenanceTaskType 134,1,1,2026-08-24T00:00:00.000
135,MTT000135,199,Meridian MaintenanceTaskType 135,1,1,2026-08-24T00:00:00.000
136,MTT000136,197,Harbor MaintenanceTaskType 136,1,1,2026-08-24T00:00:00.000
137,MTT000137,18,Willow MaintenanceTaskType 137,1,1,2026-08-24T00:00:00.000
138,MTT000138,130,Pioneer MaintenanceTaskType 138,1,1,2026-08-24T00:00:00.000
139,MTT000139,119,Riverton MaintenanceTaskType 139,1,1,2026-08-24T00:00:00.000
140,MTT000140,93,Vertex MaintenanceTaskType 140,1,1,2026-08-24T00:00:00.000
141,MTT000141,36,Pioneer MaintenanceTaskType 141,1,1,2026-08-24T00:00:00.000
142,MTT000142,251,Keystone MaintenanceTaskType 142,1,1,2026-08-24T00:00:00.000
