LaborTrainingCourseKey,TrainingCourseCode,LaborSkillCategoryKey,TrainingCourseName,DurationHours,RenewalMonths,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,Unknown,0.00,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LTC000001,74,Titan LaborTrainingCourse 1,2.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0464ecd148d599eb5664ca9d3eb110be0464ecd148d599eb5664ca9d3eb110b
2,LTC000002,2,Meridian LaborTrainingCourse 2,3.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2122f73354eb5d0db2b130386e10a5382122f73354eb5d0db2b130386e10a538
3,LTC000003,49,Harbor LaborTrainingCourse 3,4.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03cc316445195db5ad89306db2a9dc2303cc316445195db5ad89306db2a9dc23
4,LTC000004,46,Orion LaborTrainingCourse 4,5.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3922d3da33d15c4c97378ef9f541cf173922d3da33d15c4c97378ef9f541cf17
5,LTC000005,65,Willow LaborTrainingCourse 5,6.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49fd8091b99e51f0951cd5b6398406b949fd8091b99e51f0951cd5b6398406b9
6,LTC000006,68,Zenith LaborTrainingCourse 6,7.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6dbd1d78d2b543db0e7819f6d8dcf7be6dbd1d78d2b543db0e7819f6d8dcf7b
7,LTC000007,2,Zenith LaborTrainingCourse 7,8.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c2fe52fd3b658b39329d8526570ef7f9c2fe52fd3b658b39329d8526570ef7f
8,LTC000008,59,Ion LaborTrainingCourse 8,9.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a551bb8237e1532d98323f20d37e56e0a551bb8237e1532d98323f20d37e56e0
9,LTC000009,1,Quartz LaborTrainingCourse 9,10.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc15e695cf30570492db9a10bc997a49dc15e695cf30570492db9a10bc997a49
10,LTC000010,34,Willow LaborTrainingCourse 10,11.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da322c21f0535589a50b45855b4e2675da322c21f0535589a50b45855b4e2675
