PlantKey,PlantCode,GeoPostalCodeKey,OrgBusinessUnitKey,PlantTypeKey,PlantCampusKey,CurrencyKey,TimeZoneKey,RecordStatusKey,CountryKey,PlantName,LegalEntityCode,PlantManagerName,OpenedDate,ClosedDate,TotalFloorAreaSquareMeter,DefaultCurrencyCode,TimeZoneName,LatitudeValue,LongitudeValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,Unknown,1900-01-01,1900-01-01,0.00,UNK,Unknown,0.000000,0.000000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,P000001,494,147,10,79,5,28,3,156,Titan Plant 1,P000001,Summit Plant 1,2020-01-02,2020-01-02,2.00,EUR,Evergreen Plant 1,11.370000,11.370000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d01bb27325a257f9af77fe4b4c9fdfebd01bb27325a257f9af77fe4b4c9fdfeb
2,P000002,258,126,12,162,2,20,2,177,Liberty Plant 2,P000002,Unity Plant 2,2020-01-03,2020-01-03,3.00,GBP,Unity Plant 2,12.740000,12.740000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97017b9e42b959e09a28bb6fc7a8145597017b9e42b959e09a28bb6fc7a81455
3,P000003,39,62,7,108,2,57,2,67,Harbor Plant 3,P000003,Harbor Plant 3,2020-01-04,2020-01-04,4.00,CAD,Forge Plant 3,14.110000,14.110000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ba93a971eea595fb97366efdaceaf1e5ba93a971eea595fb97366efdaceaf1e
4,P000004,488,31,10,171,4,24,3,161,Unity Plant 4,P000004,Liberty Plant 4,2020-01-05,2020-01-05,5.00,MXN,Orion Plant 4,15.480000,15.480000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,248d5ae963875212a13e5d9228ddc91f248d5ae963875212a13e5d9228ddc91f
5,P000005,376,146,18,112,1,54,1,200,Ion Plant 5,P000005,Evergreen Plant 5,2020-01-06,2020-01-06,6.00,JPY,Beacon Plant 5,16.850000,16.850000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a95e4be0c2df5ff99cb1f1298256db00a95e4be0c2df5ff99cb1f1298256db00
6,P000006,132,16,18,250,2,53,3,71,Unity Plant 6,P000006,Beacon Plant 6,2020-01-07,2020-01-07,7.00,USD,Quartz Plant 6,18.220000,18.220000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10674c42fd0f555d87c1cccf23ec5cd410674c42fd0f555d87c1cccf23ec5cd4
7,P000007,312,102,16,190,1,3,4,24,Atlas Plant 7,P000007,Vertex Plant 7,2020-01-08,2020-01-08,8.00,EUR,Northstar Plant 7,19.590000,19.590000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,991f63c1594851ab9f52e13cc504374c991f63c1594851ab9f52e13cc504374c
8,P000008,469,25,15,41,3,27,1,173,Unity Plant 8,P000008,Pioneer Plant 8,2020-01-09,2020-01-09,9.00,GBP,Granite Plant 8,20.960000,20.960000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a24361dc8a775196b654bbb574f5ed9ba24361dc8a775196b654bbb574f5ed9b
9,P000009,191,15,13,125,1,33,3,126,Orion Plant 9,P000009,Summit Plant 9,2020-01-10,2020-01-10,10.00,CAD,Ion Plant 9,22.330000,22.330000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0eb841215a05a38a3e77b553aee02efb0eb841215a05a38a3e77b553aee02ef
