InventoryZoneKey,InventoryZoneCode,InventoryWarehouseKey,InventoryZoneName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IZ000001,3,Granite InventoryZone 1,1,1,2026-08-24T00:00:00.000
2,IZ000002,23,Granite InventoryZone 2,1,1,2026-08-24T00:00:00.000
3,IZ000003,6,Atlas InventoryZone 3,1,1,2026-08-24T00:00:00.000
4,IZ000004,40,Titan InventoryZone 4,1,1,2026-08-24T00:00:00.000
5,IZ000005,51,Orion InventoryZone 5,1,1,2026-08-24T00:00:00.000
6,IZ000006,71,Quartz InventoryZone 6,1,1,2026-08-24T00:00:00.000
7,IZ000007,109,Atlas InventoryZone 7,1,1,2026-08-24T00:00:00.000
8,IZ000008,71,Vertex InventoryZone 8,1,1,2026-08-24T00:00:00.000
9,IZ000009,87,Evergreen InventoryZone 9,1,1,2026-08-24T00:00:00.000
10,IZ000010,106,Delta InventoryZone 10,1,1,2026-08-24T00:00:00.000
11,IZ000011,64,Zenith InventoryZone 11,1,1,2026-08-24T00:00:00.000
12,IZ000012,11,Titan InventoryZone 12,1,1,2026-08-24T00:00:00.000
13,IZ000013,113,Meridian InventoryZone 13,1,1,2026-08-24T00:00:00.000
14,IZ000014,1,Quartz InventoryZone 14,1,1,2026-08-24T00:00:00.000
15,IZ000015,83,Keystone InventoryZone 15,1,1,2026-08-24T00:00:00.000
16,IZ000016,92,Liberty InventoryZone 16,1,1,2026-08-24T00:00:00.000
17,IZ000017,102,Zenith InventoryZone 17,1,1,2026-08-24T00:00:00.000
18,IZ000018,109,Pioneer InventoryZone 18,1,1,2026-08-24T00:00:00.000
19,IZ000019,13,Harbor InventoryZone 19,1,1,2026-08-24T00:00:00.000
20,IZ000020,8,Willow InventoryZone 20,1,1,2026-08-24T00:00:00.000
21,IZ000021,97,Evergreen InventoryZone 21,1,1,2026-08-24T00:00:00.000
22,IZ000022,10,Beacon InventoryZone 22,1,1,2026-08-24T00:00:00.000
23,IZ000023,17,Evergreen InventoryZone 23,1,1,2026-08-24T00:00:00.000
24,IZ000024,10,Northstar InventoryZone 24,1,1,2026-08-24T00:00:00.000
25,IZ000025,56,Forge InventoryZone 25,1,1,2026-08-24T00:00:00.000
26,IZ000026,34,Liberty InventoryZone 26,1,1,2026-08-24T00:00:00.000
27,IZ000027,97,Forge InventoryZone 27,1,1,2026-08-24T00:00:00.000
28,IZ000028,15,Junction InventoryZone 28,1,1,2026-08-24T00:00:00.000
29,IZ000029,3,Junction InventoryZone 29,1,1,2026-08-24T00:00:00.000
30,IZ000030,4,Ion InventoryZone 30,1,1,2026-08-24T00:00:00.000
31,IZ000031,62,Summit InventoryZone 31,1,1,2026-08-24T00:00:00.000
