TimeOfDayKey,ShiftCodeKey,TimeValue,HourNumber,MinuteNumber,SecondNumber,MinuteOfDayNumber,SecondOfDayNumber,AmPmCode,HourBucketName,ShiftBucketName,IsBusinessHour,DisplayTime,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,00:00:00,0,0,0,0,0,UN,Unknown,Unknown,0,N/A,-1,0,1900-01-01T00:00:00.000
0,1,00:00:00,0,0,0,0,0,AM,00:00-00:59,Night,0,12:00 AM,1,1,2026-08-24T00:00:00.000
60,1,00:01:00,0,1,0,1,60,AM,00:00-00:59,Night,0,12:01 AM,1,1,2026-08-24T00:00:00.000
120,1,00:02:00,0,2,0,2,120,AM,00:00-00:59,Night,0,12:02 AM,1,1,2026-08-24T00:00:00.000
180,1,00:03:00,0,3,0,3,180,AM,00:00-00:59,Night,0,12:03 AM,1,1,2026-08-24T00:00:00.000
240,1,00:04:00,0,4,0,4,240,AM,00:00-00:59,Night,0,12:04 AM,1,1,2026-08-24T00:00:00.000
300,1,00:05:00,0,5,0,5,300,AM,00:00-00:59,Night,0,12:05 AM,1,1,2026-08-24T00:00:00.000
360,1,00:06:00,0,6,0,6,360,AM,00:00-00:59,Night,0,12:06 AM,1,1,2026-08-24T00:00:00.000
420,1,00:07:00,0,7,0,7,420,AM,00:00-00:59,Night,0,12:07 AM,1,1,2026-08-24T00:00:00.000
480,1,00:08:00,0,8,0,8,480,AM,00:00-00:59,Night,0,12:08 AM,1,1,2026-08-24T00:00:00.000
540,1,00:09:00,0,9,0,9,540,AM,00:00-00:59,Night,0,12:09 AM,1,1,2026-08-24T00:00:00.000
600,1,00:10:00,0,10,0,10,600,AM,00:00-00:59,Night,0,12:10 AM,1,1,2026-08-24T00:00:00.000
660,1,00:11:00,0,11,0,11,660,AM,00:00-00:59,Night,0,12:11 AM,1,1,2026-08-24T00:00:00.000
720,1,00:12:00,0,12,0,12,720,AM,00:00-00:59,Night,0,12:12 AM,1,1,2026-08-24T00:00:00.000
780,1,00:13:00,0,13,0,13,780,AM,00:00-00:59,Night,0,12:13 AM,1,1,2026-08-24T00:00:00.000
840,1,00:14:00,0,14,0,14,840,AM,00:00-00:59,Night,0,12:14 AM,1,1,2026-08-24T00:00:00.000
900,1,00:15:00,0,15,0,15,900,AM,00:00-00:59,Night,0,12:15 AM,1,1,2026-08-24T00:00:00.000
960,1,00:16:00,0,16,0,16,960,AM,00:00-00:59,Night,0,12:16 AM,1,1,2026-08-24T00:00:00.000
1020,1,00:17:00,0,17,0,17,1020,AM,00:00-00:59,Night,0,12:17 AM,1,1,2026-08-24T00:00:00.000
1080,1,00:18:00,0,18,0,18,1080,AM,00:00-00:59,Night,0,12:18 AM,1,1,2026-08-24T00:00:00.000
1140,1,00:19:00,0,19,0,19,1140,AM,00:00-00:59,Night,0,12:19 AM,1,1,2026-08-24T00:00:00.000
1200,1,00:20:00,0,20,0,20,1200,AM,00:00-00:59,Night,0,12:20 AM,1,1,2026-08-24T00:00:00.000
1260,1,00:21:00,0,21,0,21,1260,AM,00:00-00:59,Night,0,12:21 AM,1,1,2026-08-24T00:00:00.000
1320,1,00:22:00,0,22,0,22,1320,AM,00:00-00:59,Night,0,12:22 AM,1,1,2026-08-24T00:00:00.000
1380,1,00:23:00,0,23,0,23,1380,AM,00:00-00:59,Night,0,12:23 AM,1,1,2026-08-24T00:00:00.000
1440,1,00:24:00,0,24,0,24,1440,AM,00:00-00:59,Night,0,12:24 AM,1,1,2026-08-24T00:00:00.000
1500,1,00:25:00,0,25,0,25,1500,AM,00:00-00:59,Night,0,12:25 AM,1,1,2026-08-24T00:00:00.000
1560,1,00:26:00,0,26,0,26,1560,AM,00:00-00:59,Night,0,12:26 AM,1,1,2026-08-24T00:00:00.000
1620,1,00:27:00,0,27,0,27,1620,AM,00:00-00:59,Night,0,12:27 AM,1,1,2026-08-24T00:00:00.000
1680,1,00:28:00,0,28,0,28,1680,AM,00:00-00:59,Night,0,12:28 AM,1,1,2026-08-24T00:00:00.000
1740,1,00:29:00,0,29,0,29,1740,AM,00:00-00:59,Night,0,12:29 AM,1,1,2026-08-24T00:00:00.000
1800,1,00:30:00,0,30,0,30,1800,AM,00:00-00:59,Night,0,12:30 AM,1,1,2026-08-24T00:00:00.000
1860,1,00:31:00,0,31,0,31,1860,AM,00:00-00:59,Night,0,12:31 AM,1,1,2026-08-24T00:00:00.000
1920,1,00:32:00,0,32,0,32,1920,AM,00:00-00:59,Night,0,12:32 AM,1,1,2026-08-24T00:00:00.000
1980,1,00:33:00,0,33,0,33,1980,AM,00:00-00:59,Night,0,12:33 AM,1,1,2026-08-24T00:00:00.000
2040,1,00:34:00,0,34,0,34,2040,AM,00:00-00:59,Night,0,12:34 AM,1,1,2026-08-24T00:00:00.000
2100,1,00:35:00,0,35,0,35,2100,AM,00:00-00:59,Night,0,12:35 AM,1,1,2026-08-24T00:00:00.000
2160,1,00:36:00,0,36,0,36,2160,AM,00:00-00:59,Night,0,12:36 AM,1,1,2026-08-24T00:00:00.000
2220,1,00:37:00,0,37,0,37,2220,AM,00:00-00:59,Night,0,12:37 AM,1,1,2026-08-24T00:00:00.000
2280,1,00:38:00,0,38,0,38,2280,AM,00:00-00:59,Night,0,12:38 AM,1,1,2026-08-24T00:00:00.000
2340,1,00:39:00,0,39,0,39,2340,AM,00:00-00:59,Night,0,12:39 AM,1,1,2026-08-24T00:00:00.000
2400,1,00:40:00,0,40,0,40,2400,AM,00:00-00:59,Night,0,12:40 AM,1,1,2026-08-24T00:00:00.000
2460,1,00:41:00,0,41,0,41,2460,AM,00:00-00:59,Night,0,12:41 AM,1,1,2026-08-24T00:00:00.000
2520,1,00:42:00,0,42,0,42,2520,AM,00:00-00:59,Night,0,12:42 AM,1,1,2026-08-24T00:00:00.000
2580,1,00:43:00,0,43,0,43,2580,AM,00:00-00:59,Night,0,12:43 AM,1,1,2026-08-24T00:00:00.000
2640,1,00:44:00,0,44,0,44,2640,AM,00:00-00:59,Night,0,12:44 AM,1,1,2026-08-24T00:00:00.000
2700,1,00:45:00,0,45,0,45,2700,AM,00:00-00:59,Night,0,12:45 AM,1,1,2026-08-24T00:00:00.000
2760,1,00:46:00,0,46,0,46,2760,AM,00:00-00:59,Night,0,12:46 AM,1,1,2026-08-24T00:00:00.000
2820,1,00:47:00,0,47,0,47,2820,AM,00:00-00:59,Night,0,12:47 AM,1,1,2026-08-24T00:00:00.000
2880,1,00:48:00,0,48,0,48,2880,AM,00:00-00:59,Night,0,12:48 AM,1,1,2026-08-24T00:00:00.000
2940,1,00:49:00,0,49,0,49,2940,AM,00:00-00:59,Night,0,12:49 AM,1,1,2026-08-24T00:00:00.000
3000,1,00:50:00,0,50,0,50,3000,AM,00:00-00:59,Night,0,12:50 AM,1,1,2026-08-24T00:00:00.000
3060,1,00:51:00,0,51,0,51,3060,AM,00:00-00:59,Night,0,12:51 AM,1,1,2026-08-24T00:00:00.000
3120,1,00:52:00,0,52,0,52,3120,AM,00:00-00:59,Night,0,12:52 AM,1,1,2026-08-24T00:00:00.000
