EnergyUtilityCircuitKey,EnergyUtilityCircuitCode,EnergyUtilitySystemKey,EnergyUtilityCircuitName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EUC000001,75,Delta EnergyUtilityCircuit 1,1,1,2026-08-24T00:00:00.000
2,EUC000002,113,Riverton EnergyUtilityCircuit 2,1,1,2026-08-24T00:00:00.000
3,EUC000003,50,Pioneer EnergyUtilityCircuit 3,1,1,2026-08-24T00:00:00.000
4,EUC000004,24,Willow EnergyUtilityCircuit 4,1,1,2026-08-24T00:00:00.000
5,EUC000005,145,Meridian EnergyUtilityCircuit 5,1,1,2026-08-24T00:00:00.000
6,EUC000006,100,Meridian EnergyUtilityCircuit 6,1,1,2026-08-24T00:00:00.000
7,EUC000007,32,Vertex EnergyUtilityCircuit 7,1,1,2026-08-24T00:00:00.000
8,EUC000008,134,Evergreen EnergyUtilityCircuit 8,1,1,2026-08-24T00:00:00.000
9,EUC000009,110,Meridian EnergyUtilityCircuit 9,1,1,2026-08-24T00:00:00.000
10,EUC000010,41,Vertex EnergyUtilityCircuit 10,1,1,2026-08-24T00:00:00.000
11,EUC000011,118,Liberty EnergyUtilityCircuit 11,1,1,2026-08-24T00:00:00.000
12,EUC000012,27,Delta EnergyUtilityCircuit 12,1,1,2026-08-24T00:00:00.000
13,EUC000013,50,Vertex EnergyUtilityCircuit 13,1,1,2026-08-24T00:00:00.000
14,EUC000014,115,Zenith EnergyUtilityCircuit 14,1,1,2026-08-24T00:00:00.000
15,EUC000015,150,Liberty EnergyUtilityCircuit 15,1,1,2026-08-24T00:00:00.000
16,EUC000016,125,Granite EnergyUtilityCircuit 16,1,1,2026-08-24T00:00:00.000
17,EUC000017,82,Zenith EnergyUtilityCircuit 17,1,1,2026-08-24T00:00:00.000
18,EUC000018,154,Meridian EnergyUtilityCircuit 18,1,1,2026-08-24T00:00:00.000
19,EUC000019,69,Meridian EnergyUtilityCircuit 19,1,1,2026-08-24T00:00:00.000
20,EUC000020,160,Keystone EnergyUtilityCircuit 20,1,1,2026-08-24T00:00:00.000
21,EUC000021,55,Quartz EnergyUtilityCircuit 21,1,1,2026-08-24T00:00:00.000
22,EUC000022,95,Forge EnergyUtilityCircuit 22,1,1,2026-08-24T00:00:00.000
23,EUC000023,21,Orion EnergyUtilityCircuit 23,1,1,2026-08-24T00:00:00.000
24,EUC000024,140,Willow EnergyUtilityCircuit 24,1,1,2026-08-24T00:00:00.000
25,EUC000025,104,Ion EnergyUtilityCircuit 25,1,1,2026-08-24T00:00:00.000
26,EUC000026,156,Evergreen EnergyUtilityCircuit 26,1,1,2026-08-24T00:00:00.000
27,EUC000027,12,Junction EnergyUtilityCircuit 27,1,1,2026-08-24T00:00:00.000
28,EUC000028,25,Harbor EnergyUtilityCircuit 28,1,1,2026-08-24T00:00:00.000
29,EUC000029,100,Harbor EnergyUtilityCircuit 29,1,1,2026-08-24T00:00:00.000
