LaborJobFunctionKey,LaborJobFunctionCode,LaborJobFamilyKey,LaborJobFunctionName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LJF000001,1,Ion LaborJobFunction 1,1,1,2026-08-24T00:00:00.000
2,LJF000002,4,Quartz LaborJobFunction 2,1,1,2026-08-24T00:00:00.000
3,LJF000003,1,Northstar LaborJobFunction 3,1,1,2026-08-24T00:00:00.000
4,LJF000004,7,Unity LaborJobFunction 4,1,1,2026-08-24T00:00:00.000
5,LJF000005,1,Vertex LaborJobFunction 5,1,1,2026-08-24T00:00:00.000
6,LJF000006,9,Pioneer LaborJobFunction 6,1,1,2026-08-24T00:00:00.000
7,LJF000007,6,Harbor LaborJobFunction 7,1,1,2026-08-24T00:00:00.000
8,LJF000008,7,Delta LaborJobFunction 8,1,1,2026-08-24T00:00:00.000
9,LJF000009,6,Granite LaborJobFunction 9,1,1,2026-08-24T00:00:00.000
10,LJF000010,8,Cedar LaborJobFunction 10,1,1,2026-08-24T00:00:00.000
11,LJF000011,11,Harbor LaborJobFunction 11,1,1,2026-08-24T00:00:00.000
12,LJF000012,1,Ion LaborJobFunction 12,1,1,2026-08-24T00:00:00.000
13,LJF000013,5,Summit LaborJobFunction 13,1,1,2026-08-24T00:00:00.000
14,LJF000014,5,Granite LaborJobFunction 14,1,1,2026-08-24T00:00:00.000
15,LJF000015,5,Ion LaborJobFunction 15,1,1,2026-08-24T00:00:00.000
16,LJF000016,9,Harbor LaborJobFunction 16,1,1,2026-08-24T00:00:00.000
17,LJF000017,11,Northstar LaborJobFunction 17,1,1,2026-08-24T00:00:00.000
18,LJF000018,6,Pioneer LaborJobFunction 18,1,1,2026-08-24T00:00:00.000
19,LJF000019,3,Vertex LaborJobFunction 19,1,1,2026-08-24T00:00:00.000
20,LJF000020,12,Beacon LaborJobFunction 20,1,1,2026-08-24T00:00:00.000
21,LJF000021,1,Keystone LaborJobFunction 21,1,1,2026-08-24T00:00:00.000
22,LJF000022,10,Junction LaborJobFunction 22,1,1,2026-08-24T00:00:00.000
23,LJF000023,2,Riverton LaborJobFunction 23,1,1,2026-08-24T00:00:00.000
24,LJF000024,3,Harbor LaborJobFunction 24,1,1,2026-08-24T00:00:00.000
25,LJF000025,4,Summit LaborJobFunction 25,1,1,2026-08-24T00:00:00.000
26,LJF000026,8,Zenith LaborJobFunction 26,1,1,2026-08-24T00:00:00.000
27,LJF000027,10,Ion LaborJobFunction 27,1,1,2026-08-24T00:00:00.000
28,LJF000028,6,Beacon LaborJobFunction 28,1,1,2026-08-24T00:00:00.000
29,LJF000029,9,Titan LaborJobFunction 29,1,1,2026-08-24T00:00:00.000
30,LJF000030,1,Northstar LaborJobFunction 30,1,1,2026-08-24T00:00:00.000
31,LJF000031,8,Ion LaborJobFunction 31,1,1,2026-08-24T00:00:00.000
32,LJF000032,9,Vertex LaborJobFunction 32,1,1,2026-08-24T00:00:00.000
33,LJF000033,7,Summit LaborJobFunction 33,1,1,2026-08-24T00:00:00.000
34,LJF000034,10,Granite LaborJobFunction 34,1,1,2026-08-24T00:00:00.000
35,LJF000035,4,Summit LaborJobFunction 35,1,1,2026-08-24T00:00:00.000
36,LJF000036,2,Pioneer LaborJobFunction 36,1,1,2026-08-24T00:00:00.000
37,LJF000037,5,Summit LaborJobFunction 37,1,1,2026-08-24T00:00:00.000
38,LJF000038,4,Junction LaborJobFunction 38,1,1,2026-08-24T00:00:00.000
39,LJF000039,10,Delta LaborJobFunction 39,1,1,2026-08-24T00:00:00.000
40,LJF000040,6,Evergreen LaborJobFunction 40,1,1,2026-08-24T00:00:00.000
41,LJF000041,9,Vertex LaborJobFunction 41,1,1,2026-08-24T00:00:00.000
42,LJF000042,8,Orion LaborJobFunction 42,1,1,2026-08-24T00:00:00.000
43,LJF000043,9,Northstar LaborJobFunction 43,1,1,2026-08-24T00:00:00.000
44,LJF000044,11,Meridian LaborJobFunction 44,1,1,2026-08-24T00:00:00.000
45,LJF000045,4,Liberty LaborJobFunction 45,1,1,2026-08-24T00:00:00.000
46,LJF000046,1,Pioneer LaborJobFunction 46,1,1,2026-08-24T00:00:00.000
47,LJF000047,2,Riverton LaborJobFunction 47,1,1,2026-08-24T00:00:00.000
48,LJF000048,5,Cedar LaborJobFunction 48,1,1,2026-08-24T00:00:00.000
