MaintenanceFailureModeKey,MaintenanceFailureModeCode,MaintenanceFailureDomainKey,MaintenanceFailureModeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MFM000001,14,Junction MaintenanceFailureMode 1,1,1,2026-08-24T00:00:00.000
2,MFM000002,10,Unity MaintenanceFailureMode 2,1,1,2026-08-24T00:00:00.000
3,MFM000003,14,Meridian MaintenanceFailureMode 3,1,1,2026-08-24T00:00:00.000
4,MFM000004,4,Orion MaintenanceFailureMode 4,1,1,2026-08-24T00:00:00.000
5,MFM000005,4,Willow MaintenanceFailureMode 5,1,1,2026-08-24T00:00:00.000
6,MFM000006,7,Northstar MaintenanceFailureMode 6,1,1,2026-08-24T00:00:00.000
7,MFM000007,11,Meridian MaintenanceFailureMode 7,1,1,2026-08-24T00:00:00.000
8,MFM000008,9,Zenith MaintenanceFailureMode 8,1,1,2026-08-24T00:00:00.000
9,MFM000009,11,Orion MaintenanceFailureMode 9,1,1,2026-08-24T00:00:00.000
10,MFM000010,4,Keystone MaintenanceFailureMode 10,1,1,2026-08-24T00:00:00.000
11,MFM000011,4,Zenith MaintenanceFailureMode 11,1,1,2026-08-24T00:00:00.000
12,MFM000012,9,Ion MaintenanceFailureMode 12,1,1,2026-08-24T00:00:00.000
13,MFM000013,13,Pioneer MaintenanceFailureMode 13,1,1,2026-08-24T00:00:00.000
14,MFM000014,11,Keystone MaintenanceFailureMode 14,1,1,2026-08-24T00:00:00.000
15,MFM000015,3,Titan MaintenanceFailureMode 15,1,1,2026-08-24T00:00:00.000
16,MFM000016,8,Ion MaintenanceFailureMode 16,1,1,2026-08-24T00:00:00.000
17,MFM000017,6,Pioneer MaintenanceFailureMode 17,1,1,2026-08-24T00:00:00.000
18,MFM000018,13,Forge MaintenanceFailureMode 18,1,1,2026-08-24T00:00:00.000
19,MFM000019,11,Keystone MaintenanceFailureMode 19,1,1,2026-08-24T00:00:00.000
20,MFM000020,11,Vertex MaintenanceFailureMode 20,1,1,2026-08-24T00:00:00.000
21,MFM000021,10,Ion MaintenanceFailureMode 21,1,1,2026-08-24T00:00:00.000
22,MFM000022,6,Ion MaintenanceFailureMode 22,1,1,2026-08-24T00:00:00.000
23,MFM000023,16,Orion MaintenanceFailureMode 23,1,1,2026-08-24T00:00:00.000
24,MFM000024,4,Vertex MaintenanceFailureMode 24,1,1,2026-08-24T00:00:00.000
25,MFM000025,4,Summit MaintenanceFailureMode 25,1,1,2026-08-24T00:00:00.000
26,MFM000026,13,Summit MaintenanceFailureMode 26,1,1,2026-08-24T00:00:00.000
27,MFM000027,9,Atlas MaintenanceFailureMode 27,1,1,2026-08-24T00:00:00.000
28,MFM000028,10,Unity MaintenanceFailureMode 28,1,1,2026-08-24T00:00:00.000
29,MFM000029,12,Liberty MaintenanceFailureMode 29,1,1,2026-08-24T00:00:00.000
30,MFM000030,10,Beacon MaintenanceFailureMode 30,1,1,2026-08-24T00:00:00.000
31,MFM000031,2,Forge MaintenanceFailureMode 31,1,1,2026-08-24T00:00:00.000
32,MFM000032,10,Liberty MaintenanceFailureMode 32,1,1,2026-08-24T00:00:00.000
