QualityCharacteristicClassKey,QualityCharacteristicClassCode,QualityCharacteristicDomainKey,QualityCharacteristicClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QCC000001,5,Evergreen QualityCharacteristicClass 1,1,1,2026-08-24T00:00:00.000
2,QCC000002,1,Zenith QualityCharacteristicClass 2,1,1,2026-08-24T00:00:00.000
3,QCC000003,8,Keystone QualityCharacteristicClass 3,1,1,2026-08-24T00:00:00.000
4,QCC000004,8,Meridian QualityCharacteristicClass 4,1,1,2026-08-24T00:00:00.000
5,QCC000005,3,Zenith QualityCharacteristicClass 5,1,1,2026-08-24T00:00:00.000
6,QCC000006,7,Forge QualityCharacteristicClass 6,1,1,2026-08-24T00:00:00.000
7,QCC000007,10,Willow QualityCharacteristicClass 7,1,1,2026-08-24T00:00:00.000
8,QCC000008,6,Delta QualityCharacteristicClass 8,1,1,2026-08-24T00:00:00.000
9,QCC000009,8,Unity QualityCharacteristicClass 9,1,1,2026-08-24T00:00:00.000
10,QCC000010,6,Quartz QualityCharacteristicClass 10,1,1,2026-08-24T00:00:00.000
11,QCC000011,12,Keystone QualityCharacteristicClass 11,1,1,2026-08-24T00:00:00.000
12,QCC000012,11,Unity QualityCharacteristicClass 12,1,1,2026-08-24T00:00:00.000
13,QCC000013,5,Granite QualityCharacteristicClass 13,1,1,2026-08-24T00:00:00.000
14,QCC000014,5,Titan QualityCharacteristicClass 14,1,1,2026-08-24T00:00:00.000
15,QCC000015,7,Unity QualityCharacteristicClass 15,1,1,2026-08-24T00:00:00.000
16,QCC000016,5,Vertex QualityCharacteristicClass 16,1,1,2026-08-24T00:00:00.000
17,QCC000017,1,Pioneer QualityCharacteristicClass 17,1,1,2026-08-24T00:00:00.000
18,QCC000018,11,Pioneer QualityCharacteristicClass 18,1,1,2026-08-24T00:00:00.000
19,QCC000019,2,Summit QualityCharacteristicClass 19,1,1,2026-08-24T00:00:00.000
20,QCC000020,10,Beacon QualityCharacteristicClass 20,1,1,2026-08-24T00:00:00.000
21,QCC000021,9,Orion QualityCharacteristicClass 21,1,1,2026-08-24T00:00:00.000
22,QCC000022,7,Junction QualityCharacteristicClass 22,1,1,2026-08-24T00:00:00.000
23,QCC000023,6,Summit QualityCharacteristicClass 23,1,1,2026-08-24T00:00:00.000
24,QCC000024,9,Northstar QualityCharacteristicClass 24,1,1,2026-08-24T00:00:00.000
25,QCC000025,9,Unity QualityCharacteristicClass 25,1,1,2026-08-24T00:00:00.000
26,QCC000026,1,Atlas QualityCharacteristicClass 26,1,1,2026-08-24T00:00:00.000
27,QCC000027,4,Harbor QualityCharacteristicClass 27,1,1,2026-08-24T00:00:00.000
28,QCC000028,6,Pioneer QualityCharacteristicClass 28,1,1,2026-08-24T00:00:00.000
29,QCC000029,5,Willow QualityCharacteristicClass 29,1,1,2026-08-24T00:00:00.000
30,QCC000030,4,Liberty QualityCharacteristicClass 30,1,1,2026-08-24T00:00:00.000
31,QCC000031,5,Evergreen QualityCharacteristicClass 31,1,1,2026-08-24T00:00:00.000
32,QCC000032,3,Willow QualityCharacteristicClass 32,1,1,2026-08-24T00:00:00.000
